"Article","Web Description","Brand","Type","Pack Qty","Size","Colour","Assembly","Material","Power","DQ Score"
"292913","Wilko Scented Pillar Candle Vanilla 6 x 9.5cm","Wilko","Pillar Candle",NA,"6x9.5m",NA,"No",NA,NA,0.883333333333333
"292917","Wilko Scented Candle Melon and Rhubarb 6x9.5cm","Wilko","Pillar Candle",NA,"6x9.5cm","Green","No",NA,NA,0.941666666666667
"292928","Wilko Glass Pebbles In Net Clear","Wilko","Candles Holders",NA,"Pack","Clear",NA,NA,NA,0.93
"292976","Wilko Hurricane Vase Red","Wilko","Hurricane Vase",NA,"Single","Red","No",NA,NA,0.941666666666667
"296272","Wilko Lantern Chrome Medium","Wilko","Lanterns","1","Large","Metal",NA,NA,NA,0.941666666666667
"296325","Wilko Insense Oil Burner White","Wilko","Insense Burner",NA,"Single","Cream",NA,NA,NA,0.93
"327544","Wilko Scented Tealights 30pk","Wilko","Tealights",NA,"30 Pack","Cream","No",NA,NA,0.941666666666667
"327549","Wilko Scented Pillar Candle Sandalwood 6 x 9.5cm","Wilko","Pillar Candle",NA,"6x9.5cm","Cream","No",NA,NA,0.941666666666667
"327556","Wilko Scented Pillar Candle 7 x 14.5cm","Wilko","Pillar Candle",NA,"7x14.5cm","Cream","No",NA,NA,0.941666666666667
"327559","Wilko Hurricane Vase Clear","Wilko","Hurricane Vase",NA,"Single","Clear","No",NA,NA,0.941666666666667
"327588","Wilko Feather Dried Grass Natural Multi-Stem","Wilko","Artificial Grass","1",NA,"Cream",NA,NA,NA,0.93
"327612","Wilko Single Stem Dahlia Cream","Wilko","Artificial Single Stem",NA,"Single","Cream",NA,NA,NA,0.93
"327723","Wilko Gypsophilia and Pink Bunch","Wilko","Artificial Bunch",NA,"Single","Pink",NA,NA,NA,0.93
"327726","Wilko Mixed Flower Bunch","Wilko","Artificial Bunch",NA,"Single","White",NA,NA,NA,0.93
"327795","Wilko Pom Pom Flower Orange Single Stem","Wilko","Artificial Single Stem",NA,"Single","Orange",NA,NA,NA,0.93
"327857","Wilko Reed Diffuser Lavender and Rose 100ml","Wilko","Reed Diffusers",NA,"100ml","Clear","No",NA,NA,0.941666666666667
"327863","Wilko Pot Pourri Wild Lavender and Rose","Wilko","Pot Pourri",NA,"Pack","Purple","No",NA,NA,0.941666666666667
"336573","Wilko Heart Glass Lantern Frosted","Wilko","Candle Holders",NA,NA,NA,"No","Gllass",NA,0.883333333333333
"341043","Wilko Metal Square Lantern","Wilko","Lanterns","1",NA,"Clear",NA,NA,NA,0.883333333333333
"341082","Wilko Scented Pillar Candle Lavender 6 x 9.5cm","Wilko","Fragranced Candles",NA,"6x9.5cm","Purple","No",NA,NA,0.941666666666667
"341101","Wilko Glow Lantern Glass","Wilko","Lanterns","1",NA,"Clear",NA,NA,NA,0.883333333333333
"341113","Wilko Flower Sunflower Yellow Single Stem","Wilko","Artificial Single Stem",NA,"Single","Yellow",NA,NA,NA,0.93
"341148","Wilko Pot Pourri Apple","Wilko","Pot Pourri",NA,NA,"Green","No",NA,NA,0.883333333333333
"341149","Wilko Pot Pourri Tropical Passion Fruit andBlueberry","Wilko","Pot Pourri","1",NA,"Brown",NA,NA,NA,0.93
"341150","Wilko Pot Pourri Fresh Cotton and Lily","Wilko","Pot Pourri",NA,NA,"Blue","No",NA,NA,0.883333333333333
"341252","Wilko Storm Lamp Mink","Wilko","Hurricane Vase",NA,NA,"Clear","No",NA,NA,0.883333333333333
"351294","Wilko Swirl Glass Bowl Red","Wilko","Bowls",NA,NA,"Red","No",NA,NA,0.883333333333333
"352239","Wilko Wooden Heart Frame","Wilko","Photo Frames",NA,NA,NA,"No",NA,NA,0.825
"404112","Wilko Swirl Glass Bowl Gold","Wilko","Bowls",NA,NA,"Gold","No",NA,NA,0.883333333333333
"406710","Wilko Embossed Tin Jug Cream","Wilko","Home Accessories",NA,NA,"Cream","No",NA,NA,0.883333333333333
"406729","Wilko Rustic Letter Rack","Wilko","Home Accessories",NA,NA,NA,"No",NA,NA,0.825
"406744","Wilko Hurricane Vase Green","Wilko","Hurricane Vase",NA,NA,"Green","No","100% Glass",NA,0.941666666666667
"406797","Wilko Country Classic Cube Calendar","Wilko","Calendar",NA,NA,NA,"No",NA,NA,0.825
"406819","Wilko Leather Handle Wall Clock","Wilko","Wall Clock","1",NA,NA,NA,NA,NA,0.825
"406959","Wilko Hammered Effect Bowl Gold Sahara Range","Wilko","Bowls",NA,NA,NA,"No","Metal",NA,0.883333333333333
"407367","Wilko Utility Hanging Wall Plaque","Wilko","Plaques",NA,NA,NA,"No",NA,NA,0.825
"407369","Wilko Glass Photo Frame","Wilko","Photo Frames",NA,NA,NA,"No",NA,NA,0.825
"407378","Wilko Glass Bottle Gold","Wilko","Decorative Accessories",NA,NA,"Gold","No",NA,NA,0.883333333333333
"407631","Wilko Wicker Heart String Lights White","Wilko","Decorative Lighting",NA,NA,"White","No",NA,NA,0.883333333333333
"410235","Wilko Church Candle White 7 x 7.5cm","Wilko","Pillar Candle","1","7x7.5cm",NA,NA,NA,NA,0.93
"410236","Wilko Tapered Candles White 10pk","Wilko","Tapered Candles","10",NA,"White",NA,NA,NA,0.93
"413614","Wilko Scented Glass Candle Vanilla Pod","Wilko","Fragranced Candles",NA,NA,NA,"No",NA,NA,0.825
"413615","Wilko Scented Glass Candle Red Berries","Wilko","Fragranced Candles",NA,NA,NA,"No",NA,NA,0.825
"413618","Wilko Scented Glass Candle Lavender","Wilko","Fragranced Candles",NA,NA,NA,"No",NA,NA,0.825
"413619","Wilko Scented Glass Candle Cotton Fresh","Wilko","Fragranced Candles",NA,NA,NA,"No",NA,NA,0.825
"413620","Wilko Scented Glass Candle Tropical Passion Fruitand Blueberry","Wilko","Fragranced Candles",NA,NA,NA,"No",NA,NA,0.825
"417725","Wilko Fleece Heart Design Red 125 x 150cm","Wilko","Throws","1","125 x 150cm",NA,NA,"100% Polyester",NA,0.95
"417726","Wilko Fleece Heart Design Beige 125 x 150cm","Wilko","Throws","1","125 x 150cm",NA,NA,"100% Polyester",NA,0.95
"417727","Wilko Fleece Star Design Grey 125 x 150cm","Wilko","Throws","1","125 x 150cm",NA,NA,"100% Polyester",NA,0.95
"418029","Wilko Lace Effect Glass Bowl Silver ReminisceRange","Wilko","Bowls",NA,"Bowl 27cm",NA,"No","Glass",NA,0.941666666666667
"418030","Wilko Lace Effect Glass Bowl Lilac Reminisce Range","Wilko","Bowls",NA,"Bowl 27cm",NA,"No","Glass",NA,0.941666666666667
"418080","Wilko Standing Stag GoldSanctuary Range","Wilko","Ornaments",NA,NA,NA,"No","Resin",NA,0.883333333333333
"418590","Wilko Small Waisted Vase","Wilko","Vases","1","25cm",NA,NA,NA,NA,0.93
"418592","Wilko Clear Bullet Vase","Wilko","Vases","1",NA,NA,NA,NA,NA,0.86
"418593","Wilko Waisted Vase Medium","Wilko","Vases","1","30cm",NA,NA,NA,NA,0.93
"418594","Wilko Large Posy Vase","Wilko","Vases","1",NA,NA,NA,NA,NA,0.86
"418610","Wilko Leaf Etched Votive Holder","Wilko","Candle Holders",NA,NA,NA,"No","100% Glass",NA,0.883333333333333
"427041","Wilko Decorative Tealight Holder Red  SaharaCollection","Wilko","Tealight Holders",NA,NA,NA,"No",NA,NA,0.825
"427042","Wilko Soft Decorative Sand White","Wilko","Sand",NA,NA,NA,NA,NA,NA,0.79
"427046","Wilko Tealight Holders Clear Glass 3pk","Wilko","Candles Holders",NA,NA,NA,NA,NA,NA,0.79
"427047","Wilko Tealight Holder Block Clear Glass 3pk","Wilko","Candle Holders",NA,NA,NA,NA,NA,NA,0.79
"427048","Wilko Tapered Tealight Holder Clear Glass","Wilko","Candles Holders",NA,NA,NA,NA,NA,NA,0.79
"427049","Wilko Heart Shaped Tealight Holder Clear Glass","Wilko","Candles Holders",NA,NA,NA,"No",NA,NA,0.825
"427056","Wilko Tealight Holder Purple","Wilko","Tealight Holders",NA,NA,NA,"No",NA,NA,0.825
"427057","Wilko Tealight Holder Green","Wilko","Tealight Holders",NA,NA,NA,"No",NA,NA,0.825
"427058","Wilko Glass Vase Square Clear","Wilko","Vases","1",NA,NA,NA,NA,NA,0.86
"427101","Wilko Candle Jar White Linen and Lily55 Hours Burn Time","Wilko","Fragranced Candles",NA,"9.7 x 9.7 x 11.5cm",NA,"No",NA,NA,0.883333333333333
"427102","Wilko Candle Jar Cream Vanilla Pod55 Hours Burn Time","Wilko","Fragranced Candles",NA,"9.7 x 9.7 x 11.5cm",NA,"No",NA,NA,0.883333333333333
"427103","Wilko Candle Jar Wild Lavender and Rose55 Hours Burn Time","Wilko","Fragranced Candles",NA,NA,NA,"No",NA,NA,0.825
"427104","Wilko Candle Jar Green Melon and Rhubarb55 Hours Burn Time","Wilko","Fragranced Candles",NA,NA,NA,NA,NA,NA,0.79
"427105","Wilko Candle Jar Passion Fruit and Blueberry55 Hours Burn Time","Wilko","Fragranced Candles",NA,NA,NA,"No",NA,NA,0.825
"427106","Wilko Candle Jar Sweet Strawberry and Red Fruit55 Hours Burn Time","Wilko","Fragranced Candles",NA,"9.7 x 9.7 x 11.5cm",NA,"No",NA,NA,0.883333333333333
"427107","Wilko Candle Square Glass Jar White Linen and Lily30 Hours Burn Time","Wilko","Fragranced Candles",NA,"8 x 8 x 8cm",NA,"No",NA,NA,0.883333333333333
"427108","Wilko Candle Square Glass Jar Cream Vanilla Pod30 Hours Burn Time","Wilko","Fragranced Candles",NA,"8 x 8 x 8cm",NA,"No",NA,NA,0.883333333333333
"427109","Wilko Candle Square Glass Jar Pink Lavender & Rose30 Hours Burn Time","Wilko","Fragranced Candles",NA,NA,NA,"No",NA,NA,0.825
"427110","Wilko Candle Square Glass Jar Green Melon andRhubarb 30 Hours Burn Time","Wilko","Fragranced Candles",NA,NA,NA,"No",NA,NA,0.825
"427111","Wilko Candle Square Glass Jar Blue Passionfruit30 Hours Burn Time","Wilko","Fragranced Candles",NA,NA,NA,"No",NA,NA,0.825
"427112","Wilko Candle Square Glass Jar Red Fruit30 Hours Burn Time","Wilko","Fragranced Candles",NA,"8 x 8 x 8cm",NA,"No",NA,NA,0.883333333333333
"427116","Wilko Wooden Rose Heart Plum","Wilko","Wall Art",NA,NA,NA,"No",NA,NA,0.825
"427130","Wilko Oasis Metal Cage Bird Pot Pourri","Wilko","Pot Pourri",NA,NA,NA,"No",NA,NA,0.825
"427131","Wilko Pot Pourri Melon and Rhubarb Small","Wilko","Pot Pourri",NA,NA,NA,"No",NA,NA,0.825
"427132","Wilko Oasis Decorative Balls","Wilko","Decorative Accessories",NA,NA,NA,"No",NA,NA,0.825
"427133","Wilko Neutral Decorative Balls","Wilko","Decorative Accessories",NA,NA,NA,"No",NA,NA,0.825
"427134","Wilko Pot Pourri Wild Lavender and Rose","Wilko","Pot Pourri",NA,NA,NA,"No",NA,NA,0.825
"427135","Wilko Pot Pourri Sweet Strawberry and Red FruitsSmall","Wilko","Pot Pourri",NA,NA,NA,"No",NA,NA,0.825
"427136","Wilko Red Decorative Balls","Wilko","Decorative Accessories",NA,NA,NA,"No",NA,NA,0.825
"427137","Wilko Incense Burner Ceramic Owl White","Wilko","Insense Burner",NA,NA,NA,"No",NA,NA,0.825
"427152","Wilko Love Multi Picture Frame","Wilko","Photo Frames",NA,NA,NA,"No",NA,NA,0.825
"427155","Wilko Decorative Chalkboard","Wilko","Message Boards",NA,NA,NA,"No",NA,NA,0.825
"427157","Wilko Heart Clock","Wilko","Mantle Clocks",NA,NA,NA,"No",NA,NA,0.825
"427160","Wilko Key Shaped Clock and Calendar","Wilko","Calendar",NA,NA,NA,"No",NA,NA,0.825
"427162","Wilko Slate Heart Candle Plate","Wilko","Candles Holders",NA,NA,NA,"No",NA,NA,0.825
"427164","Wilko Amazing Things Heart Plaque","Wilko","Plaques",NA,NA,NA,"No",NA,NA,0.825
"427166","Wilko Love You to The Moon Plaque","Wilko","Plaques",NA,NA,NA,"No",NA,NA,0.825
"427181","Wilko Pot Pourri Bowl White","Wilko","Pot Pourri Bowl","1","27.5 x 12.5 x 7.5cm",NA,NA,NA,NA,0.93
"427182","Wilko Single Stem Vase Clear","Wilko","Single Stem Vase",NA,NA,NA,NA,NA,NA,0.79
"427183","Wilko Single Stem Vase Red","Wilko","Single Stem Vase",NA,NA,NA,NA,NA,NA,0.79
"427184","Wilko Single Stem Vase Green","Wilko","Single Stem Vase",NA,NA,NA,NA,NA,NA,0.79
"427187","Wilko Concrete Effect Heart Shaped Candle","Wilko","Candles",NA,NA,NA,"No",NA,NA,0.825
"427201","Wilko Wooden Hanging Plaque Set of 3","Wilko","Plaques",NA,"2 x 18 x 30cm",NA,"No","Wood",NA,0.941666666666667
"427206","Wilko Glass Tealights Set of 2","Wilko","Tealight Holders",NA,"8.2 x 17 x 9.5cm",NA,"No","Glass",NA,0.941666666666667
"427347","Wilko I Like Cats Small Round Mirror","Wilko","Compact Mirror","1","0.4 x 7.5 x 7.5cm",NA,NA,NA,NA,0.93
"427350","Wilko I Like Cats Push Pins 16pk","Wilko","Push Pins","16",NA,NA,NA,NA,NA,0.86
"427351","Wilko I Like Cats Index Clips","Wilko","Index Clips","1","1.8 x 3.6cm",NA,NA,NA,NA,0.93
"427367","Wilko I Like Cats Exercise Books","Wilko","Exercise Books","1",NA,NA,NA,NA,NA,0.9125
"427372","Wilko I Like Cats Padfolio","Wilko","Clipboard","1","1.8 x 23.5 x 32cm",NA,NA,"Paper",NA,0.941666666666667
"427376","Wilko I Like Cats Document Wallet A4","Wilko","Document Folders and Wallets","1","A4",NA,NA,NA,NA,0.883333333333333
"427379","Wilko I Like Cats A4 Storage With Lid","Wilko","Storage Box","1",NA,NA,NA,NA,NA,0.825
"427380","Wilko I Like Cats A4 Home Box File","Wilko","Box File","1","12 x 35.5 x 24.7cm",NA,NA,"Paper",NA,0.941666666666667
"427383","Wilko I Like Cats Flip Notebook","Wilko","Notebooks","1",NA,NA,NA,NA,NA,0.9125
"427386","Wilko I Like Cats Plans And Ideas","Wilko","Journals, Planners and Organisers","1",NA,NA,NA,NA,NA,0.9125
"427417","Wilko I Like Cats Zipper Wallet A4","Wilko","Document Folders and Wallets","1","A4",NA,NA,NA,NA,0.883333333333333
"427425","Wilko I Like Cats Canvas Pencil Case","Wilko","Pencil Case","1",NA,NA,NA,NA,NA,0.86
"427428","Wilko I Like Cats Sticky Notes","Wilko","Sticky Notes","1",NA,NA,NA,NA,NA,0.86
"427435","Wilko I Like Cats Attitude Sticker","Wilko","Sticky Notes","1",NA,NA,NA,NA,NA,0.86
"427438","Wilko I Like Cats Photo Rope Kit","Wilko","Photo Kit","1",NA,NA,NA,NA,NA,0.9125
"430691","Wilko I Like Cats Stationery Set","Wilko","Stationery Sets","1",NA,NA,NA,NA,NA,0.86
"430714","Wilko I Like Cats Mini Gel Ink Pen 5pk","Wilko","Gel Pens","5",NA,NA,NA,NA,NA,0.86
"437744","Wilko LED Tealights 6pk","Wilko","LED Candles","6",NA,NA,NA,NA,NA,0.86
"437747","Wilko Filled Glass Candle Sparkling Winter","Wilko","Fragranced Candles","1",NA,NA,NA,NA,NA,0.86
"437890","Wilko Cream Lit Twigs","Wilko","Decorative Lighting",NA,NA,NA,"No",NA,NA,0.825
"437892","Wilko Twigs Red Glitter","Wilko","Twigs",NA,NA,NA,NA,NA,NA,0.79
"437917","Wilko Artificial Succulent in Fabric Pot","Wilko","Home Accessories",NA,NA,NA,"No",NA,NA,0.825
"437927","Wilko Christmas Ornament Sparkly StagWhite Reflections","Wilko","Ornaments",NA,NA,NA,"No",NA,NA,0.825
"438254","Wilko Green Forest 60 x 90cm","Wilko","Wall Art",NA,"60cm x 90cm",NA,"No",NA,NA,0.883333333333333
"438275","Wilko LED Metal Star Red","Wilko","Decorative Lighting",NA,NA,NA,"No",NA,NA,0.825
"438278","Wilko Copper Effect Lantern Medium","Wilko","Lanterns",NA,NA,NA,"No",NA,NA,0.825
"438281","Wilko Stag Head","Wilko","Ornaments",NA,"W: 27cm x D: 18cm x H: 40cm",NA,"No","Polyresin",NA,0.941666666666667
"438283","Wilko Wooden Light Up Star","Wilko","Decorative Lighting","1","W: 36cm x D: 5cm x H: 36cm",NA,NA,NA,NA,0.883333333333333
"438290","Wilko Love Tealight Holders 4pk","Wilko","Tealight Holders",NA,"Each tealight holder size: Dia 5.5 x H 7.0cm",NA,"No","Stoneware",NA,0.941666666666667
"438500","Wilko Poinsettia Cream","Wilko","Poinsettia","1","22 X 22 X 66CM",NA,NA,NA,NA,0.93
"439365","Wilko Pot Pourri Cinnamon Spice","Wilko","Pot Pourri","1",NA,NA,NA,NA,NA,0.86
"439366","Wilko Pot Pourri Silver Sparkling Winter","Wilko","Pot Pourri","1",NA,NA,NA,NA,NA,0.86
"446487","Wilko Jug Plum","Wilko","Jugs",NA,NA,NA,"No",NA,NA,0.825
"446494","Wilko Riviera Floral Bunting","Wilko","Bunting",NA,"300 x 15 x 8cm",NA,"No","Polyester",NA,0.941666666666667
"446499","Wilko Fabric Hanging Plaque","Wilko","Wall Art",NA,NA,NA,"No",NA,NA,0.825
"446501","Wilko Tin Jug Green","Wilko","Jugs",NA,NA,NA,"No",NA,NA,0.825
"446502","Wilko Jug Duck Egg","Wilko","Jugs",NA,NA,NA,"No",NA,NA,0.825
"446518","Wilko Fish Bowl Glass Vase","Wilko","Vases","1",NA,NA,NA,NA,NA,0.86
"446848","Wilko Glass Candle Jar With Lid","Wilko","Candles",NA,NA,NA,"No",NA,NA,0.825
"446850","Wilko Ceramic Diffuser 100ml","Wilko","Reed Diffusers",NA,"100ml",NA,"No",NA,NA,0.883333333333333
"446917","Wilko Ceramic Cylinder Vase Cream","Wilko","Vases",NA,"25 x 10 x 10cm","Cream","No",NA,NA,0.941666666666667
"446952","Wilko Square Mirrored Tealight Holder","Wilko","Tealight Holders","1",NA,NA,NA,NA,NA,0.86
"446962","Wilko Ceramic Candle","Wilko","Candles",NA,NA,NA,"No",NA,NA,0.825
"446971","Wilko Glass Candle With Metal Lid Pearlescent","Wilko","Candles",NA,NA,NA,"No",NA,NA,0.825
"446976","Wilko Candle and Diffuser Set","Wilko","Candles",NA,NA,NA,"No",NA,NA,0.825
"447175","Wilko Words Ceramic Jug","Wilko","Jugs",NA,"19.5 x 17 x 12cm","Green","No",NA,NA,0.941666666666667
"447176","Wilko Etched Blossom Glass Vase","Wilko","Vases",NA,NA,NA,"No",NA,NA,0.825
"447178","Wilko Hessian Love Bunting","Wilko","Bunting",NA,NA,NA,"No","Fabric",NA,0.883333333333333
"447210","Wilko Succulent in Ceramic Pot","Wilko","Succulents","1","12cm",NA,NA,NA,NA,0.93
"447211","Wilko Faux Grass In Pot","Wilko","Succulents",NA,"22 x 22 x 27cm","Green","No",NA,NA,0.941666666666667
"447215","Wilko Mini Orchid in Cement Pot","Wilko","Vase with Flower","1","26cm",NA,NA,NA,NA,0.93
"447220","Wilko Pink Rose String Lights","Wilko","Decorative Lighting",NA,"4 x 5 x 230cm","Pink","No",NA,NA,0.941666666666667
"455342","Wilko Home Key Hook Plaque 25x25cm","Wilko","Key Hooks",NA,"25x25x0.9cm",NA,"No","MDF, Paper, metal key hooks, metal hanger",NA,0.941666666666667
"455347","Wilko Canvas Golden Trees 90x60cm","Wilko","Wall Art","1","90x60x2.5cm",NA,NA,NA,NA,0.93
"455350","Wilko Grey Dahlia Canvas 48x48cm","Wilko","Wall Art",NA,"48x48x1.8cm",NA,"No","Polyester Canvas, MDF frame, metal hanger",NA,0.941666666666667
"455356","Wilko Floral Canvasses Grey 20 x 20cm 3pk","Wilko","Wall Art",NA,"20x20x1.8cm each",NA,"No","Polyester Canvas, MDF frame, metal hanger",NA,0.941666666666667
"455383","Wilko Lake Canvas 48x48cm","Wilko","Wall Art",NA,"48x48x1.8cm",NA,"No","Polyester Canvas, MDF frame, metal hanger",NA,0.941666666666667
"455394","Wilko Home Canvas 48x48cm","Wilko","Wall Art",NA,"48x48x1.8cm",NA,"No","Polyester Canvas, MDF frame, metal hanger",NA,0.941666666666667
"455444","Wilko Orchid in Two Tone Vase","Wilko","Vase with Flower",NA,"20 x 9 x 18 cms",NA,"No","POLYESTER WIRE GLASS",NA,0.941666666666667
"455452","Wilko Pink Peonies in Glass Jar","Wilko","Vase with Flower",NA,NA,NA,"No","glass / plastic / synthetic textile",NA,0.883333333333333
"455500","Wilko Glass Two Tone Vase Red","Wilko","Vases",NA,NA,NA,"No","100% Glass",NA,0.883333333333333
"455574","Wilko Let It Snow Plaque","Wilko","Wall Plaque","1","W: 30cm x D: 1.2cm x H: 44cm",NA,NA,NA,NA,0.93
"455607","Wilko Mason Jar Candle Cinnamon Spice","Wilko","Fragranced Candles","1",NA,NA,NA,NA,NA,0.86
"455608","Wilko Mason Jar Candle Sparkling Winter","Wilko","Fragranced Candles","1",NA,NA,NA,NA,NA,0.86
"455628","Wilko Scented Candle Tin Silver Sparkling Winter","Wilko","Fragranced Candles","1",NA,NA,NA,NA,NA,0.86
"455629","Wilko Scented Tealights Red Cinnamon Spice 24pk","Wilko","Tealights","24","3 x 11.7 x 15.5cm",NA,NA,NA,NA,0.93
"455866","Wilko Cork Base Glass Hurricane","Wilko","Candle Holders","1",NA,NA,NA,NA,NA,0.86
"455870","Wilko Ceramic Words Jug","Wilko","Ornaments",NA,"16 x 19.5 x 12cm",NA,"No","Ceramic",NA,0.941666666666667
"455887","Wilko Letter Rack With Drawer","Wilko","Letter Rack",NA,NA,NA,"No","Wood / MDF",NA,0.883333333333333
"455891","Wilko Heart Storage Drawers","Wilko","Storage Drawers",NA,"20 x 22 x 9cm",NA,"No","Wood/MDF",NA,0.941666666666667
"455928","Wilko LED Mercury Bottle Silver","Wilko","Ornaments","1",NA,NA,NA,NA,NA,0.86
"455929","Wilko LED Mercury Bottle Red","Wilko","Ornaments","1","10 x 20 x 10cm",NA,NA,NA,NA,0.93
"455945","Wilko Silver Leaf Tealight Holder","Wilko","Tealight Holders",NA,"W: 8.5cm x D: 8.5cm x H: 8cm",NA,"No","Stoneware",NA,0.941666666666667
"456078","Wilko Sparkle Friends Plaque","Wilko","Wall Art","1",NA,NA,NA,NA,NA,0.86
"456080","Wilko Home Words Plaque","Wilko","Wall Art","1",NA,NA,NA,NA,NA,0.86
"70121","Wilko Dri-Foam Brick","Wilko","Dri-Foam",NA,"Single",NA,NA,NA,NA,0.86
