"Article","Web Description","Brand","Type","Colour","Power","Pack Qty","Washable","Size","Material","DQ Score"
"302198","Collection Lipgloss 1 Body Pop 5ml","Collection 2000","Lip Gloss","Pink",NA,"1",NA,"5ml",NA,0.81875
"304507","Collection Lipgloss 2 Beat Box 5ml","Collection 2000","Lip Gloss","Red",NA,NA,NA,"5ml",NA,0.775
"337376","Collection Nail Polish 3 Vixen Red 12ml","Collection 2000","Nail Polish","Red",NA,NA,NA,"12ml",NA,0.775
"337378","Collection Nail Polish 5 Coral Reef 12ml","Collection 2000","Nail Polish","Orange",NA,"1",NA,"12ml",NA,0.81875
"337380","Collection Nail Polish 7 Rasberry 12ml","Collection 2000","Nail Polish","Red",NA,"1",NA,"12ml",NA,0.81875
"337382","Collection Nail Polish 9 Chiffon Haze 12ml","Collection 2000","Nail Polish","Cream",NA,"1",NA,"12ml",NA,0.81875
"337383","Collection Nail Polish 10 Almost Nude 12ml","Collection 2000","Nail Polish","Cream",NA,"1",NA,"12ml",NA,0.81875
"337388","Collection Pencil 1 Vanilla Sky 3.5G","Collection 2000","Eye Shadow","Cream",NA,"1",NA,"3.5g",NA,0.81875
"337390","Collection Pencil 3 Vintage Blush 3.5G","Collection 2000","Eye Shadow","Pink",NA,"1",NA,"3.5g",NA,0.81875
"347334","Collection Mascara 17 Ultra Black 8ml","Collection 2000","Mascara","Black",NA,"1",NA,"8ml",NA,0.81875
"347342","Collection Mascara 17 Ultra Black Waterproof 8ml","Collection 2000","Mascara","Black",NA,"1",NA,"8ml",NA,0.81875
"347347","Collection Foundation Porcelain 30ml","Collection 2000","Liquid Foundation","Cream",NA,"1",NA,"30ml",NA,0.81875
"347353","Collection Foundation 2 Ivory 30ml","Collection 2000","Liquid Foundation","Cream",NA,"1",NA,"30ml",NA,0.81875
"347354","Collection  Foundation Cool Beige 30ml","Collection 2000","Liquid Foundation","Cream",NA,"1",NA,"30ml",NA,0.81875
"347355","Collection  Foundation Warm Beige 30ml","Collection 2000","Liquid Foundation","Cream",NA,"1",NA,"30ml",NA,0.81875
"347360","Collection Concealer 1 Fair 6.5g","Collection 2000","Concealer","Cream",NA,"1",NA,"6.5g",NA,0.81875
"347361","Collection Concealer 2 Cool Med 6.5g","Collection 2000","Concealer","Cream",NA,"1",NA,"6.5g",NA,0.81875
"347445","Collection Concealer 3 Warm Medium 6.5g","Collection 2000","Concealer","Cream",NA,"1",NA,"6.5",NA,0.81875
"347446","Collection  Powders 1 Fair 9g","Collection 2000","Powder Foundation","Cream",NA,"1",NA,"9g",NA,0.81875
"347447","Collection Powders 2 Medium 9g","Collection 2000","Powder Foundation","Cream",NA,"1",NA,"15g",NA,0.81875
"347448","Collection Bronze Glow 1 Sunkissed 19g","Collection 2000","Bronzer","Metal",NA,"1",NA,"19g",NA,0.81875
"347450","Collection Glow- Shimmering 2 Medium 15g","Collection 2000","Bronzer","Cream",NA,"1",NA,"15g",NA,0.81875
"347451","Collection Glow Matt 1 Terracotta 15g","Collection 2000","Bronzer","Metal",NA,"1",NA,"15g",NA,0.81875
"347453","Collection Bronze Glow Mosaic 2 15g","Collection 2000","Bronzer","Metal",NA,"1",NA,"15g",NA,0.81875
"352152","Collection 2000 Embossed Blush Shocking","Collection 2000","Blusher",NA,NA,"1",NA,NA,NA,0.78125
"352153","Collection Blush Bashful","Collection 2000","Blusher",NA,NA,"1",NA,NA,NA,0.73125
"352154","Collection 2000 Embossed Blush Cheeky","Collection 2000","Blusher",NA,NA,"1",NA,NA,NA,0.78125
"352155","Collection Blush Trouble","Collection 2000","Blusher",NA,NA,"1",NA,NA,NA,0.73125
"352156","Collection Eyebrow Kit Blonde","Collection 2000","Brows","Multi",NA,"1",NA,"1g",NA,0.76875
"352157","Collection 24hr Felt  Liner 5 Brown 7.8g","Collection 2000","Eye Liner","Brown",NA,"1",NA,"7.8g",NA,0.76875
"352158","Collection Colour Lash Mascara 1 Clear 8ml","Collection 2000","Mascara",NA,NA,"1",NA,NA,NA,0.73125
"352159","Collection Colour Lash Mascara 2 Black 8ml","Collection 2000","Mascara","Black",NA,"1",NA,"8ml",NA,0.81875
"352160","Collection Colour Lash Mascara Brown 3","Collection 2000","Mascara","Brown",NA,"1",NA,"8ml",NA,0.81875
"352161","Collection Colour Lash Mascara 4 Blue 8ml","Collection 2000","Mascara","Blue",NA,"1",NA,"8ml",NA,0.81875
"400649","Collection Concealer 4 Dark 6.5g","Collection 2000","Concealer","Cream",NA,"1",NA,"6.5g",NA,0.81875
"400657","Collection Nail Polish 11 Stormy Grey 12ml","Collection 2000","Nail Polish","Grey",NA,"1",NA,"12ml",NA,0.81875
"409065","Collection Lengthening Mascara 17 Ultra Black","Collection 2000","Mascara","Black",NA,"1",NA,NA,NA,0.775
"409066","CollectionLengthening Mascara 17 UltraBlack Waterproof","Collection 2000","Mascara","Black",NA,"1",NA,NA,NA,0.775
"417267","Collection Naturally Matt Foundation Porcelain 1","Collection 2000","Liquid Foundation",NA,NA,"1",NA,NA,NA,0.73125
"417268","Collection Naturally Matt Foundation Ivory 2","Collection 2000","Liquid Foundation",NA,NA,"1",NA,NA,NA,0.73125
"417269","Collection Naturally Matt Foundation Cool Beige 3","Collection 2000","Liquid Foundation","Brown",NA,"1",NA,NA,NA,0.775
"417270","Collection Naturally Matt Foundation Warm Beige 4","Collection 2000","Liquid Foundation",NA,NA,"1",NA,NA,NA,0.73125
"417271","Collection Naturally Matt Foundation Honey 5","Collection 2000","Liquid Foundation",NA,NA,"1",NA,NA,NA,0.73125
"417273","Collection Eyes Uncovered Eye Shadow Palettes Nude","Collection 2000","Eye Shadow","Brown",NA,"1",NA,NA,NA,0.775
"417275","Collection Eyes Uncovered Eye Palettes 6g","Collection 2000","Eye Shadow","Grey",NA,"1",NA,NA,NA,0.775
"417288","Collection 2in1 Long and Strong Treatment Clear 1","Collection 2000","Nail Polish",NA,NA,"1",NA,NA,NA,0.73125
"417289","Collection French Manicure French White 1","Collection 2000","Nail Polish",NA,NA,"1",NA,NA,NA,0.73125
"417290","Collection French Manicure French Pink 2","Collection 2000","Nail Polish","Pink",NA,"1",NA,NA,NA,0.775
"417291","Collection French Manicure French Beige 3","Collection 2000","Nail Polish",NA,NA,"1",NA,NA,NA,0.73125
"417292","Collection Nail Polish Remover","Collection 2000","Nail Polish Remover",NA,NA,"1",NA,NA,NA,0.73125
"422386","Collection Speedy Blush Sticks Tickled Pink","Collection 2000","Blusher",NA,NA,"1",NA,NA,NA,0.73125
"422387","Collection Speedy Blush Sticks Cheeky","Collection 2000","Blusher",NA,NA,"1",NA,NA,NA,0.73125
"422388","Collection Speedy Blush Sticks Pinch Me","Collection 2000","Blusher",NA,NA,NA,NA,NA,NA,0.6875
"422389","Collection Eyebrow Kit Brunette","Collection 2000","Brows",NA,NA,"1",NA,NA,NA,0.73125
"422390","Collection Gorgeous Glow Blush Block","Collection 2000","Bronzer",NA,NA,"1",NA,NA,NA,0.73125
"422391","Collection Gorgeous Glow Bronzing Block","Collection 2000","Bronzer",NA,NA,"1",NA,NA,NA,0.73125
"422400","Collection Lasting Colour Lipstick Mango Crush","Collection 2000","Lipstick",NA,NA,"1",NA,NA,NA,0.73125
"422402","Collection Lasting Colour Lipstick Pink Fusion","Collection 2000","Lipstick",NA,NA,"1",NA,NA,NA,0.73125
"422403","Collection Lasting Colour Lipstick Cupcake Pink","Collection 2000","Lipstick",NA,NA,"1",NA,NA,NA,0.73125
"422404","Collection Lasting Colour Lipstick Delicious Candy","Collection 2000","Lipstick",NA,NA,"1",NA,NA,NA,0.73125
"422405","Collection Lasting Colour Lipstick Mulberry Burst","Collection 2000","Lipstick",NA,NA,"1",NA,NA,NA,0.73125
"422406","Collection Lasting Colour Lipstick China Rose","Collection 2000","Lipstick",NA,NA,"1",NA,NA,NA,0.73125
"422407","Collection Lasting Colour Lipstick Fig Delight","Collection 2000","Lipstick",NA,NA,"1",NA,NA,NA,0.73125
"422408","Collection Lasting Colour Lipstick Amethyst Shine","Collection 2000","Lipstick",NA,NA,"1",NA,NA,NA,0.73125
"422409","Collection Lasting Colour Lipstick Poppy Glam","Collection 2000","Lipstick",NA,NA,"1",NA,NA,NA,0.73125
"422410","Collection Lasting Colour Lipstick Aubergine Kiss","Collection 2000","Lipstick",NA,NA,"1",NA,NA,NA,0.73125
"422411","Collection Lasting Colour Lipstick Blackberry Fool","Collection 2000","Lipstick",NA,NA,"1",NA,NA,NA,0.73125
"422412","Collection Lasting Colour Matt LipstickTaffeta Bloom","Collection 2000","Lipstick",NA,NA,"1",NA,NA,NA,0.73125
"422415","Collection Lasting Colour Matt Lipstick Pink Diva","Collection 2000","Lipstick",NA,NA,"1",NA,NA,NA,0.73125
"422416","Collection Lasting Colour Matt Lipstick Red Carpet","Collection 2000","Lipstick",NA,NA,"1",NA,NA,NA,0.73125
"422417","Collection Lasting Colour Matt Lipstick PlumSensation","Collection 2000","Lipstick",NA,NA,"1",NA,NA,NA,0.73125
"422419","Collection Lasting Colour Lipstick Café au lait","Collection 2000","Lipstick",NA,NA,"1",NA,NA,NA,0.73125
"425912","Collection Speedy Highlighter Pearl Sheen","Collection 2000","Highlighter",NA,NA,"3",NA,"8.6cm",NA,0.775
"425917","Collection Illuminating Touch FoundationWarm Beige","Collection 2000","Liquid Foundation",NA,NA,"1",NA,"12.2cm",NA,0.775
"425918","Collection Illuminating Touch Foundation Honey","Collection 2000","Liquid Foundation",NA,NA,"1",NA,"12.2cm",NA,0.775
"425919","Collection Illuminating Touch Foundation Golden","Collection 2000","Liquid Foundation",NA,NA,"1",NA,NA,NA,0.73125
"436091","Collection 7 Day Wear Nail Polish 8ml","Collection 2000","Nail Polish",NA,NA,"1",NA,"8ml",NA,0.88
"436092","Collection 7 Day Wear Nail Polish 8ml","Collection 2000","Nail Polish",NA,NA,"1",NA,"8ml",NA,0.88
"436094","Collection 7 Day Wear Nail Polish 8ml","Collection 2000","Nail Polish",NA,NA,"1",NA,"8ml",NA,0.88
"436096","Collection 7 Day Wear Nail Polish 8ml","Collection 2000","Nail Polish",NA,NA,"1",NA,"8ml",NA,0.88
"436097","Collection 7 Day Wear Nail Polish 8ml","Collection 2000","Nail Polish",NA,NA,"1",NA,"8ml",NA,0.88
"436098","Collection 7 Day Wear Nail Polish 8ml","Collection 2000","Nail Polish",NA,NA,"1",NA,"8ml",NA,0.88
"436099","Collection 7 Day Wear Nail Polish 8ml","Collection 2000","Nail Polish",NA,NA,"1",NA,"8ml",NA,0.88
"436100","Collection 7 Day Wear Nail Polish 8ml","Collection 2000","Nail Polish",NA,NA,"1",NA,"8ml",NA,0.88
"436101","Collection 7 Day Wear Nail Polish 8ml","Collection 2000",NA,NA,NA,"1",NA,"8ml",NA,0.81
"436102","Collection 7 Day Wear Nail Polish 8ml","Collection 2000","Nail Polish",NA,NA,"1",NA,"8ml",NA,0.88
"436104","Collection 7 Day Wear Nail Polish 8ml","Collection 2000","Nail Polish",NA,NA,"1",NA,"8ml",NA,0.88
"436105","Collection 7 Day Wear Nail Polish 8ml","Collection 2000","Nail Polish",NA,NA,"1",NA,"8ml",NA,0.88
"436107","Collection 7 Day Wear Nail Polish 8ml","Collection 2000","Nail Polish",NA,NA,"1",NA,"8ml",NA,0.88
"436108","Collection 7 Day Wear Nail Polish 8ml","Collection 2000","Nail Polish",NA,NA,"1",NA,"8ml",NA,0.88
"436109","Collection 7 Day Wear Nail Polish 8ml","Collection 2000","Nail Polish",NA,NA,"1",NA,"8ml",NA,0.88
"436110","Collection 7 Day Wear Nail Polish 8ml","Collection 2000","Nail Polish",NA,NA,"1",NA,"8ml",NA,0.88
"436111","Collection 7 Day Wear Nail Polish 8ml","Collection 2000","Nail Polish",NA,NA,"1",NA,"8ml",NA,0.88
"436113","Collection 7 Day Wear Nail Polish 8ml","Collection 2000","Nail Polish",NA,NA,"1",NA,"8ml",NA,0.88
"436114","Collection 7 Day Wear Nail Polish 8ml","Collection 2000","Nail Polish",NA,NA,"1",NA,"8ml",NA,0.88
"436115","Collection 7 Day Wear Nail Polish 8ml","Collection 2000","Nail Polish",NA,NA,"1",NA,"8ml",NA,0.88
"436116","Collection 7 Day Wear Nail Polish 8ml","Collection 2000","Nail Polish",NA,NA,"1",NA,"8ml",NA,0.88
"436117","Collection Long Lasting Nail Effects Nail Polish8ml","Collection 2000","Nail Polish",NA,NA,"1",NA,"8ml",NA,0.88
"436118","Collection Long Lasting Nail Effects Nail Polish8ml","Collection 2000",NA,NA,NA,NA,NA,NA,NA,0.775
"436127","Collection Eyes Uncovered Eye Palettes 6g","Collection 2000","Eye Shadow",NA,NA,"1",NA,"6g",NA,0.88
"436130","Collection Fast Stroke Defining Mascara 9ml","Collection 2000","Mascara",NA,NA,"1",NA,"9ml",NA,0.88
"436131","Collection Fast Stroke Defining Mascara 9ml","Collection 2000","Mascara",NA,NA,"1",NA,"9ml",NA,0.88
"436132","Collection Fast Stroke Defining Mascara 9ml","Collection 2000","Mascara",NA,NA,"1",NA,"9ml",NA,0.88
"436133","Collection Fast Stroke Defining Mascara 9ml","Collection 2000","Mascara",NA,NA,"1",NA,"9ml",NA,0.88
"436134","Collection Fast Stroke Defining Mascara 9ml","Collection 2000","Mascara",NA,NA,"1",NA,"9ml",NA,0.88
"440539","Collection Contour Stick Dark","Collection 2000","Contouring",NA,NA,"1",NA,"3G",NA,0.775
"440540","Collection Illuminating Touch Under Eye Brightener","Collection 2000","Concealer",NA,NA,"1",NA,NA,NA,0.81
"440541","Collection Supersize Mascara Black","Collection 2000","Mascara",NA,NA,"1",NA,NA,NA,0.81
"440542","Collection Supersize Mascara Brown/Black","Collection 2000","Mascara",NA,NA,"1",NA,NA,NA,0.81
"440543","Collection Supersize Mascara Ultra Black","Collection 2000","Mascara",NA,NA,"1",NA,NA,NA,0.81
"440544","Collection Solar Shine Gel Nail Colour Top Coat","Collection 2000","Nail Polish",NA,NA,"1",NA,NA,NA,0.81
"440545","Collection Solar Shine Gel Nail Colour OysterPearl","Collection 2000","Nail Polish",NA,NA,"1",NA,NA,NA,0.81
"440546","Collection Solar Shine Gel Nail Colour Just Beachy","Collection 2000","Nail Polish",NA,NA,"1",NA,NA,NA,0.81
"440547","Collection Solar Shine Gel Nail Colour CaribbeanCrush","Collection 2000","Nail Polish",NA,NA,"1",NA,NA,NA,0.81
"440548","Collection Solar Shine Gel Nail Colour Sunset Pink","Collection 2000","Nail Polish",NA,NA,"1",NA,NA,NA,0.81
"440549","Collection Solar Shine Gel Nail Colour SultrySorent","Collection 2000","Nail Polish",NA,NA,"1",NA,NA,NA,0.81
"440551","Collection Solar Shine Gel Nail Colour Dreamy Days","Collection 2000","Nail Polish",NA,NA,"1",NA,NA,NA,0.81
"440552","Collection Solar Shine Gel Nail Colour BiaritzBlitz","Collection 2000","Nail Polish",NA,NA,"1",NA,NA,NA,0.81
"440553","Collection Solar Shine Gel Nail Colour JungleFever","Collection 2000","Nail Polish",NA,NA,"1",NA,NA,NA,0.81
"440554","Collection Deluxe Lip Lacquer Prom Queen","Collection 2000","Lip Gloss",NA,NA,"1",NA,NA,NA,0.81
"440555","Collection Deluxe Lip Lacquer Show off","Collection 2000","Lip Gloss",NA,NA,"1",NA,NA,NA,0.81
"440556","Deluxe Lip Lacquer Red Carpet","Collection 2000","Lip Gloss",NA,NA,"1",NA,NA,NA,0.81
"440557","Collection Deluxe Lip Lacquer Raspberry Kisses","Collection 2000","Lip Gloss",NA,NA,"1",NA,NA,NA,0.81
"440558","Collection Deluxe Lip Lacquer Dancing Queen","Collection 2000","Lip Gloss",NA,NA,"1",NA,NA,NA,0.81
"440559","Collection Deluxe Lip Lacquer Sparkling Lights","Collection 2000","Lip Gloss",NA,NA,"1",NA,NA,NA,0.81
"443824","Collection Primed & Ready Concealer Kit","Collection 2000","Concealer",NA,NA,"1",NA,"14G",NA,0.775
"443825","Collection Invisible Setting Powder poweredby Witch","Collection 2000","Priming and Setting",NA,NA,"1",NA,"15G",NA,0.775
"443826","Collection Illuminating Setting Powder","Collection 2000","Priming and Setting",NA,NA,"1",NA,"15G",NA,0.775
"443827","Collection Velvet Kiss Lip Cream Cotton Candy","Collection 2000","Lip Gloss",NA,NA,"1",NA,"5ml",NA,0.775
"443829","Collection Velvet Kiss Lip Cream Rosie","Collection 2000","Lip Gloss",NA,NA,"1",NA,"5ml",NA,0.775
"443833","Collection Extreme Calligraphy Eyeliner Black","Collection 2000","Eye Liner",NA,NA,"1",NA,"1.6ml",NA,0.775
"454009","Collection Volumax Maximum Volume Mascara andLengthening Lash Primer Ultra Black","Collection 2000","Mascara",NA,NA,"1",NA,"12ml",NA,0.88
"454010","Collection Volumax Maximum Volume Mascara andLengthening Lash Primer Black","Collection 2000","Mascara",NA,NA,"1",NA,"12ml",NA,0.88
"454011","Collection Volumax Maximum Volume Mascara andLiquid Eyeline Primer Ultra Black","Collection 2000","Mascara",NA,NA,"1",NA,"10ml",NA,0.88
"454012","Collection Volumax Maximum Volume  Mascara andLiquid Eyeline Primer Ultra Black Waterproof","Collection 2000","Mascara",NA,NA,"1",NA,"10ml",NA,0.88
"454297","Collection Volumax Maximum Volume Mascara andLengthing Lash Primer Ultra Black Waterproof","Collection 2000","Mascara",NA,NA,"1",NA,"12ml",NA,0.88
"335980","Wilko Play Farm Animals Assortment","Wilko","Animal Figures","Multi",NA,"1",NA,NA,NA,0.941666666666667
"336383","Wilko Play Dinosaurs Small Assortment","Wilko","Animal Figures","Multi",NA,"1",NA,NA,NA,0.941666666666667
"336385","Wilko Play Jungle Animals Assortment","Wilko","Animal Figures","Multi",NA,"1",NA,NA,NA,0.941666666666667
"336386","Wilko Play Horses Assortment","Wilko","Animal Figures","Multi",NA,"1",NA,NA,NA,0.9
"336387","Wilko Play Knights Assortment","Wilko","Action Figures","Multi",NA,"1",NA,NA,NA,0.941666666666667
"336388","Wilko Play Dragons Large Assortment","Wilko","Animal Figures","Multi",NA,"1",NA,NA,NA,0.941666666666667
"336390","Wilko Play Unicorns Assortment","Wilko","Animal Figures","Multi",NA,"1",NA,NA,NA,0.9
"336391","Wilko Play Dinosaurs Large Assortment","Wilko","Animal Figures","Multi",NA,"1",NA,NA,NA,0.941666666666667
"416680","Wilko Play Heroic Knight Figure Assortment","Wilko","Action Figures","Multi",NA,"1",NA,NA,NA,0.941666666666667
"416683","Wilko Play Pirate Figure Assortment","Wilko","Action Figures","Multi",NA,"1",NA,NA,NA,0.941666666666667
"416691","Wilko Soft T-Rex Dinosaur","Wilko","Animal Figures","Multi",NA,"1",NA,NA,NA,0.941666666666667
"416692","Wilko Soft Apatosaurus Dinosaur","Wilko","Animal Figures","Multi",NA,"1",NA,NA,NA,0.941666666666667
"416693","Wilko Soft Pteradactyl Dinosaur","Wilko","Animal Figures","Multi",NA,"1",NA,NA,NA,0.941666666666667
"438484","Wilko Dino Figures Mini 4pk Assortment","Wilko","Collectables","Multi",NA,"4",NA,NA,NA,0.941666666666667
"438485","Wilko Dog Figures Mini 4pk Assortment","Wilko","Collectables","Multi",NA,"4",NA,NA,NA,0.941666666666667
"438486","Wilko Cat Figures Mini 4pk Assortment","Wilko","Collectables","Multi",NA,"4",NA,NA,NA,0.941666666666667
