"Article","Web Description","Brand","Type","Colour","Power","Pack Qty","Size","DQ Score"
"317719","Wilko Citrus Squeezer","Wilko","Peeling and Chopping","Yellow",NA,"1",NA,0.883333333333333
"317898","Wilko Grater with Container Taupe/Silver Effect","Wilko","Graters","Cream",NA,"1",NA,0.883333333333333
"317900","Wilko Stainless Steel Whisk","Wilko","Whisk","Pink",NA,"1",NA,0.883333333333333
"318118","Wilko Soup Ladle Black","Wilko","Spoons and Ladles","Black",NA,"1",NA,0.883333333333333
"318172","Wilko Spaghetti Spoon Black","Wilko","Spoons and Ladles","Black",NA,"1",NA,0.883333333333333
"318176","Wilko Vegetable Steamer Stainless Steel","Wilko","Food Steamer","Pink",NA,"1",NA,0.883333333333333
"318177","Wilko Turner Black","Wilko","Spatula and Turners","Black",NA,"1",NA,0.883333333333333
"318178","Wilko Kitchen Potato Masher Black","Wilko","Masher","Black",NA,"1",NA,0.883333333333333
"318179","Wilko Polyamide Slotted Spoon Black","Wilko","Spoons and Ladles","Black",NA,"1",NA,0.883333333333333
"318180","Wilko Serving Spoon Polyamide Medium Black","Wilko","Spoons and Ladles","Black",NA,"1",NA,0.883333333333333
"318181","Wilko Polyamide Ladle Black","Wilko","Spoons and Ladles","Black",NA,"1",NA,0.883333333333333
"318182","Wilko Kitchen Whisk Black","Wilko","Whisk","Black",NA,"1",NA,0.883333333333333
"319549","Wilko Knife Sharpener Black","Wilko","Peeling and Chopping","Black",NA,"1",NA,0.883333333333333
"319570","Wilko Meat Thermometer","Wilko","Thermometer and Timer","Pink",NA,"1",NA,0.883333333333333
"335040","Wilko Strainer Metal 19.5cm","Wilko","Colander and Sieves","Pink",NA,"1","19cm",0.941666666666667
"378240","Wilko Egg Slicer White","Wilko","Peeling and Chopping","White",NA,"1",NA,0.883333333333333
"409441","Wilko Bamboo Tools Set 4pcs","Wilko","Utensil Tool Sets",NA,NA,"4",NA,0.825
"427980","Wilko Square Cutlery Caddy","Wilko","Utensil Holder",NA,NA,"1",NA,0.825
"435737","Wilko Colourplay Utility Knife Red","Wilko","Knives",NA,NA,"1",NA,0.825
"435740","Wilko Colourplay Bread Knife Blue","Wilko","Knives",NA,NA,"1",NA,0.825
"435798","Wilko Big Measuring Jug","Wilko","Jugs",NA,NA,"1",NA,0.825
"435865","Wilko Strainer Set 3pcs","Wilko","Colander and Sieves",NA,NA,"3pc","18CM STRAINER, 16CM STRAINER, 12CM STRAINER",0.883333333333333
"435867","Wilko Colander Mini 16cm","Wilko","Colander and Sieves",NA,NA,NA,NA,0.766666666666667
"436178","Wilko Colourplay Large Chefs Knife Green","Wilko","Knives",NA,NA,"1",NA,0.825
"436179","Wilko Colourplay Carving Knife Purple","Wilko","Knives",NA,NA,"1",NA,0.825
"448489","Wilko Stainless Steel Turner","Wilko","Spatula and Turners","Metal",NA,"1","33.8cm",0.941666666666667
"448490","Wilko Stainless Steel Serving Spoon","Wilko","Spoons and Ladles",NA,NA,"1","32.7cm",0.883333333333333
"448491","Wilko Stainless Steel Slotted Spoon","Wilko","Spoons and Ladles","Metal",NA,"1","32.7cm",0.941666666666667
"448492","Wilko Stainless Steel Ladle","Wilko","Spoons and ladles","Metal",NA,"1","29.7cm",0.941666666666667
"448493","Wilko Stainless Steel Spaghetti Spoon","Wilko","Spoons and Ladles","Metal",NA,"1","32.4cm",0.941666666666667
"448494","Wilko Stainless Steel Can Opener","Wilko","Can Opener","Metal",NA,"1",NA,0.883333333333333
"448495","Wilko Stainless Steel Garlic Press","Wilko","Garlic Press","Metal",NA,"1",NA,0.883333333333333
"448496","Wilko Stainless Steel Cake Server","Wilko","Cake Server","Metal",NA,"1",NA,0.883333333333333
"448497","Wilko Stainless Steel Peeler","Wilko","Peeling and Chopping","Metal",NA,NA,NA,0.825
"448498","Wilko Stainless Steel Bottle Opener","Wilko","Corkscrew & Bottle Openers","Metal",NA,"1",NA,0.883333333333333
"448499","Wilko Stainless Steel Y Peeler","Wilko","Peeling and Chopping","Metal",NA,"1",NA,0.883333333333333
"448500","Wilko Stainless Steel Pizza Cutter","Wilko","Pizza Cutter","Metal",NA,"1",NA,0.883333333333333
"448501","Wilko Stainless Steel V Shape Masher","Wilko","Masher","Metal",NA,"1",NA,0.883333333333333
"452456","Wilko Stainless Steel Masher","Wilko","Masher",NA,NA,"1",NA,0.825
"452458","Wilko Garlic Crusher","Wilko","Garlic Press",NA,NA,"1",NA,0.825
"452460","Wilko Corkscrew","Wilko","Corkscrew & Bottle Openers",NA,NA,"1",NA,0.825
"452462","Wilko 4 in 1 Multifunctional Grater","Wilko","Graters",NA,NA,"1",NA,0.825
"452463","Wilko Y Peeler Set 3pcs","Wilko","Peeling and Chopping",NA,NA,"3 Pieces",NA,0.825
"452464","Wilko Hand Whisk","Wilko","Whisk",NA,NA,"1",NA,0.825
"452465","Wilko 6 in 1 Jar Opener","Wilko","Corkscrew & Bottle Openers",NA,NA,"1",NA,0.825
"452467","Wilko Measuring Scoop","Wilko","Measuring",NA,NA,"1",NA,0.825
"452468","Wilko Pizza Wheel","Wilko","Pizza Cutter",NA,NA,"1",NA,0.825
"452470","Wilko Spaghetti Measure","Wilko","Measuring",NA,NA,"1",NA,0.825
"452477","Wilko Nylon Ladle","Wilko","Spoons and Ladles",NA,NA,"1",NA,0.825
"452479","Wilko Nylon Turner","Wilko","Spatula and Turners",NA,NA,"1",NA,0.825
"452480","Wilko Nylon Round Turner","Wilko","Spatula and Turners",NA,NA,"1",NA,0.825
"453136","Wilko Tongs 3pc","Wilko","Serving Tongs",NA,NA,"3",NA,0.825
"52496","Wilko Kitchen Kettle Protector","Wilko","Kettle Protector","Silver",NA,"1","Single",0.941666666666667
"56012","Wilko Box Grater","Wilko","Graters","Silver",NA,"1",NA,0.883333333333333
"85425","Wilko Food Cover White","Wilko","Food Cover","White",NA,"1","14inx10in",0.941666666666667
"172201","Wilko Ice Cube Trays 2pk","Wilko Functional","Ice Cube Tray","Black",NA,"1","2 Pack",0.891666666666667
"219900","Wilko Functional Polyamide Turner","Wilko Functional","Spatula and Turners","Black",NA,"1",NA,0.883333333333333
"219903","Wilko Functional Slotted Spoon Black","Wilko Functional","Spoons and Ladles","Black",NA,"1",NA,0.883333333333333
"219904","Wilko Functional Polyamide Masher Black","Wilko Functional","Masher","Black",NA,"1",NA,0.883333333333333
"296440","Wilko Butterfly Tin Opener","Wilko Functional","Can Opener",NA,NA,"1",NA,0.775
"354840","Wilko Functional Lancashire Peeler Black","Wilko Functional","Peeling and Chopping","Black",NA,"1",NA,0.883333333333333
"368340","Wilko Flat Grater Stainless Steel White","Wilko Functional","Graters","Pink",NA,"1",NA,0.833333333333333
