"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","Washable","Material","DQ Score"
"418193","TENA Pants Plus Large 8pk","Tena","Incontinence",NA,"1",NA,NA,NA,0.9125
"418196","TENA Men Protective Underwear Level 4 8pk","Tena","Incontinence",NA,"1",NA,NA,NA,0.9125
"441960","TENA Lady Discreet Pants Large 10pk","Tena","Incontinence",NA,NA,NA,NA,NA,0.825
"441961","TENA Lady Discreet Pants Medium 12pk","Tena","Incontinence",NA,NA,NA,NA,NA,0.825
"157945","Wilko Sanitary Disposal Bags 50pkLightly Fragranced","Wilko","Hygine",NA,"50pk",NA,NA,NA,0.86
"165875","Wilko Ultra Super 12pk","Wilko","Towels and Liners",NA,"12","Super",NA,"Pulp",0.9
"165877","Wilko Ultra Towels with Wings Night 10pk","Wilko","Towels and Liners",NA,"12pk",NA,NA,"Pulp",0.85
"165879","Wilko Ultra Towel with Wings Regular 14pk","Wilko","Towels and Liners",NA,"14","Regular",NA,"Pulp",0.9
"197925","Wilko Discreet Pads Extra 10pk","Wilko","Towels and Liners",NA,"10",NA,NA,NA,0.8
"197926","Wilko Discreet Pads Normal 12pk","Wilko","Towels and Liners",NA,"12pk","Normal",NA,NA,0.85
"197927","Wilko Discrete Pads Mini 20pk","Wilko","Towels and Liners",NA,"20pk","Mini",NA,NA,0.85
"198458","Wilko Classic Pant Liners 40pk","Wilko","Towels and Liners",NA,"40pk",NA,NA,NA,0.8
"198466","Wilko Maxi Towels Super 18pk","Wilko","Towels and Liners",NA,"18pk","Super",NA,NA,0.85
"198467","Wilko Body Shaped Maxi Towels Regular 20pk","Wilko","Towels and Liners",NA,"20pk","Regular",NA,NA,0.85
"257631","Wilko Ultra Large Pant Liners 28pk","Wilko","Towels and Liners",NA,"28pk","Large",NA,NA,0.85
"281373","Wilko Discreet Fit Pants Medium 80-110cm 12pk","Wilko","Incontinence",NA,"12",NA,NA,NA,0.9125
"281374","Wilko Discreet Fit Pants Large 100-135cm 10pk","Wilko","Incontinence",NA,"10",NA,NA,NA,0.9125
"347498","Wilko Normal Liner 30pk","Wilko","Towels and Liners",NA,"30",NA,NA,"Pulp",0.85
"347500","Wilko Liner Extra Large 24pk","Wilko","Towels and Liners",NA,"24",NA,NA,"Pulp",0.85
"347507","Wilko Applicator Tampons Regular 20pk","Wilko","Tampons",NA,"20",NA,NA,NA,0.9125
"347508","Wilko Applicator Tampons Super 20pk","Wilko","Tampons",NA,"20",NA,NA,NA,0.9125
"347511","Wilko Non-Applicator Tampons Super Plus 16pk","Wilko","Tampons",NA,"16",NA,NA,NA,0.9125
"347519","Wilko Discreet Pads Extra Plus 8pk","Wilko","Incontinence",NA,"8",NA,NA,NA,0.9125
"347525","Wilko Non-Applicator Tampons Super 16pk","Wilko","Tampons",NA,"16",NA,NA,NA,0.9125
"347528","Wilko Tampons Non Applicator Regular 16pk","Wilko","Tampons",NA,"16",NA,NA,NA,0.9125
"350959","Wilko Ultra Towel Non Wing 16pk","Wilko","Towels and Liners",NA,"13",NA,NA,"Pulp",0.85
"417526","Wilko Feminine Intimate Cleansing Wash","Wilko","Hygine",NA,"1",NA,NA,NA,0.86
"418202","Wilko Feminine Intimate Hygiene Wipes 20pk","Wilko","Hygine",NA,NA,NA,NA,NA,0.79
"238384","Wilko Functional Press on Towels 10pk","Wilko Functional","Towels and Liners",NA,"10",NA,NA,"Pulp",0.85
