"Article","Web Description","Brand","Type","Colour","Power","Pack Qty","Size","Assembly","DQ Score"
"436831","Wilko Ceramic Table Lamp Grey","Wilko","Table Lamps",NA,NA,"1",NA,"Yes",0.85
"436832","Wilko Isabelle Table Lamp Silver","Wilko","Table Lamps",NA,NA,"1",NA,"Yes",0.85
"436833","Wilko Textured Table Lamp","Wilko","Table Lamps",NA,NA,"1",NA,"Yes",0.85
"436834","Wilko With Love Table Lamp","Wilko","Table Lamps",NA,NA,"1",NA,"Yes",0.85
"436842","Wilko Audrey Table Lamp Clear","Wilko","Table Lamps",NA,NA,"1",NA,"No",0.85
"436843","Wilko Florence Table Lamp Black","Wilko","Table Lamps",NA,NA,"1",NA,"No",0.85
"436846","Wilko Ombre Table Lamp Purple","Wilko","Table Lamps",NA,"60w","1","Table Lamp 30 x 50.5","No",0.95
"436847","Wilko Ombre Table Lamp Teal","Wilko","Table Lamps",NA,"60w","1","Table Lamp 30 x 50.5","No",0.95
"436861","Wilko Swirl Table Lamp Chrome Effect","Wilko","Table Lamps",NA,"60w","1","Table Lamp 25 x 40.5","No",0.95
"436862","Wilko Swirl Table Lamp Brass","Wilko","Table Lamps",NA,"60w","1","Table Lamp 25 x 40.5","No",0.95
"436863","Wilko Ceramic Heart Shaped Table Lamp","Wilko","Table Lamps",NA,"25w","1","Table Lamp 11.5 x 22.5 x 23","No",0.95
"436864","Wilko Tunis Table Lamp Chrome","Wilko","Table Lamps",NA,"60w","1","Table Lamp 12 x 23","No",0.95
"436865","Wilko Tunis Table Lamp Brass Effect","Wilko","Table Lamps",NA,"60w","1","Table Lamp 12 x 23","No",0.95
"436970","Wilko Angle Task Lamp Chrome Effect","Wilko","Desk Lamps","Silver",NA,"1",NA,"No",0.9
"436971","Wilko Angle Task Lamp Red","Wilko","Desk Lamps","Red",NA,"1",NA,"No",0.9
"436972","Wilko LED Task Lamp Chrome","Wilko","Desk Lamps","Silver",NA,"1",NA,"No",0.9
"436974","Wilko Designo Lamp Grey","Wilko","Desk Lamps","Grey",NA,"1",NA,"No",0.9
"437026","Wilko Sienna Lamp Silver Effect","Wilko","Table Lamps",NA,"40w","1","Table Lamp 18 x 32 x 40","No",0.95
"441906","Wilko Global Table Lamp Plated Finish","Wilko","Table Lamps",NA,NA,"1",NA,"No",0.85
"455262","Wilko Lamp Marble Effect Small","Wilko","Table Lamps",NA,"40W","1","Dia: 20cm x H: 30.5cm","No",0.95
"455263","Wilko Lamp Ceramic Cut Out Silver","Wilko","Table Lamps",NA,"40W","1","Dia: 25cm x H: 0.95cm","No",0.95
"456314","Wilko Lamp Silver Mirror","Wilko","Table Lamps",NA,NA,"1",NA,"No",0.85
"456315","Wilko Desk Lamp Blue","Wilko","Desk Lamps",NA,NA,"1",NA,"No",0.85
"456316","Wilko Angle Task Lamp Copper","Wilko","Desk Lamps",NA,NA,"1",NA,"No",0.85
"456317","Wilko Table Lamp Industrial","Wilko","Table Lamps",NA,NA,"1",NA,"No",0.85
"456318","Wilko Table Lamp Marble","Wilko","Table Lamps",NA,NA,"1","30 x 30 x 48cm","No",0.9
"456319","Wilko Lamp Ceramic White","Wilko","Table Lamps",NA,NA,"1",NA,"No",0.85
"456320","Wilko Lamp Small Glass Champagne","Wilko","Table Lamps",NA,NA,"1","18 x 28 x 37cm","No",0.9
"456321","Wilko Lamp Small Glass Smoke","Wilko","Table Lamps",NA,NA,"1","28 x 28 x 37cm","No",0.9
"456322","Wilko Lamp Textured Carved Grey","Wilko","Table Lamps",NA,NA,"1","30 x 30 x 49cm","No",0.9
"456443","Wilko Desk Lamp Designo White","Wilko","Desk Lamps",NA,NA,"1",NA,"No",0.85
