"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","Assembly","Material","DQ Score"
"427870","Wilko Spice Jar","Wilko","Storage Jars",NA,NA,NA,NA,NA,0.75
"427906","Wilko Forged Cutlery Set 16pcs","Wilko","Cutlery Sets",NA,"1","16 piece",NA,NA,0.93
"427907","Wilko Hammered Cutlery Set 24 Piece","Wilko","Cutlery Sets",NA,"1","24 piece",NA,NA,0.93
"427908","Wilko Latte Spoon 4pk","Wilko","Spoons",NA,"1","4 pk",NA,NA,0.93
"427945","Wilko Spice Rack Set 6 Piece","Wilko","Spice Rack",NA,"6 pce",NA,NA,NA,0.86
"427980","Wilko Square Cutlery Caddy","Wilko","Utensil Holder",NA,"1",NA,NA,NA,0.825
"446550","Wilko Hearts Cushion 43x43cm","Wilko","Cushions","Multi",NA,"43 x 43cm","No",NA,0.941666666666667
"446551","Wilko Watercolour Floral Cushion 43x43cm","Wilko","Cushions","Multi",NA,"43 x 43cm","No",NA,0.941666666666667
"446562","Wilko Oriental Blossom Cushion 43x43cm","Wilko","Cushions",NA,NA,"43 x 43cm","No","100% Cotton",0.941666666666667
"446571","Wilko Hearts Fleece Throw 125 x 150cm","Wilko","Throws","Multi",NA,"125 x 150cm","No",NA,0.941666666666667
"446577","Wilko Faux Silk Brown Stripe Cushion 43x43cm","Wilko","Cushions",NA,NA,"43 x 43cm","No",NA,0.883333333333333
"446579","Wilko Striped Chenille Cushion Red","Wilko","Cushions",NA,NA,"43 x 43cm","No",NA,0.883333333333333
"446580","Wilko Weave Cushion Cream 43x43cm","Wilko","Cushions","Cream",NA,"43 x 43cm","No",NA,0.941666666666667
"446582","Wilko Faux Silk Green Stripe Cushion 43x43cm","Wilko","Cushions",NA,NA,"43 x 43cm","No",NA,0.883333333333333
"446596","Wilko Striped Chenille Cushion Duck Egg 43x43cm","Wilko","Cushions",NA,NA,"43 x 43cm","No",NA,0.883333333333333
"455651","Wilko Sparkly Cushion Grey 43x43cm","Wilko","Cushions","Grey","1","43 x 43cm",NA,NA,0.9
"455656","Wilko Robin Photo Cushion 43x43cm","Wilko","Cushions","Multi","1","43 X 43cm",NA,"Cotton",0.95
"455657","Wilko Sparkly Cushion Red 43x43cm","Wilko","Cushions","Red","1","43 x 43cm",NA,NA,0.9
"455658","Wilko Sparkly Cushion Natural 43x43cm","Wilko","Cushions","Cream","1","43 x 43cm",NA,NA,0.9
"455718","Wilko Robin Wreath Cushion 43x43cm","Wilko","Cushions","Multi","1","43 X 43cm",NA,"Cotton",0.95
"455731","Wilko Butterfly Cushion 43 x 43cm","Wilko","Cushions","Blue",NA,"43 x 43cm","No",NA,0.941666666666667
"455733","Wilko Velour Cushion Mink 50 x 50cm","Wilko","Cushions",NA,NA,"50 x 50cm","No",NA,0.883333333333333
"455738","Wilko Velour Cushion Green 50 x 50cm","Wilko","Cushions","Green",NA,"50 x 50cm","No",NA,0.941666666666667
"455743","Wilko Velour Cushion Pink 50 x 50cm","Wilko","Cushions","Pink",NA,"50 x 50cm","No",NA,0.941666666666667
"625640","Wilko Functional Vinegar Shaker","Wilko Functional","Oil and Vinegar Sets","Clear","1",NA,NA,NA,0.883333333333333
"627740","Wilko Functional Glass Salt Pot","Wilko Functional","Salt and Pepper Pots","Clear","1",NA,NA,NA,0.93
"629840","Wilko Functional Pepper Shaker","Wilko Functional","Salt and Pepper Pots",NA,"1",NA,NA,NA,0.86
