"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","Age","DQ Score"
"DIY","BAT","143631","Wilko Functional Zinc Chloride Batteries AAA 1.5V4pk","Wilko Functional","AAA",NA,"4pk",NA,NA,NA,"1.5V",NA,NA,NA,1
"DIY","BAT","143632","Wilko Functional Zinc Chloride Batteries PP3 9VSingle","Wilko Functional","9V",NA,NA,NA,NA,NA,"9V",NA,NA,NA,0.93
"DIY","BAT","143633","Wilko Functional Zinc  Batteries PJ996 6V Single","Wilko Functional","PJ996",NA,NA,NA,NA,NA,"6V",NA,NA,NA,0.93
"DIY","BAT","143634","Wilko Functional Zinc Chloride Batteries AA 1.5V12pk","Wilko Functional","AA",NA,"12pk",NA,NA,NA,"1.5V",NA,NA,NA,1
"DIY","BRA","343099","Wilko 20 Compartment Organiser Clear Large","Wilko Functional","Large",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.775
"DIY","BRA","343101","Wilko 9 Compartment Organiser Clear Small","Wilko Functional","1 Pack",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.833333333333333
"DIY","BRA","343105","Wilko 6 Compartment Organiser Crear Mini","Wilko Functional","1L",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.775
"DIY","CYC","21941","Wilko Puncture Repair Kit","Wilko Functional","1 Pack",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.833333333333333
"DIY","DOO","343132","Wilko Plastic D Shape Handles White 100mm","Wilko Functional","105mm","White","4pk",NA,NA,NA,NA,NA,NA,NA,0.891666666666667
"DIY","DOO","343507","Wilko Plastic Knob White 32mm 8pk","Wilko Functional","32mm","White","1",NA,NA,NA,NA,NA,NA,NA,0.891666666666667
"DIY","DOO","343508","Wilko Plastic Knob White 48mm 8pk","Wilko Functional","48mm","White","1",NA,NA,NA,NA,NA,NA,NA,0.891666666666667
"DIY","DOO","343522","Wilko Knob Pine Unlacquered 25mm 8pk","Wilko Functional","25mm","Wood","8pk","Unlacquered Pine",NA,NA,NA,NA,NA,NA,0.95
"DIY","DOO","343523","Wilko Knob Pine Unlacquered 38mm 8pk","Wilko Functional","38mm","Wood","8pk","Unlacquered Pine",NA,NA,NA,NA,NA,NA,0.95
"DIY","DOO","343692","Wilko Door Knob Beech Unlacqd 25mm 8pk","Wilko Functional","25mm","Wood","8pk","Unlacquered Beech",NA,NA,NA,NA,NA,NA,0.95
"DIY","DOO","343693","Wilko Door Knob Beech Unlacqd 38mm 8pk","Wilko Functional","38mm","Wood","8pk","Unlacquered Beech",NA,NA,NA,NA,NA,NA,0.95
"DIY","DOO","344049","Wilko Functional Lever Latch Aluminium","Wilko Functional","2 Pack",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","DOO","344050","Wilko Functional Lever Lock Aluminium","Wilko Functional","2 Pack",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","DOO","344051","Wilko Functional Georgian Latch Brass","Wilko Functional","2 Pack",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"DIY","DOO","344052","Wilko Functional  Georgian Lock Brass","Wilko Functional","2 Pack",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","DOO","344053","Wilko Functional Victorian Scroll Latch","Wilko Functional","2 Pack",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"DIY","DOO","344054","Wilko Functional  Victorian Scroll Lock","Wilko Functional","2 Pack",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","DOO","344055","Wilko Victorian Functional Latch Chrome","Wilko Functional","2 Pack",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.775
"DIY","DOO","344056","Wilko  Functional  Victorian lock Chrome","Wilko Functional","2 Pack",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.833333333333333
"DIY","DOO","344057","Wilko Functional Victorian Knob Chrome","Wilko Functional",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.825
"DIY","DOO","344058","Wilko Functional Victorian Knob Brass","Wilko Functional",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.825
"DIY","DOO","344059","Wilko  Functional Georgian knob Brass","Wilko Functional",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.775
"DIY","MOT","11442","Wilko Functional Rubber Car Mat 35 x 50cm","Wilko Functional","35x50cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"DIY","MOT","157344","Wilko Car Cleaning Cloth Pack","Wilko Functional",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.81
"DIY","MOT","184108","Wilko Functional Microfibre Cleaning Cloth","Wilko Functional",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"DIY","MOT","323211","Wilko Functional Car Mat Set 4pcs","Wilko Functional",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.825
"DIY","MOT","5691640","Wilko Functional Jumbo Car Sponge","Wilko Functional","One Size",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"DIY","SEC","187997","Wilko Combination Padlock 20mm","Wilko Functional","20mm",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.88
"DIY","SEC","26372","Wilko Laminated Padlock 30mm","Wilko Functional","30mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81
"DIY","SEC","26373","Wilko Laminated Padlock 40mm","Wilko Functional","40mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81
"DIY","SEC","26374","Wilko Laminated Padlock 50mm","Wilko Functional","50mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81
"DIY","SEC","4582140","Wilko Padlock Brass 20mm","Wilko Functional","20mm",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.88
"DIY","SEC","4582440","Wilko Padlock Brass 30mm","Wilko Functional","30mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81
"DIY","SEC","4582640","Wilko Padlock Brass 40mm","Wilko Functional","40mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81
"DIY","TOO","193592","Utility Box 16in","Wilko Functional","40.5x21.5cmx17.5cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.775
"DIY","TOO","193596","Utility Tool Box 12.5in","Wilko Functional","32x18cmx12.7cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.775
"DIY","TOO","206883","Wilko Radio Screwdriver Small","Wilko Functional","Small",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8625
"DIY","TOO","209131","Wilko Functional Metric Allen Key 8piece","Wilko Functional","1.5- 6mm",NA,"8pcs",NA,NA,NA,NA,NA,NA,NA,1
"DIY","TOO","209196","Wilko Precision Screwdriver Set 6 Piece","Wilko Functional",NA,NA,"6pcs",NA,NA,NA,NA,NA,NA,NA,0.8625
"DIY","TOO","209348","Functional Neon Tape Measure 3m","Wilko Functional","3m",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8625
"DIY","TOO","211939","Wilko Functional Side Cutter 152mm","Wilko Functional","6in",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"DIY","TOO","211940","Wilko Functional Combination Plier 6in","Wilko Functional",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.9125
"DIY","TOO","286640","Wilko Functional Utility Box 12in","Wilko Functional",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.825
"DIY","TOO","342284","Wilko Functional Hammer Drill 500W","Wilko Functional","500w",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"DIY","TOO","342285","Wilko Functional Jigsaw 230V 400W","Wilko Functional","230v",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"DIY","TOO","342286","Wilko Functional Orbital Sander 230V 1/3 Sheet","Wilko Functional","230v",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"DIY","TOO","343371","Wilko G Clamp 2in","Wilko Functional","2in",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8625
"DIY","TOO","343372","Wilko G Clamp 3in","Wilko Functional","3in",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8625
"DIY","TOO","343413","Wilko Plastic Torpedo Level 9in","Wilko Functional","9in",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8625
"DIY","TOO","343441","Wilko Long Nose Plier 6In","Wilko Functional","6in",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8625
"DIY","TOO","343448","Wilko Functional Screwdriver  5 x 100mm","Wilko Functional","5X100mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"DIY","TOO","343449","Wilko Functional Screwdriver 6 x 100mm","Wilko Functional","6X100mm",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"DIY","TOO","343450","Wilko Functional Screwdriver Pozi  1 x 100mm","Wilko Functional","1X100mm",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"DIY","TOO","343451","Wilko Functional Screwdriver Pozi 2 x 100mm","Wilko Functional","2X100mm",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"DIY","TOO","343453","Wilko Best Magnetic Tip Screwdriver  6 x 100mm","Wilko Functional","6X100mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8625
"DIY","TOO","343552","Wilko Adjustable Wrench 8In","Wilko Functional","8in",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.95
"DIY","TOO","343911","Wilko Wood Chisel Set","Wilko Functional",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,0.8625
"DIY","TOO","344213","Wilko Functional Junior Hacksaw 6in","Wilko Functional",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.9125
"DIY","TOO","344234","Wilko Tenon Saw 250mm","Wilko Functional","250mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8625
"DIY","TOO","344235","Wilko Functional Hand Saw 550mm","Wilko Functional","550mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"GAR","COM","331180","Wilko Get Growing Compost Multi-Purpose 50L","Wilko Functional",NA,NA,"1",NA,"No",NA,NA,NA,NA,NA,0.6
"GAR","COM","71522","Wilko Functional Multi Purpose Compost 15L","Wilko Functional","15L",NA,NA,NA,"No",NA,NA,NA,NA,NA,0.65
"GAR","SUN","137399","Wilko Get Gardening Plant Labels 12cm x 50","Wilko Functional","12x1.5cm",NA,"50pk",NA,NA,NA,NA,NA,NA,NA,0.833333333333333
"GAR","SUN","339846","Wilko Garden Rigger Gloves Mens Size 10","Wilko Functional",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.81
"GAR","SUN","339849","Wilko Garden Gloves Jersey Size 8 x 3 Pairs","Wilko Functional",NA,NA,"3pk",NA,NA,NA,NA,NA,NA,NA,0.81
"GAR","WAT","313396","Wilko Functional Garden Watering Can Green 6L","Wilko Functional","6L","Green",NA,NA,NA,NA,NA,"6L",NA,NA,1
"HOM","BAT","182571","Wilko Functional Bath Shower Spray","Wilko Functional",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.9125
"HOM","BAT","23469","Wilko Functional Toilet Brush White","Wilko Functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","236331","Wilko Functional Toilet Brush and Holder","Wilko Functional","Single","White","1",NA,NA,NA,NA,NA,NA,NA,1
"HOM","BAT","273035","Wilko Functional Mechanical Bathroom Scales","Wilko Functional","Single","White",NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"HOM","BAT","310208","Wilko Functional Toilet Seat","Wilko Functional","Single","White","1",NA,NA,NA,NA,NA,NA,NA,0.941666666666667
"HOM","BAT","310377","Wilko Waste Bin Opaque Plastic","Wilko Functional","Single","Clear","1",NA,NA,NA,NA,NA,NA,NA,0.891666666666667
"HOM","BAT","310379","Wilko Toilet Brush and Holder Opaque Plastic","Wilko Functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95
"HOM","BAT","426425","Wilko Pre Drilled Mirror 45 x 60cm","Wilko Functional","45cm x 60cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.95
"HOM","BAT","70733","Wilko Functional Shaving Mirror","Wilko Functional","Single",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"HOM","BED","326381","Wilko Functional Fitted Sheet Single","Wilko Functional","Single","Cream","1","52% Polyester, 48% Cotton",NA,"Washable",NA,NA,NA,NA,1
"HOM","BED","326382","Wilko Functional Fitted Sheet Double","Wilko Functional","Double","Cream","1","52% Polyester, 48% Cotton",NA,"Washable",NA,NA,NA,NA,1
"HOM","BED","326383","Wilko Functional Fitted Sheet King Size","Wilko Functional","Kingsize","White","1","52% Polyester, 48% Cotton",NA,"Washable",NA,NA,NA,NA,1
"HOM","BED","326384","Wilko Functional Housewife Pillowcases Cream 2pk","Wilko Functional","75x50cm","White","2pk","52% Polyester, 48% Cotton",NA,"Washable",NA,NA,NA,NA,1
"HOM","CHI","423198","Wilko Storage Box with Pink Lid 3pk","Wilko Functional","37.5x25x15cm","Multi","3","Polypropelyne",NA,NA,NA,NA,NA,NA,0.95
"HOM","CHI","423199","Wilko Storage Box with Blue Lid 3pk","Wilko Functional","38x25x15cm","Multi","3 Pack","Polypropelyne",NA,NA,NA,NA,NA,NA,0.95
"HOM","CHI","423200","Wilko Fold Flat Crate Pink","Wilko Functional","23x34x47cm","Pink","1","Polypropylene",NA,NA,NA,"32L",NA,NA,0.95
"HOM","CHI","423201","Wilko Fold Flat Crate Blue","Wilko Functional","23 x 34 x 47cm","Blue","1","Polypropylene",NA,NA,NA,"32L",NA,NA,0.95
"HOM","CHI","423202","Wilko Waste Bin Pink","Wilko Functional","19 x 19 x 22.5cm","Pink","1",NA,NA,NA,NA,NA,NA,NA,0.95
"HOM","CHI","423203","Wilko Waste Bin Blue","Wilko Functional","19 x 19 x 22.5cm","Blue","1",NA,NA,NA,NA,NA,NA,NA,0.95
"HOM","CHI","432870","Wilko 3 Drawer Tower Small Pink","Wilko Functional","27 x 19 x 29.5cm","Pink","1","Polypropylene",NA,NA,NA,NA,NA,NA,0.95
"HOM","CHI","432871","Wilko 3 Drawer Tower Small Blue","Wilko Functional","27 x 19 x 29.5cm","Multi","1","Polypropylene",NA,NA,NA,NA,NA,NA,0.95
"HOM","CLO","287986","Wilko Functional Round Wall Clock","Wilko Functional","Single","White",NA,NA,NA,NA,"Battery",NA,NA,NA,0.941666666666667
"HOM","CLO","287987","Wilko Round Wall Clock Black","Wilko Functional","22cm",NA,"1",NA,NA,NA,"Battery",NA,NA,NA,0.891666666666667
"HOM","CUS","68435","Wilko Functional  Cushion Inner Standard","Wilko Functional","41x41cm","White",NA,"100% Polypropylene Cover, 100% Polyester Filling",NA,"Wipe Clean Only",NA,NA,NA,NA,0.95
"HOM","CUS","68436","Wilko Functional Cushion Inner 46 x 46cm","Wilko Functional","46x46cm","White",NA,"100% Polypropylene Cover, 100% Polyester Filling",NA,"Wipe Clean Only",NA,NA,NA,NA,0.95
"HOM","DUV","327036","Wilko Functional Duvet Set Single Cream","Wilko Functional","Single","Cream","1","52% Polyester, 48% Cotton",NA,"Washable",NA,NA,NA,NA,1
"HOM","DUV","327037","Wilko Functional Duvet Set Double Cream","Wilko Functional","Double","Cream","1","52% Polyester, 48% Cotton",NA,"Washable",NA,NA,NA,NA,1
"HOM","DUV","327038","Wilko Functional Duvet Set King Size Cream","Wilko Functional","Kingsize","Cream","1","52% Polyester, 48% Cotton",NA,"Washable",NA,NA,NA,NA,1
"HOM","DUV","426766","Wilko Chenille Throw Teal 125 x 150cm","Wilko Functional","125 x 150cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.8
"HOM","DUV","426771","Wilko Chenille Throw Cream 125 x 150cm","Wilko Functional","125 x 150cm","Cream","1",NA,NA,NA,NA,NA,NA,NA,0.85
"HOM","DUV","426819","Wilko Chenille Throw Taupe 125 x 150cm","Wilko Functional","125 x 150cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.8
"HOM","DUV","426824","Wilko Chenille Throw Black 125 x 150cm","Wilko Functional","125 x 150cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.8
"HOM","DUV","426873","Wilko Chenille Throw Chocolate 125 x 150cm","Wilko Functional","125 x 150cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.8
"HOM","DUV","426878","Wilko Chenille Throw Red 125 x 150cm","Wilko Functional","125 x 150cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.8
"HOM","DUV","428255","Wilko Teddy Throw Brown 200 x 200cm","Wilko Functional","200 x 200cm",NA,"1",NA,"No",NA,NA,NA,NA,NA,0.6
"HOM","DUV","428256","Wilko Teddy Throw Mink and Latte 200 x 200cm","Wilko Functional","200 x 200cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.8
"HOM","DUV","428257","Wilko Teddy Throw Black 200 x 200cm","Wilko Functional","200 x 200cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.8
"HOM","FUR","304042","Wilko Functional 2 Tier Shelving Unit Oak Effect","Wilko Functional","Single","Cream","1",NA,"Yes",NA,NA,NA,NA,NA,0.9125
"HOM","FUR","304108","Wilko Functional 3 Tier Shelving Unit Oak Effect","Wilko Functional","Single","Brown","1pcs",NA,"Yes",NA,NA,NA,NA,NA,0.9125
"HOM","LIG","119704","Wilko Functional Coolie Hard Shade Cream 7.5in","Wilko Functional","7.5in","Cream",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"HOM","LIG","119811","Wilko Functional Coolie Hard Shade Cream 10in","Wilko Functional","25cm","Cream",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"HOM","LIG","119818","Wilko Functional Coolie Hard Shade Cream 12in","Wilko Functional","30cm","Cream",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"HOM","LIG","119821","Wilko Functional Coolie Hard Shade Cream 14in","Wilko Functional","14in","Cream",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"HOM","LIG","436839","Wilko Paper Floor Lamp","Wilko Functional",NA,NA,"1",NA,"No",NA,NA,NA,NA,NA,0.8
"HOM","LIG","6745","Wilko Functional Paper Shade White12 to 14in","Wilko Functional","30cm","White","1",NA,NA,NA,NA,NA,NA,NA,1
"HOM","LIG","6746","Wilko Functional Paper Shade White 16in","Wilko Functional","40cm","White","1",NA,NA,NA,NA,NA,NA,NA,1
"HOM","QUI","243582","Wilko Functional Pillow Protectors 74cm x 48cm2pk","Wilko Functional","70x39cm","White","2","100% Polypropylene",NA,"Washable",NA,NA,NA,NA,1
"HOM","QUI","326426","Wilko Functional Single Duvet 13.5 Tog","Wilko Functional","Single","White","1","100% Polypropylene Cover, 100% Polyester Filling",NA,"Dry Clean Only",NA,NA,NA,NA,1
"HOM","QUI","326428","Wilko Functional Double Duvet 13.5 Tog","Wilko Functional","Double","White","1","100% Polypropylene Cover, 100% Polyester Filling",NA,"Dry Clean Only",NA,NA,NA,NA,1
"HOM","QUI","326429","Wilko Functional King Size Duvet 13.5 Tog","Wilko Functional","Kingsize","White","1","100% Polypropylene Cover, 100% Polyester Filling",NA,"Dry Clean Only",NA,NA,NA,NA,1
"HOM","QUI","68312","Wilko Functional Pillows 2pk","Wilko Functional","70x46cm","White","2","100% Polypropylene Cover, 100% Polyester Filling",NA,"Dry Clean Only",NA,NA,NA,NA,1
"HOM","RUG","421713","Stripe Runner and Doormat Set Grey57 x 100cm and 57 x 40cm","Wilko Functional","Runner 57x100cm, Doormat 57x40cm","Grey",NA,"100% Polypropylene Pile, with Latex backing",NA,"Wash at 30",NA,NA,NA,NA,0.95
"HOM","RUG","421715","Stripe Runner and Doormat Set Grey57 x 150cm and 57 x 40cm","Wilko Functional","Runner 57x150cm, Doormat 57x40cm","Grey",NA,"100% Polypropylene Pile, with Latex backing",NA,"Wash at 30",NA,NA,NA,NA,0.95
"HOM","RUG","421716","Stripe Runner and Doormat Set Grey57 x 180cm and 57 x 40cm","Wilko Functional","Runner 57x180cm, Doormat 57x40cm","Grey",NA,"100% Polypropylene Pile, with Latex backing",NA,"Wash at 30",NA,NA,NA,NA,0.95
"HOM","RUG","421717","Stripe Runner and Doormat Set Grey57 x 230cm and 57 x 40cm","Wilko Functional","Runner 57x230cm, Doormat 57x40cm","Grey",NA,"100% Polypropylene Pile, with Latex backing",NA,"Wash at 30",NA,NA,NA,NA,0.95
