"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","Power","Model Number","DQ Score"
"TOI","FEM","318567","Gillette Venus Embrace Sensitive WomensDisposable Razors 3pk","Gillette","3 Pack","Multi","1",NA,NA,NA,0.941666666666667
"TOI","FEM","334665","Gillette Venus & Olay Razor Blades 3pk","Gillette","3 Pack","Multi","1",NA,NA,NA,0.941666666666667
"TOI","FEM","334689","Gillette Venus & Olay Women's Razor AndShower Holder","Gillette",NA,"Multi","1",NA,NA,NA,0.883333333333333
"TOI","FEM","430633","Gillette Venus Swirl Razor","Gillette",NA,NA,"1",NA,NA,NA,0.825
"TOI","FEM","430635","Gillette Satin Care Shaving Gel Violet Swirl 200ml","Gillette",NA,NA,"1",NA,NA,NA,0.825
"TOI","FEM","95791","Gillette Shaving Gel Satin Care Sensitive Skin200ml","Gillette","200ml","Multi","1",NA,NA,NA,0.941666666666667
"TOI","FEM","79305","Imperial Leather Anti-Perspirant Original 150ml","Imperial Leather","150ml",NA,"1",NA,NA,NA,1
"TOI","FEM","304186","Impulse Very Pink Body Spray 75ml","Impulse","75ml",NA,"1",NA,NA,NA,1
"TOI","FEM","32543","Impulse Hint of Musk Bodyspray 75ml","Impulse","75ml",NA,NA,NA,NA,NA,0.9125
"TOI","FEM","450024","Impulse Body Spray Instant Crush 75ml","Impulse","75ml",NA,"1",NA,NA,NA,1
"TOI","FEM","454056","Impulse Sweet Smile Body Spray 75ml","Impulse","75ml",NA,"1",NA,NA,NA,0.95
"TOI","FEM","73596","Impulse Tease Body Spray 75ml","Impulse","75ml",NA,"1",NA,NA,NA,1
"TOI","FEM","83047","Impulse True Love Body Spray 75ml","Impulse","75ml",NA,"1",NA,NA,NA,1
"TOI","FEM","193066","Mitchum Roll on Unperfumed 50ml","Mitchum","50ml",NA,"1",NA,NA,NA,1
"TOI","FEM","193068","Mitchum Roll On Powderfresh 50ml","Mitchum","50ml",NA,"1",NA,NA,NA,1
"TOI","FEM","236971","Mitchum Anti-Perspirant Powderfresh 150ml","Mitchum","150ml",NA,NA,NA,NA,NA,0.9125
"TOI","FEM","236974","Mitchum Anti-Perspirant Unscented 150ml","Mitchum","150ml",NA,"1",NA,NA,NA,1
"TOI","FEM","412102","Mitchum Ultimate Anti-Perspirant Pure Fresh RollOn 45g","Mitchum",NA,NA,"1",NA,NA,NA,0.9125
"TOI","FEM","244640","Nivea Anti-Perspirant Pearl and Beauty 48 Hour150ml","Nivea","150ml",NA,"1",NA,NA,NA,1
"TOI","FEM","250289","Nivea Deodorant Roll On Pearl and Beauty 50ml","Nivea","50ml",NA,"1",NA,NA,NA,1
"TOI","FEM","315929","Nivea Anti-Perspirant Invisible Black and White150ml","Nivea","150ml",NA,"1",NA,NA,NA,1
"TOI","FEM","320724","Nivea Roll On Invisible For Black and White 50ml","Nivea","50ml",NA,"1",NA,NA,NA,1
"TOI","FEM","346544","Nivea Anti-Perspirant Pearl & Beauty 250ml","Nivea","250ml",NA,"1",NA,NA,NA,1
"TOI","FEM","346545","Nivea Anti-Perspirant Invisible Black and White250ml","Nivea","250ml",NA,"1",NA,NA,NA,1
"TOI","FEM","402953","Nivea Anti-Perspirant Stress Protect 250ml","Nivea",NA,NA,"1",NA,NA,NA,0.9125
"TOI","FEM","402956","Nivea Anti-Perspirant Stress Protect 50ml","Nivea","50ml",NA,"1",NA,NA,NA,1
"TOI","FEM","413845","Nivea Anti-Perspirant Dry Confidence 48 Hour 150ml","Nivea","150ml",NA,"1",NA,NA,NA,1
"TOI","FEM","430663","Nivea Protect and Care 48 Hour Roll On 50ml","Nivea",NA,NA,NA,NA,NA,NA,0.825
"TOI","FEM","430664","Nivea Protect and Care Deo 150ml","Nivea","150ml",NA,"1",NA,NA,NA,1
"TOI","FEM","430669","Nivea Anti-Perspirant Protect & Care 48 Hour 250m","Nivea",NA,NA,NA,NA,NA,NA,0.825
"TOI","FEM","449639","Nivea Anti Perspirant 250mlBlack and White Invisible","Nivea","250ml",NA,"1",NA,NA,NA,1
"TOI","FEM","412101","Mitchum Anti-Perspirant Showerfresh 150ml","Revlon",NA,NA,NA,NA,NA,NA,0.775
"TOI","FEM","430855","Mitchum Ultimate Gel Powder Fresh 57g","Revlon",NA,NA,NA,NA,NA,NA,0.775
"TOI","FEM","456467","Charlie Bodyspray Peach Passion 75ml","Revlon",NA,NA,"1",NA,NA,NA,0.8125
"TOI","FEM","195475","Sanex Dermo Invisible Anti-Perspirant 150ml","Sanex","150ml",NA,"1",NA,NA,NA,1
"TOI","FEM","195482","Sanex Dermo Sensitive Anti-Perspirant 150ml","Sanex","150ml",NA,"1",NA,NA,NA,1
"TOI","FEM","206455","Sanex Roll On Invisible 50ml","Sanex","50ml",NA,"1",NA,NA,NA,1
"TOI","FEM","302181","Sanex Roll On Sensitive 50ml","Sanex",NA,NA,"1",NA,NA,NA,0.9125
"TOI","FEM","332722","Sanex Anti-Perspirant Invisible Dry 250ml","Sanex","250ml",NA,"1",NA,NA,NA,1
"TOI","FEM","402983","Sanex Anti-Perspirant Sensitive 250ml","Sanex",NA,NA,"1",NA,NA,NA,0.9125
"TOI","FEM","418028","Sanex Anti-Perspirant 7in1 Protection 50ml","Sanex",NA,NA,"1",NA,NA,NA,0.9125
"TOI","FEM","430686","Right Guard Female Xtrm Invisible 150ml","Schwarzkopf","150ml",NA,"1",NA,NA,NA,0.95
"TOI","FEM","430690","Right Guard Women Anti Perspirant 48HTotal Defence Sport 250ml","Schwarzkopf","250ml",NA,"1",NA,NA,NA,0.95
"TOI","FEM","430780","Right Guard Women Anti Perspirant 72H Cool150ml","Schwarzkopf","150ml",NA,"1",NA,NA,NA,0.95
"TOI","FEM","449875","Right Guard Womens Anti Perspirant 150mlPure","Schwarzkopf","150ml",NA,"1",NA,NA,NA,0.95
"TOI","FEM","450012","Right Guard Female Anti Perspirant 250mlTotal Defence 5 Invisible","Schwarzkopf","250ml",NA,"1",NA,NA,NA,0.95
"TOI","FEM","450013","Right Guard Women Anti Persipirant 250mlTotal Defence 5 Pure","Schwarzkopf","250ml",NA,"1",NA,NA,NA,0.95
"TOI","FEM","249816","So...? Perfumed Body Spray 75ml","So... ","75ml",NA,"1",NA,NA,NA,0.95
"TOI","FEM","249817","So...? Kiss Me Body Spray 75ml","So... ","75ml",NA,"1",NA,NA,NA,0.95
"TOI","FEM","249819","So...? Sinful Body Spray 75ml","So... ","75ml",NA,"1",NA,NA,NA,0.95
"TOI","FEM","450096","So…? Pink Grapefruit Body Mist 100ml","So... ","100ml",NA,"1",NA,NA,NA,0.95
"TOI","FEM","450100","So…? Iced Melon Mody Mist 100ml","So... ","100ml",NA,"1",NA,NA,NA,0.95
"TOI","FEM","450101","So…? Fresh Floral Body Mist 100ml","So... ","100ml",NA,"1",NA,NA,NA,0.95
"TOI","FEM","350188","Soft & Gentle Anti-Perspirant Wildrose & Vanilla150ml","Soft & Gentle","150ml",NA,"1",NA,NA,NA,1
"TOI","FEM","427714","Soft & Gentle Lotus and Watermelom 150ml","Soft & Gentle",NA,NA,"1",NA,NA,NA,0.9125
"TOI","FEM","189013","Sure Anti-Perspirant Cotton Dry 250ml","Sure","250ml",NA,"1",NA,NA,NA,1
"TOI","FEM","252024","Sure Anti-Perspirant Crystal Clear 250ml","Sure",NA,NA,"1",NA,NA,NA,0.9125
"TOI","FEM","278398","Sure Women Maximum Protection Anti-PerspirantEveryday Fresh 45ml","Sure",NA,NA,"1",NA,NA,NA,0.9125
"TOI","FEM","286471","Sure Roll On Invisible Aqua 50ml","Sure","50ml",NA,"1",NA,NA,NA,1
"TOI","FEM","304180","Sure Women Invisible Black and WhiteAnti Perspirant Deodorant Aerosol 250ml","Sure",NA,NA,"1",NA,NA,NA,0.9125
"TOI","FEM","304183","Sure 48 Hour  Roll On Bright Bouquet 50ml","Sure","50ml",NA,"1",NA,NA,NA,1
"TOI","FEM","304184","Sure Anti-Perspirant Bright Bouquet 250ml","Sure","250ml",NA,"1",NA,NA,NA,1
"TOI","FEM","332844","Sure Anti-Perspirant Bright Bouquet 75ml","Sure","75ml",NA,"1",NA,NA,NA,1
"TOI","FEM","335748","Sure Maximum Protection Anti-Perspirant Cream 45ml","Sure","45ml",NA,"1",NA,NA,NA,1
"TOI","FEM","451487","Sure Invisible Aqua Spray Deodorant 150ml","Sure",NA,NA,NA,NA,NA,NA,0.825
"TOI","FEM","451488","Sure Invisible Pure Spray Deodorant 150ml","Sure",NA,NA,NA,NA,NA,NA,0.825
"TOI","FEM","49930","Sure Cool Blue Roll On 50ml","Sure","50ml",NA,"1",NA,NA,NA,1
"TOI","FEM","62791","Sure Roll-On Cotton Dry 50ml","Sure","50ml",NA,"1",NA,NA,NA,1
"TOI","FEM","286997","Vaseline Anti-Perspirant Active Fresh 250ml","Vaseline","250ml",NA,"1",NA,NA,NA,1
"TOI","FEM","431454","Vaseline Anti-Perspirant Double Invisable 250ml","Vaseline",NA,NA,"1",NA,NA,NA,0.9125
"TOI","FEM","451485","Vaseline Anti Perspirant Deodorant 150mlActive Fresh","Vaseline",NA,NA,NA,NA,NA,NA,0.825
"TOI","FEM","451489","Vaseline Anti Perspirant Aloe Sensitive 48H150ml","Vaseline",NA,NA,NA,NA,NA,NA,0.825
"TOI","FEM","95808","Vaseline Roll On Fresh 50ml","Vaseline","50ml",NA,"1",NA,NA,NA,1
"TOI","FEM","95809","Vaseline Roll On Active 50ml","Vaseline","50ml",NA,"1",NA,NA,NA,1
"TOI","FEM","176499","Veet Hair Removal Cream for Sensitive Skin 100ml","Veet","100ml","Multi","1",NA,NA,NA,0.941666666666667
"TOI","FEM","189325","Veet Ready To Use Facial Wax Strips 20pk","Veet",NA,"Multi","1",NA,NA,NA,0.883333333333333
"TOI","FEM","202242","Veet Wax Strips for Sensitive Skin 20pk","Veet",NA,NA,"20pk",NA,NA,NA,0.825
"TOI","FEM","229481","Veet Hair Removal Cream for Sensitive Skin 200ml","Veet","200ml","Multi","1",NA,NA,NA,0.941666666666667
"TOI","FEM","229484","Veet Hair Removal Cream Normal Skin 100ml","Veet","100ml","Multi","1",NA,NA,NA,0.941666666666667
"TOI","FEM","242622","Veet In-Shower Hair Removal Cream Normal Skin150ml","Veet","150ml","Multi","1",NA,NA,NA,0.941666666666667
"TOI","FEM","278881","Veet Spray On Hair Removal Cream Sensitive Skin150ml","Veet","150ml","Multi","1",NA,NA,NA,0.941666666666667
"TOI","FEM","411991","Veet Sensitive Hair Removal Cream 200ml","Veet","200ml",NA,"1",NA,NA,NA,0.883333333333333
"TOI","FEM","444982","Veet Sensitive Precision Beauty Styler","Veet",NA,NA,NA,NA,NA,NA,0.766666666666667
"TOI","FEM","412036","Gillette Venus Snap Womens Portable Razor","Venus",NA,NA,"1",NA,NA,NA,0.825
"TOI","FEM","430632","Gillette Venus Swirl Razor Blades 3pk","Venus",NA,NA,NA,NA,NA,NA,0.766666666666667
"TOI","FEM","230079","Wilkinson Sword Xtreme 3 Beauty DisposableRazor 4pk","Wilkinson Sword","4 Pack","Multi","1",NA,NA,NA,0.941666666666667
"TOI","FEM","338692","Wilkinson Sword Quattro Razor for Sensitive Skin3pk","Wilkinson Sword",NA,"Multi","1",NA,NA,NA,0.883333333333333
"TOI","FEM","432893","Wilkinson Sword Extra Beauty Razors 10pk","Wilkinson Sword",NA,NA,NA,NA,NA,NA,0.766666666666667
"TOI","FEM","449853","Wilkinson Sword Quattro for Women Razor","Wilkinson Sword",NA,NA,NA,NA,NA,NA,0.766666666666667
"TOI","FEM","449854","Wilkinson Sword Intuition Sensitive Care Razor","Wilkinson Sword",NA,NA,NA,NA,NA,NA,0.766666666666667
"TOI","FEM","449855","Wilkinson Sword Intuition Sensitive Care Blades3pk","Wilkinson Sword",NA,NA,NA,NA,NA,NA,0.766666666666667
"TOI","FEM","449856","Quattro for Women Bikini Razor","Wilkinson Sword",NA,NA,NA,NA,NA,NA,0.716666666666667
"TOI","FEM","449857","Wilkinson Sword Quattro for Women Blades3pk","Wilkinson Sword",NA,NA,NA,NA,NA,NA,0.766666666666667
"TOI","FEM","449858","Wilkinson Sword Xtreme 3 Beauty SensitiveRazors 4pk","Wilkinson Sword",NA,NA,NA,NA,NA,NA,0.766666666666667
"TOI","FEM","449860","Wilkinson Sword Intuition Ultra Moisture Razor 1pk","Wilkinson Sword",NA,NA,NA,NA,NA,NA,0.766666666666667
"TOI","FEM","449861","Wilkinson Sword Intuition Ultra Moisture Blades3pk","Wilkinson Sword",NA,NA,NA,NA,NA,NA,0.766666666666667
"TOI","FEM","342707","Wilko Sassy Body Spray 75ml","Wilko","75ml",NA,"1",NA,NA,NA,1
"TOI","FEM","342740","Wilko Bliss Body Spray 75ml","Wilko","75ml",NA,"1",NA,NA,NA,1
"TOI","FEM","342927","Wilko Anti-Perspirant Radiance Care 200ml","Wilko","200ml",NA,"1",NA,NA,NA,1
"TOI","FEM","343585","Wilko Rhythm Body Spray 75ml","Wilko","75ml",NA,"1",NA,NA,NA,1
"TOI","FEM","344853","Wilko Scandal Body Spray 75ml","Wilko","75ml",NA,"1",NA,NA,NA,1
"TOI","FEM","345025","Wilko Blissful Body Spray 75ml","Wilko","75ml",NA,"1",NA,NA,NA,1
"TOI","FEM","345026","Wilko Fantasy Body Spray 75ml","Wilko","75ml",NA,"1",NA,NA,NA,1
"TOI","FEM","345657","Wilko Shaving Gel Sensitive Skin 200ml","Wilko","200ml",NA,NA,NA,NA,NA,0.825
"TOI","FEM","345659","Wilko Shaving Gel Moisturising 200ml","Wilko",NA,NA,"1",NA,NA,NA,0.825
"TOI","FEM","346678","Wilko Roll On Plum and Rose 50ml","Wilko",NA,NA,"1",NA,NA,NA,0.9125
"TOI","FEM","346680","Wilko Roll On Lilly and Peony 50ml","Wilko",NA,NA,"1",NA,NA,NA,0.9125
"TOI","FEM","347805","Wilko Twin Blade Disposable Razors 10pk","Wilko","10 Pack","Multi","10",NA,NA,NA,0.941666666666667
"TOI","FEM","347806","Wilko Triple Blade Disposable Razors 5pk","Wilko",NA,"Multi","5",NA,NA,NA,0.883333333333333
"TOI","FEM","347809","Wilko Triple Blade Cartridges 5pk","Wilko","5 Pack","Multi","1",NA,NA,NA,0.941666666666667
"TOI","FEM","347810","Wilko Triple Blade Trend Pink Handle Razor","Wilko",NA,"Multi","1",NA,NA,NA,0.883333333333333
"TOI","FEM","347811","Wilko Triple Blade System Razor1 Handle and 2 Cartridges","Wilko",NA,"Multi","1",NA,NA,NA,0.883333333333333
"TOI","MEN","142235","Adidas Body Spray Pure Energy 150ml","Adidas","150ml",NA,"1",NA,NA,NA,1
"TOI","MEN","170184","Adidas Body Spray Ice Dive 150ml","Adidas","150ml",NA,NA,NA,NA,NA,0.9125
"TOI","MEN","313503","Adidas Shower Gel Ice Dive 250ml","Adidas","250ml",NA,NA,NA,NA,NA,0.9125
"TOI","MEN","313506","Adidas Pure Game Shower Gel 250ml","Adidas","250ml",NA,"1",NA,NA,NA,1
"TOI","MEN","349230","Adidas Ice Dive Anti-Perspirant 250ml","Adidas","250ml",NA,"1",NA,NA,NA,1
"TOI","MEN","349231","Adidas Pure Game Anti-Perspirant 250ml","Adidas","250ml",NA,"1",NA,NA,NA,1
"TOI","MEN","411970","Adidas Climacool Anti-Perspirant 250ml","Adidas","APD bottle 22cm",NA,"1",NA,NA,NA,1
"TOI","MEN","426896","Adidas Extreme Power Body Spray 150ml","Adidas",NA,NA,"1",NA,NA,NA,0.8625
"TOI","MEN","430627","Adidas Climacool Shower Gel 250ml","Adidas","250ml",NA,"1",NA,NA,NA,1
"TOI","MEN","449633","Adidas Champions League 3 Body Spray 150ml","Adidas",NA,NA,"1",NA,NA,NA,0.9125
"TOI","MEN","449634","Adidas Champions League 3 Shower Gel 250ml","Adidas",NA,NA,"1",NA,NA,NA,0.9125
"TOI","MEN","402930","Alpecin Caffeine Shampoo C1 250ml","Ariel","250ml",NA,"1",NA,NA,NA,0.95
"TOI","MEN","286464","Beckham Deodorant Spray Instinct 150ml","Beckham","150ml",NA,"1",NA,NA,NA,1
"TOI","MEN","336833","Beckham Deodorant Homme 150ml","Beckham","150ml",NA,NA,NA,NA,NA,0.9125
"TOI","MEN","336858","Beckham Instinct  Aftershave 50ml","Beckham","50ml",NA,NA,NA,NA,NA,0.9125
"TOI","MEN","402943","Beckham Instinct Hair and Body Wash 200ml","Beckham","200ml",NA,"1",NA,NA,NA,1
"TOI","MEN","320727","Bic 2 Sensitive Disposables Soft Shave 10pk","Bic",NA,"Multi","10",NA,"NONE","838530",0.95
"TOI","MEN","434302","Bic Flex 4 Comfort Razors 3pk","Bic",NA,NA,NA,NA,NA,NA,0.75
"TOI","MEN","58185","Bic 1 Disposable Razor Sensitive 10pk","Bic","10 Pack","Multi","1",NA,NA,NA,0.9
"TOI","MEN","236978","Brut Original Anti-Persperant 200ml","Brut","200ml",NA,"1",NA,NA,NA,1
"TOI","MEN","242445","Brut Aftershave 100ml","Brut","100ml",NA,"1",NA,NA,NA,1
"TOI","MEN","32367","Brut Original Deodorant 200ml","Brut","200ml",NA,"1",NA,NA,NA,1
"TOI","MEN","430849","Brut Sport Deodorant 200ml","Brut","200ml",NA,"1",NA,NA,NA,1
"TOI","MEN","449511","Brut Deo Attraction Deodorant 200ml","Brut",NA,NA,"1",NA,NA,NA,0.9125
"TOI","MEN","449512","Brut Roll On Deodorant 50ml","Brut",NA,NA,"1",NA,NA,NA,0.9125
"TOI","MEN","77520","Brut Splash-On Lotion 200ml","Brut","200ml",NA,"1",NA,NA,NA,1
"TOI","MEN","225116","Brylcreem Gel Original 150ml","Brylcreem","150ml","Multi","1",NA,NA,NA,1
"TOI","MEN","55412","Brylcreem Strong 24 Hour Hold Gel 150ml","Brylcreem","150ml","Multi","1",NA,NA,NA,1
"TOI","MEN","286238","Dove Men+Care Clean ComfortAnti-Perspirant 250ml","Dove","250ml",NA,"1",NA,NA,NA,1
"TOI","MEN","286241","Dove Men+Care Extra FreshAnti-Perspirant 250ml","Dove","250ml",NA,NA,NA,NA,NA,0.9125
"TOI","MEN","286461","Dove Men+Care Body and Face Wash Clean Comfort250ml","Dove","250ml",NA,NA,NA,NA,NA,0.9125
"TOI","MEN","332823","Dove Men+Care Deodorant Roll On Clean ComfortAnti-Perspirant 50ml","Dove","50ml",NA,"1",NA,NA,NA,1
"TOI","MEN","450369","Dove For Men Shower Gel Minerals And Sage 250ml","Dove",NA,NA,"1",NA,NA,NA,0.9125
"TOI","MEN","147317","Gillette Mach 3 Men's Razor Blades 4pk","Gillette",NA,"Multi","1",NA,NA,NA,0.85
"TOI","MEN","147318","Gillette Mach3 Men's Razor Blades 8 Refills","Gillette",NA,"Multi","1",NA,NA,NA,0.85
"TOI","MEN","199624","Gillette Mach3 Turbo Mens Razor Blades 4pk","Gillette","4 Pack","Multi","1",NA,NA,NA,0.9
"TOI","MEN","210390","Gillette Mach3 Men's Razor","Gillette",NA,"Multi","1",NA,NA,NA,0.85
"TOI","MEN","214467","Gillette Shaving Foam Sensitive Skin 200ml","Gillette","200ml","Multi","1",NA,NA,NA,0.9
"TOI","MEN","225958","Gillette Contour Plus Replacement Cartridges10pk","Gillette","10 Pack","Multi","1",NA,NA,NA,0.9
"TOI","MEN","247676","Gillette Fusion Mens Razor","Gillette",NA,"Multi","1",NA,NA,NA,0.85
"TOI","MEN","247678","Gillette Fusion Hydra Gel Sensitive Skin 200ml","Gillette","200ml","Multi","1",NA,NA,NA,0.9
"TOI","MEN","247680","Gillette Fusion Mens Razor Blades 4pk","Gillette",NA,"Multi","1",NA,NA,NA,0.85
"TOI","MEN","278842","Gillette Mach3 Disposable Razor 3pk","Gillette",NA,"Multi","1",NA,NA,NA,0.85
"TOI","MEN","286209","Gillette Blue III Disposibles 4pk","Gillette",NA,"Multi","4",NA,NA,NA,0.85
"TOI","MEN","302123","Gillette Fusion Proglide Hydrating Shave Gel 200ml","Gillette","200ml","Multi","1",NA,NA,NA,0.9
"TOI","MEN","323304","Gillette Fusion Proglide Mens Razor Blades4pk","Gillette",NA,"Multi","1",NA,NA,NA,0.85
"TOI","MEN","323307","Gillette Fusion Proglide Power Mens Razor Blades4pk","Gillette","4 Pack","Multi","1",NA,NA,NA,0.9
"TOI","MEN","332715","Gillette Sensor 3 Sensitive Mens DisposableRazors 4pk","Gillette","4 Pack","Multi","1",NA,NA,NA,0.9
"TOI","MEN","333108","Gillette Fusion Power Mens Razor Blades 4pk","Gillette",NA,"Multi","1",NA,NA,NA,0.85
"TOI","MEN","33777","Gillette Shaving Foam Regular 200ml","Gillette","200ml","Multi","1",NA,NA,NA,0.941666666666667
"TOI","MEN","402966","Gillette Sensor 3 Disposable Razors 8pk","Gillette",NA,"Multi","8",NA,NA,NA,0.85
"TOI","MEN","412360","Gillette Fusion Proglide Sensitive Ocean BreezeShaving Gel 170ml","Gillette",NA,NA,"1",NA,NA,NA,0.8
"TOI","MEN","412364","Gillette Fusion Proglide Sensitive Active SportShaving Gel 170ml","Gillette",NA,NA,"1",NA,NA,NA,0.8
"TOI","MEN","413174","Gillette Fusion Proglide Razor with FlexBallTechnology","Gillette",NA,NA,"1",NA,NA,NA,0.8
"TOI","MEN","413176","Gillette Fusion Proglide Power Razor withFlexBall Technology","Gillette",NA,NA,"1",NA,NA,NA,0.8
"TOI","MEN","427806","Gillette Mach 3 Sensitive  Gel 200ml","Gillette",NA,NA,"1",NA,NA,NA,0.8
"TOI","MEN","430638","Gillette Fushion Proshield Chill Blades 4pk","Gillette",NA,NA,NA,NA,NA,NA,0.75
"TOI","MEN","430639","Gillette Fusion Proshield Blades 4pk","Gillette",NA,NA,NA,NA,NA,NA,1
"TOI","MEN","430640","Gillette Fusion Proshield Manual Razor","Gillette",NA,NA,"1",NA,NA,NA,0.86
"TOI","MEN","430641","Gillette Fusion Proshield Manual Chill Razor","Gillette",NA,NA,"1",NA,NA,NA,0.8
"TOI","MEN","431266","Gillette Blue 2 Disposable Razor 8pk","Gillette",NA,NA,"8pk",NA,NA,NA,0.8
"TOI","MEN","433592","Gillette Mach 3 Turbo Mens Razor","Gillette",NA,NA,NA,NA,NA,NA,0.766666666666667
"TOI","MEN","438806","Gillette Mach 3 Razor + 11 Blades","Gillette",NA,NA,NA,NA,NA,NA,0.75
"TOI","MEN","450094","Gillette Fusion Razor and 10 Blades","Gillette",NA,NA,"10",NA,NA,NA,0.8
"TOI","MEN","450095","Gillette Fusion Proshield Razor 3 Blades","Gillette",NA,NA,"3",NA,NA,NA,0.8
"TOI","MEN","451677","Gillette Blue II Disposable Razors 20pk","Gillette",NA,NA,"20",NA,NA,NA,0.8
"TOI","MEN","453461","Gillette ProShield Razor and 8 Blades","Gillette",NA,NA,"1",NA,NA,NA,0.8
"TOI","MEN","47690","Gillette Blue II Disposable Razor 5pk","Gillette",NA,"Multi","5pk",NA,NA,NA,0.883333333333333
"TOI","MEN","63196","Gillette Sensitive Skin Shave Gel 200ml","Gillette","195g","Multi","1",NA,NA,NA,0.941666666666667
"TOI","MEN","71935","Gillette Series Moisturizing Shaving Gel 200ml","Gillette","200ml","Multi","1",NA,NA,NA,0.9
"TOI","MEN","71936","Gillette Series Sensitive Skin Shaving Gel 200ml","Gillette","200ml","Multi","1",NA,NA,NA,0.9
"TOI","MEN","78871","Gillette Sensor Excel 5 Refill Blades","Gillette",NA,"Multi","1",NA,NA,NA,0.85
"TOI","MEN","100436","Just for Men Medium Brown","Just For Men",NA,"Brown","1",NA,NA,NA,0.93
