"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Power","Capacity","Coverage","Age","Model Number","DQ Score"
"DEC","CAR","2849240","RolaBond Hardwood and Vinyl Metal Edgings Vinyl Cover Strip Silver M107 90cmx2.5cm","RolaBond","90cmx2.5cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"DEC","CAR","59489","RolaBond Hardwood and Vinyl Metal Edgings Coverstrip Extra Wide Silver 90cm x 6cm","RolaBond","90cmx6cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.93
"DEC","CAR","341317","Unibond Double Sided Tape 38mm x 5m","Unibond","38mmx5m",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.93
"DEC","CAR","341319","Unibond Permanent Carpet Tape 38mm x 5m","Unibond","38mmx5m",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.93
"DEC","CAR","151446","Wilko Natural Wood Flooring Trim H100-N 80cm x 9cm","Wilko","80x9cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.93
"DEC","CAR","2848950","Wilko Carpet Cover Joining Strip Gold 900mm","Wilko","900mm","Gold","1",NA,NA,NA,NA,NA,NA,NA,1
"DEC","CAR","340855","Wilko Laminate Curved Edge Silver M131","Wilko","1 Pack",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.93
"DEC","CAR","342921","Wilko Heavy Duty Spray Adhesive For Carpets","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"DEC","FIL","159219","Polycell 3 in 1 Mould Killer 500ml","Polycell","500ml",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8
"DEC","FIL","159721","Polycell Weather Proof Polyfilla 330g","Polycell","330g",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"DEC","FIL","160840","Polycell Fine Surface Polyfilla 400g","Polycell","400g",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8625
"DEC","FIL","160843","Polycell Fine Surface Polyfilla 500g","Polycell","500g",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8625
"DEC","FIL","162078","Polycell Finishing Skim Polyfilla 1L","Polycell","1L",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"DEC","FIL","200275","Polycell Quick Drying Polyfilla 500g","Polycell","500g",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"DEC","FIL","237632","Polycell Damp Seal 500ml","Polycell","500ml",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"DEC","FIL","237633","Polycell Damp Seal One Coat 1L","Polycell","1L",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"DEC","FIL","288363","Polycell Finishing Skim Ready Mixed 2.5L","Polycell","25L",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"DEC","FIL","288364","Polycell Cement Quick Set 2kg","Polycell","2kg",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"DEC","FIL","288365","Polycell Polyfilla Deep Gap 1L","Polycell","1L",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"DEC","FIL","288366","Polycell Plaster Repair Ready Mixed 2.5L","Polycell","2.5L",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"DEC","FIL","3106040","Polyfilla Quick Dry 330g","Polycell","330g",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.95
"DEC","FIL","3106940","Polycell Multi Purpose Polyfilla 450g","Polycell","450g",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"DEC","FIL","3107040","Polycell Multi Purpose Polyfilla 1.8kg","Polycell","1.8kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"DEC","FIL","3111740","Polycell Multi Purpose Polyfilla 1kg","Polycell","1kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"DEC","FIL","315533","Polycell Stain Stop Aerosol 250ml","Polycell","250ml",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"DEC","FIL","315534","Polycell Stain Stop Can 1L","Polycell","1L",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"DEC","FIL","332445","Polycell Polyfilla Spray 300ml","Polycell","300ml",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"DEC","FIL","422778","Polycell Flexible Gap Pollyfilla 330g","Polycell","330g",NA,"1",NA,"No",NA,NA,NA,NA,NA,0.65
"DEC","FIL","422779","Polycell Plaster Repair 450g","Polycell","450g",NA,"1",NA,"No",NA,NA,NA,NA,NA,0.65
"DEC","FIL","422780","Polycell Plaster Repair 1.8kg","Polycell","1.8kg",NA,"1",NA,"No",NA,NA,NA,NA,NA,0.65
"DEC","FIL","422788","Polycell Advanced Polyfilla 200ml","Polycell","200ml",NA,"1",NA,"No",NA,NA,NA,NA,NA,0.65
"DEC","FIL","92207","Polycell Multi Purpose Polyfilla 330g","Polycell","330ml",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"DEC","FIL","77798","Polycell Flexible Gap Polyfilla Standard Cartridge290ml","Polyfilla",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.9125
"DEC","FIL","150102","Ronseal High Performance Wood Filler White PaintedFinish 275g","Ronseal","275g",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"DEC","FIL","150111","Ronseal High Performance Wood Filler Natural Pine275g","Ronseal","275g",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"DEC","FIL","150116","Ronseal Wet Rot Wood Hardener 250ml","Ronseal","250ml",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"DEC","FIL","199563","Ronseal Multi Purpose Wood Filler Natural Pine 100g","Ronseal","100g",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"DEC","FIL","199566","Ronseal Multi Purpose Wood Filler Light Antique Pine 100g","Ronseal","100g",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"DEC","FIL","199567","Ronseal Multi Purpose Wood Filler Medium Mahogany100g","Ronseal","100g",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"DEC","FIL","199569","Ronseal Multi Purpose Wood Filler White Painted Finish 100g","Ronseal","100g",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"DEC","FIL","162075","Unibond All-Purpose No More Cracks Ready Mixed Filler 600g","Unibond","600g",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"DEC","FIL","457574","Unibond No More Big Gaps Expanding Foam Cream 500ml","Unibond","500ml","Cream","1","Expanding Foam MDI","No",NA,NA,NA,NA,NA,0.6
"DEC","FIL","457575","Unibond WhiteTeq Expanding Foam 500ml","Unibond","500ml","White","1","Expanding Foam MDI","No",NA,NA,NA,NA,NA,0.6
"DEC","FIL","127764","Wilko Decorator Exterior Filler Ready Mixed 330g","Wilko","330g",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"DEC","FIL","158724","Wilko Wood Filler Flexible Ready Mixed Brown 1kg","Wilko","1kg",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"DEC","FIL","158725","Wilko Wood Filler Flexible Ready Mixed Brown 330g","Wilko","330g",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"DEC","FIL","215766","Wilko Ready Mix Quick Dry Filler 330g","Wilko","330g",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"DEC","FIL","215767","Wilko Filler All-Purpose Flexible Ready Mixed 330g","Wilko","330g",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"DEC","FIL","215768","Wilko Decorator Interior Filler Lightweight ReadyMixed 600ml","Wilko","600ml",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"DEC","FIL","215770","Wilko Ready Mix Quick Dry Filler 1kg","Wilko","1kg",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"DEC","FIL","245441","Wilko Decorators Caulk 300ml","Wilko","300ml",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"DEC","FIL","3106440","Wilko Filler All Purpose Ready Mixed 600g","Wilko","600g",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"DEC","FIL","3112040","Wilko Fine Surface Filler 600g","Wilko","600g",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"DEC","FIL","3112340","Wilko Decorator All-Purpose Filler Ready Mixed 1kg","Wilko","1kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"DEC","FIL","3126940","Wilko Putty Multi-Purpose Linseed Oil 1kg","Wilko","1kg",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"DEC","FIL","342036","Wilko Damp Seal   White 0.75L","Wilko","0.75L",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"DEC","FIL","342401","Wilko All Purpose Powder Filler  1.5Kg","Wilko","1.5kg",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"DEC","FIL","342402","Wilko Patching Plaster 1.5Kg","Wilko","1.5gk",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"DEC","FIL","342403","Wilko Exterior Powder  Filler 1.5Kg","Wilko","1.5kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"DEC","FIL","342404","Wilko Deep Gap Filler 1Ltr","Wilko","1L",NA,"2pk",NA,NA,NA,NA,NA,NA,NA,1
"DEC","FIL","342733","Wilko Fungicidal Spray 500ml","Wilko","500ml",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"DEC","FIL","49900","Wilko Filler All-Purpose Ready Mixed 330g","Wilko","330g",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"DEC","FIL","77958","Wilko Ready Mix Fine Surface Filler 330g","Wilko","330g",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"DEC","FIL","77959","Wilko Wood Filler Flexible Ready Mixed White 330g","Wilko","330g",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"DEC","FIL","77960","Wilko Wood Filler Flexible Ready Mixed White 1kg","Wilko","1kg",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"DEC","FIL","77961","Wilko Filler Ready Mixed Flexible 310ml","Wilko","310ml",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"DEC","INS","135521","Kilrock Damp Clear Moisture Trap","Kilrock","500g",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"DEC","INS","286004","Kilrock Gel-Safe Moisture Trap","Kilrock",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"DEC","INS","286005","Kilrock Gel-Safe Moisture Trap Refill x 2","Kilrock","2 Pack",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.93
"DEC","INS","410263","Kilrock Damp Clear Refill Sachets 1kg 2pk","Kilrock","1kg","White","1",NA,NA,NA,NA,NA,NA,NA,1
"DEC","INS","286745","Unibond Aero 360 Moisture Absorber 450g","Unibond","450g",NA,"1pk",NA,NA,NA,NA,NA,NA,NA,0.93
"DEC","INS","286746","Unibond Aero 360 Moisture Refill 2x450g","Unibond","2x450g",NA,"2pk",NA,NA,NA,NA,NA,NA,NA,0.93
"DEC","INS","315541","Unibond Humidity Absorber Kit 300g","Unibond","300g",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"DEC","INS","315542","Unibond Humidity Absorber Refill Tablets 300g 2pk","Unibond","300g",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"DEC","INS","427654","Unibond Aero 360 Refill 2pk","Unibond","450g x 2",NA,"2pk",NA,NA,NA,NA,NA,NA,NA,0.93
"DEC","INS","147738","Wilko Pipe Insulation 15mmx1m 5pk","Wilko","1m",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.93
"DEC","INS","236112","Wilko Door and Window Seal Brown 5m","Wilko","5m","Brown","1",NA,NA,NA,NA,NA,NA,NA,1
"DEC","INS","236113","Wilko Door and Window Seal White 5m","Wilko","5m",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.93
"DEC","INS","286006","Wilko Reflective Radiator Foil 50cmx5m","Wilko","5m x 50cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.93
"DEC","INS","344882","Wilko Pipe Insulation 1m x 22mm 5pk","Wilko","5x1mx22mm",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.93
"DEC","INS","344883","Wilko Self Adhesive Door Strip Brown","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"DEC","INS","344884","Wilko Self Adhesive Door Strip White","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"DEC","INS","5641040","Wilko Condensation Drip Strip 6m","Wilko","6m",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.93
"DEC","INS","97157","Draught Seal E White SFDP210 6m","Wilko","6m",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.88
"DEC","INS","97160","Wilko Door and Window E Seal Brown 6m","Wilko","6m",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.93
"DEC","INS","97190","Draught Seal White SFDP12 15m","Wilko","15m",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81
"DEC","INS","97192","Draught Seal P White SFDP220 6m","Wilko","6m",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.88
"DEC","INS","97194","PVC Brush Strip White SFDP02","Wilko","840mm",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.88
"DEC","PAS","158290","Solvite Wallpaper Adhesive Super Smooth Ready to Use 4.5kg","Solvite","4.5kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8
"DEC","PAS","2774240","Solvite Wallpaper All Purpose Adhesive Extra Strong 92g","Solvite","5 roll",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8
"DEC","PAS","2774940","Solvite Wallpaper Adhesive All Purpose Extra Strong Natural 185g","Solvite","10roll",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.85
"DEC","PAS","302378","Solvite Wallpaper Adhesive Paste The Wall 230g","Solvite","237g",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.85
"DEC","PAS","157037","Wilko Wallpaper Stripper Concentrated 500ml","Wilko","500ml",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.85
"DEC","PAS","2780240","Wilko All Purpose Wallpaper Adhesive 5 rolls","Wilko",NA,NA,"5pk",NA,NA,NA,NA,NA,NA,NA,0.8
"DEC","PAS","2780940","Wilko Decorator All-Purpose Wallpaper Adhesive","Wilko",NA,NA,"10pk",NA,NA,NA,NA,NA,NA,NA,0.8
"DEC","PAS","281050","Wilko Wallpaper Paste Brush 130mm","Wilko","130mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8
"DEC","PAS","281051","Wilko Wallpaper Hanging Brush 210mm","Wilko","210mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8
"DEC","PAS","281756","Atlas Plumb Bob","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.75
"DEC","PAS","341325","Wilko Ready Mixed Adhesive Wallcover 2.5Kg","Wilko","2.5kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8
"DEC","PAS","341326","Wilko Ready Mixed Adhesive Wallcover 5Kg","Wilko","5kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8
"DEC","PAS","341561","Wilko Plastic Paste Table","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.8
"DEC","PAS","49868","Wilko Border and Overlap Adhesive All Purpose Ready Mixed 250g","Wilko","250g",NA,"1",NA,NA,NA,NA,"1.3m²",NA,NA,0.9
"DEC","PAS","2784040","Paste Table with Hardboard Top","Wilko Functional","1 Pack",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.8
"DEC","PAS","343882","Wilko Functional Wallpaper Hanging Set 4pk","Wilko Functional","Assorted","Black","4pk",NA,NA,NA,NA,NA,NA,NA,0.9
"DEC","PRP","451167","3M Sandblaster Sanding Sponge 180 Grit Fine","3M","11 x 2.5 x 5.7cm","Gold","1","Aluminium Oxide Mineral, Paper Backing",NA,NA,NA,NA,NA,NA,0.9
"DEC","PRP","451168","3M Sandblaster Sanding Sponge 100 Grit Medium","3M","37.5 x 25 x 0.1cm","Purple","1","Aluminium Oxide Mineral, Paper Backing",NA,NA,NA,NA,NA,NA,0.9
"DEC","PRP","451169","3M Sandblaster Sponge 60 Grit Coarse","3M","26.25 x 37.5 x 1cm","Green","1","Aluminium Oxide Mineral, Paper Backing",NA,NA,NA,NA,NA,NA,0.9
"DEC","PRP","454503","3M Sandblaster Sandpaper 150 Grit Medium 3pk","3M","23.2 x 30.5 x 0.4cm","Yellow","3pk","Aluminium Oxide Mineral, Paper Backing",NA,NA,NA,NA,NA,NA,0.9
"DEC","PRP","454504","3M Sandblaster Sandpaper 240 Grit Fine 3pk","3M","23.2 x 30.5 x 0.4cm","Yellow","3pk","Aluminium Oxide Mineral, Paper Backing",NA,NA,NA,NA,NA,NA,0.9
"DEC","PRP","454505","3M Sandblaster Sandpaper 60 Grit Coarse 3pk","3M","23.2 x 30.5 x 0.4cm","Yellow","3pk","Aluminium Oxide Mineral, Paper Backing","No",NA,NA,NA,NA,NA,0.65
"DEC","PRP","315920","Bartoline Clean Spirit 750ml","Bartoline","750ml",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"DEC","PRP","342836","Disposable Coverall Large","Draper","Large",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
"DEC","PRP","289167","Nitromors Paint Varnish Remover 375ml","Nitromors","375ml",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.85
"DEC","PRP","160827","Thompsons uPVC Restorer 480ml","Thompson's","480ml",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
"DEC","PRP","454568","Unibond Masking Tape Multi-Surface 25mm x 25m","Unibond","25mm x 25m","Cream","1pk",NA,"No",NA,NA,NA,NA,NA,0.6
"DEC","PRP","10056","Wilko Sand Block Fine / Medium","Wilko","Medium","Black",NA,"Aluminium Oxide, Glue, Foam",NA,NA,NA,NA,NA,NA,0.9
