"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","Capacity","Age","Model Number","DQ Score"
"TOI","BAN","439842","Swimmies Swim Pants Unisex Medium 11pk","Huggies","Size Medium Swimpants 12kg  27lb",NA,"11",NA,NA,NA,NA,NA,NA,0.88
"TOI","BAN","439354","Johnson's Extra Sensitive Fragrance Free BabyWipes 56pk","Johnsons",NA,NA,"56",NA,NA,NA,NA,NA,NA,0.81
"TOI","BAN","439355","Johnson's Gentle All Over Baby Wipes 56pk","Johnsons",NA,NA,"56",NA,NA,NA,NA,NA,NA,0.81
"TOI","BAN","439361","Johnson's Extra Sensitive Fragrance Free BabyWipes 4pk","Johnsons",NA,NA,"56",NA,NA,NA,NA,NA,NA,0.81
"TOI","BAN","271187","Pampers Baby Dry Size 4+ Maxi Plus 24pk","Pampers","Maxi Plus",NA,"1",NA,NA,NA,NA,NA,NA,0.93
"TOI","BAN","271188","Pampers Baby Dry Size 5 Junior 23pk","Pampers","Stage 5, Junior",NA,"23pk",NA,NA,NA,NA,NA,NA,0.93
"TOI","BAN","271189","Pampers Baby Dry Size 5+ Junior Plus 22pk","Pampers","Junior Plus",NA,"22pk",NA,NA,NA,NA,NA,NA,0.93
"TOI","BAN","290664","Pampers New Baby Nappies Size 1 22pk","Pampers",NA,NA,"23",NA,NA,NA,NA,NA,NA,0.86
"TOI","BAN","290665","Pampers New Baby Size 2 32pk","Pampers","Stage 2, Mini",NA,"32pk",NA,NA,NA,NA,NA,NA,0.93
"TOI","BAN","290666","Pampers New Baby Size 3 Midi 29pk","Pampers","Stage 3",NA,"1",NA,NA,NA,NA,NA,NA,0.93
"TOI","BAN","307112","Pampers Sensitive Baby Wipes 56pk","Pampers",NA,NA,"56pk",NA,NA,NA,NA,NA,NA,0.86
"TOI","BAN","307113","Pampers Baby Wipes Fragrance Free 64pk","Pampers",NA,NA,"64pk",NA,NA,NA,NA,NA,NA,0.86
"TOI","BAN","307114","Pampers Fragrance Free Baby Wipes 64pk","Pampers","64 Wipes",NA,"1",NA,NA,NA,NA,NA,NA,0.93
"TOI","BAN","341558","Pampers Baby Dry Size 6 Extra Large Nappies 19pk","Pampers",NA,NA,"19pk",NA,NA,NA,NA,NA,NA,0.86
"TOI","BAN","341566","Pampers Baby Dry 6+ Extra Large Plus Nappies 19pk","Pampers",NA,NA,"19pk",NA,NA,NA,NA,NA,NA,0.86
"TOI","BAN","417461","Pampers Baby Dry Size 6 Extra Large 33pk","Pampers",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"TOI","BAN","417462","Pampers Baby Dry Size 4 Maxi 44pk","Pampers",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"TOI","BAN","417468","Pampers Baby Dry Size 5+ Junior Plus 35pk","Pampers",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"TOI","BAN","417471","Pampers Baby Dry Size 5 Junior 39pk","Pampers",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"TOI","BAN","430353","Pampers Baby Dry Nappy Pants Size 6Extra Large 19pk","Pampers",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"TOI","BAN","430354","Pampers Baby Dry Pants Size 5 Junior 21pk","Pampers",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"TOI","BAN","430357","Pampers Baby Dry Pants Size 4 Maxi 23pk","Pampers",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"TOI","BAN","446371","Pampers Baby Dry Size 6+ Extra Large Plus 30pk","Pampers",NA,NA,"30",NA,NA,NA,NA,NA,NA,0.86
"TOI","BAN","446372","pampers Baby Dry Nappies Size 3 Midi 50pk","Pampers",NA,NA,"50",NA,NA,NA,NA,NA,NA,0.86
"TOI","BAN","446373","Pampers Baby Dry Nappies Size 4+ Maxi 41pk","Pampers",NA,NA,"41",NA,NA,NA,NA,NA,NA,0.86
"TOI","BAN","351006","Simple Moisturising Baby Wipes 64pk","Simple","64 Pack",NA,"64s",NA,NA,NA,NA,NA,NA,0.93
"TOI","BAN","173141","Wilko Tots Hand & Face WipesStrawberry Fragrance 60pk","Wilko",NA,NA,"60pk",NA,NA,NA,NA,NA,NA,0.86
"TOI","BAN","294172","Wilko Mum to Be Maternity Briefs Medium 5 Briefs","Wilko","Medium","Multi","5",NA,NA,NA,NA,NA,NA,0.941666666666667
"TOI","BAN","294174","Wilko Mum to Be Maternity Towels 10pk","Wilko",NA,"Multi","10",NA,NA,NA,NA,NA,NA,0.883333333333333
"TOI","BAN","294175","Wilko Mum to Be Maternity Breast Pads 40pk","Wilko","40 Pads","Multi","40",NA,NA,NA,NA,NA,NA,0.941666666666667
"TOI","BAN","346703","Wilko Soft & Cosy New Born Nappies 23pk","Wilko",NA,NA,"23pk",NA,NA,NA,NA,NA,NA,0.86
"TOI","BAN","346704","Wilko Soft & Cosy New Born Nappies Size 2 Mini32pk","Wilko",NA,NA,"32pk",NA,NA,NA,NA,NA,NA,0.86
"TOI","BAN","346705","Wilko Snug & Comfy Dry Nappies Size 3 Midi 30pk","Wilko",NA,NA,"30pk",NA,NA,NA,NA,NA,NA,0.86
"TOI","BAN","346706","Wilko Snug & Comfy Dry Nappies Size 4 Maxi27pk","Wilko",NA,NA,"27pk",NA,NA,NA,NA,NA,NA,0.86
"TOI","BAN","346707","Wilko Snug & Comfy Dry Nappies Size 4+ Maxi 24pk","Wilko",NA,NA,"24pk",NA,NA,NA,NA,NA,NA,0.86
"TOI","BAN","346708","Wilko Snug & Comfy Dry Nappies Size 5 Junior23pk","Wilko",NA,NA,"23pk",NA,NA,NA,NA,NA,NA,0.86
"TOI","BAN","346709","Wilko Snug & Comfy Dry Nappies Size 5+ Junior 22pk","Wilko",NA,NA,"22pk",NA,NA,NA,NA,NA,NA,0.86
"TOI","BAN","346715","Wilko Comfy & Cosy Easy Up Pants Size 4 Maxi 22pk","Wilko",NA,NA,"22pk",NA,NA,NA,NA,NA,NA,0.86
"TOI","BAN","346720","Wilko Bed Mat 10pk","Wilko",NA,NA,"10",NA,NA,NA,NA,NA,NA,0.86
"TOI","BAN","417479","Wilko Fragranced Nappy Bags 150pk","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.86
"TOI","BAN","439620","Wilko Soft & Gentle Fragrance Free Baby Wipes64pk","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"TOI","BAN","439622","Wilko Soft & Gentle Fragrance Free Baby Wipes 80pk","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"TOI","BAN","439624","Wilko Kids Toilet Wipes Fragrance Free 60pk","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"TOI","BAN","417478","Wilko Functional Nappy Bags 300pk","Wilko Functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"TOI","EYE","209843","Optrex Refreshing Eye Drops 10ml","Optrex","10ml",NA,"1",NA,NA,NA,NA,NA,NA,1
"TOI","EYE","278765","Optrex Eye Wash 100ml","Optrex","100ml",NA,"1",NA,NA,NA,NA,NA,NA,1
"TOI","EYE","296547","Optrex Actimist 10ml","Optrex","10ml",NA,"1",NA,NA,NA,NA,NA,NA,1
"TOI","EYE","301472","Optrex Itchy Eye 10ml","Optrex",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","EYE","430692","Optrex Intensive Eyedrops 10ml","Optrex",NA,NA,"6",NA,NA,NA,NA,NA,NA,0.9125
"TOI","EYE","322425","Wilko Twin Value Pack Reading Glasses 3.0","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","EYE","322426","Wilko Twin Value Pack Reading Glasses 3.5","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","EYE","347851","Wilko Metal Semi Rimless Reading Glasses 2.5","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","EYE","347852","Wilko Metal Semi Rimless Reading Glasses 3.5","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","EYE","347866","Wilko Metal Plastic Reading Glasses 1.5","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","EYE","347867","Wilko Metal Plastic Reading Glasses 1.25","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","EYE","347868","Wilko Metal Plastic Reading Glasses 2.0","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","EYE","347886","Wilko Reading Glasses Case Classic","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","EYE","347890","Wilko Reading Glasses Case Trendy","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","EYE","347891","Wilko Led Light Up Reading Glasses 1.5","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","EYE","347892","Wilko Led Light Up Reading Glasses 2","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","EYE","347893","Wilko Led Light Up Reading Glasses 2.5","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","EYE","347894","Wilko Fold Metal Reading Glass Case 1.5","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","EYE","347895","Wilko Folding Metal Reading Glasses withCase +2","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","EYE","421506","Wilko Sun Reading Glasses 1.5","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","EYE","421507","Wilko Sun Reading Glasses 2.5","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","EYE","421508","Wilko Sun Reading Glasses 3.5","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","EYE","431676","Wilko Square Plastic Reading Glasses 1.5","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","EYE","431677","Wilko Square Plastic Reading Glasses 2.0","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","EYE","431679","Wilko Metal Full Rim Reading Glasses 1.5","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","EYE","431680","Wilko Metal Full Rim Reading Glasses 2.0","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","EYE","431681","Wilko Metal Full Rim Reading Glasses 3.0","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","EYE","431682","Wilko Metal Full Rim Reading Glasses 3.5","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","FAA","402741","Tresemme Ceramic Radial Hair Brush","Tresemme",NA,"Black","1",NA,NA,NA,NA,NA,NA,0.93
"TOI","FAA","402742","Tresemme Heat Retainer Hair Brush Large","Tresemme","Large","Black","1",NA,NA,NA,NA,NA,NA,1
"TOI","FAA","402743","Tresemme Oval Cushion Hair Brush","Tresemme","Oval","Black","1",NA,NA,NA,NA,NA,NA,1
"TOI","FAA","156132","Wilko Body Mop Round White","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","FAA","1629240","Wilko Face Cloth Plain Tudor","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"TOI","FAA","165910","Wilko Its All About Hair Paddle Brush Black Large","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.86
"TOI","FAA","170655","Wilko Vented Hair Brush","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.86
"TOI","FAA","170657","Wilko Plastic Hair Brush Assorted","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.86
"TOI","FAA","170658","Wilko Hair Brush","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.86
"TOI","FAA","296232","Wilko Nail Polish Remover Acetone Free 250ml","Wilko","250ml","Multi","1",NA,NA,NA,NA,NA,NA,1
"TOI","FAA","296233","Wilko Nail Polish Remover with Acetone 250ml","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.86
"TOI","FAA","298170","Wilko Skin Therapy Cotton Wool Pads Oval Large50pk","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"TOI","FAA","298172","Wilko Skin Therapy Cotton Wool Pads Dual Faced100pk","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"TOI","FAA","298174","Skin Therapy Cotton Wool Pleat 200g","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95
"TOI","FAA","298175","Wilko Skin Therapy Cotton Wool Balls 70g","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"TOI","FAA","330066","Wilko Plastic Back Brush","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"TOI","FAA","347963","Wilko Shower Cap Trend","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"TOI","FAA","347968","Wilko Cellulite Massager","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","FAA","347971","Wilko Moisturising Gloves","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","FAA","347972","Wilko Moisturising Socks","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.9125
"TOI","FAA","347973","Wilko Nail Brush Clear","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.86
"TOI","FAA","347977","Wilko Shower Comb Trend","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7375
"TOI","FAA","347980","Wilko False Eyelashes  Volume","Wilko",NA,"Black","1",NA,NA,NA,NA,NA,NA,0.93
"TOI","FAA","347981","Wilko False Eyelashes  Drama","Wilko",NA,"Black","1",NA,NA,NA,NA,NA,NA,0.93
"TOI","FAA","347983","Wilko False Eyelashes Natural","Wilko",NA,"Black","1",NA,NA,NA,NA,NA,NA,0.93
"TOI","FAA","347988","Wilko Premium Egg Shape Make Up Sponge","Wilko",NA,"White","1",NA,NA,NA,NA,NA,NA,0.93
"TOI","FAA","347994","Wilko Eyelash Curler","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.86
"TOI","FAA","347995","Wilko Hand Held Make Up Mirror","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.86
"TOI","FAA","347996","Wilko Make Up Sponges Multi 15pk","Wilko",NA,NA,"15",NA,NA,NA,NA,NA,NA,0.86
"TOI","FAA","347997","Wilko Make Up Velour Pads 2pk","Wilko",NA,NA,"2pk",NA,NA,NA,NA,NA,NA,0.86
"TOI","FAA","347999","Wilko Eye Shadow Applicators 20pk","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.86
"TOI","FAA","348000","Wilko Toe Separator","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.86
"TOI","FAA","348137","Wilko Tweezers Slanted Silver","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.86
"TOI","FAA","348140","Wilko Pencil Sharpener","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,NA,0.86
