"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Power","Capacity","Model Number","DQ Score"
"DIS","BIN","420095","Wilko Firelighters 28pk","Wilko","2 tablets, each of 120x16x188mm, individually wrap",NA,"2",NA,NA,NA,NA,NA,0.93
"DIS","BIN","420096","Wilko Wrapped Firelighters 18pk","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,0.79
"DIS","BIN","420097","Wilko Firelog 800g","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,0.79
"DIS","BIN","5574440","Wilko Firelighters 14pk","Wilko",NA,NA,"14pk",NA,NA,NA,NA,NA,0.86
"DIS","BIN","63855","Wilko Drawstring Refuse Sacks 80L 10pk","Wilko","Large",NA,"10pk",NA,NA,NA,NA,NA,0.883333333333333
"DIS","BIN","63857","Wilko Drawstring Swing Bin Liners 50L 15pk","Wilko","Large",NA,"15",NA,NA,NA,NA,NA,0.883333333333333
"DIS","BIN","71844","Wilko Tie Handle Refuse Sacks Black 80L 10pk","Wilko","Large",NA,"10",NA,NA,NA,NA,NA,0.883333333333333
"DIS","BIN","193718","Wilko Swing Bin Liners 58 x76cm 50pk","Wilko Functional","585mmx760mm",NA,"50pk",NA,NA,NA,NA,NA,0.833333333333333
"DIS","BIN","332570","Wilko Functional Refuse Sacks 30pk","Wilko Functional",NA,NA,"30",NA,NA,NA,NA,NA,0.825
"DIS","BIN","332690","Wilko Functional Pedal Bin Liners 50pk","Wilko Functional","46cmx46cm",NA,"50pk",NA,NA,NA,NA,NA,0.883333333333333
"DIS","BIN","313209","Zip Energy Firelighters 24pk","Zip",NA,NA,"24pk",NA,NA,NA,NA,NA,0.86
"DIS","BIN","345294","Zip Firelighter Cubes Wrapped 16pk","Zip",NA,"Multi",NA,NA,NA,NA,NA,NA,0.86
"DIS","BIN","409072","Zip Soot Reducer 10 Sachets","Zip",NA,NA,"10",NA,NA,NA,NA,NA,0.86
"DIS","FOO","185737","Bacofoil Non-Stick Kitchen Foil 5m","Baco","300mmx5m",NA,"1",NA,NA,NA,NA,NA,0.85
"DIS","FOO","431279","Bacofoil Non Stick Kitchen Foil 5m x 450mm","Baco","5m",NA,"1",NA,NA,NA,NA,NA,0.85
"DIS","FOO","431280","Bacofoil Non Stick Baking Paper 10m x 380mm","Baco","10m",NA,"1",NA,NA,NA,NA,NA,0.85
"DIS","FOO","431281","Bacofoil 2 in 1 Parchment and Foil 5m x 380mm","Baco","5m",NA,"1",NA,NA,NA,NA,NA,0.85
"DIS","FOO","431282","Bacofoil Foil Sandwich Bags Large 16pk","Baco","Large",NA,"16",NA,NA,NA,NA,NA,0.85
"DIS","FOO","71845","Bacofoil Resealable Food Bags Medium 50pk","Baco",NA,NA,"50pk",NA,NA,NA,NA,NA,0.8
"DIS","FOO","238374","Wilko Multi Purpose Roasting Bags 25 x 38cm 10pk","Polylina","250mmx380mm",NA,"10pk",NA,NA,NA,NA,NA,0.8
"DIS","FOO","203971","Wilko Foil Flan Cases 10pk","Wilko",NA,NA,"10pk","Aluminium",NA,NA,NA,NA,0.85
"DIS","FOO","203974","Wilko Pie Dishes Aluminium Small 20pk","Wilko","Small",NA,"20pk","Aluminium",NA,NA,NA,NA,0.9
"DIS","FOO","203975","Wilko Pie Plates Aluminium 6pk","Wilko",NA,NA,"6pk","Aluminium",NA,NA,NA,NA,0.85
"DIS","FOO","203976","Wilko Foil Trays and Lids Small 10pk","Wilko","Small",NA,"10pk","Aluminium",NA,NA,NA,NA,0.9
"DIS","FOO","203977","Wilko Trays and Lids Foil Medium 5pk","Wilko","Medium",NA,"5pk","Aluminium",NA,NA,NA,NA,0.9
"DIS","FOO","203978","Wilko Foil Trays Large 3pk","Wilko","Large",NA,"3pk","Aluminium",NA,NA,NA,NA,0.9
"DIS","FOO","203979","Wilko Food Containers and Lids 6pk","Wilko",NA,NA,"6pk",NA,NA,NA,NA,NA,0.8
"DIS","FOO","254700","Wilko Ice Cube Bags 20pk","Wilko","24",NA,"20pk","Plastic",NA,NA,NA,NA,0.9
"DIS","FOO","284667","Wilko Food and Freezer Bags Large 30pk","Wilko","Large",NA,"30pk","Polythene",NA,NA,NA,NA,0.9
"DIS","FOO","285716","Wilko Foil Roasting Trays 2pk","Wilko",NA,NA,"2pk","Aluminium",NA,NA,NA,NA,0.85
"DIS","FOO","318975","Wilko Kitchen Foil 10m x 30cm","Wilko","300mmx10m",NA,NA,NA,NA,NA,NA,NA,0.8
"DIS","FOO","318976","Wilko Kitchen Foil 20m x 30cm","Wilko","300mmx20m",NA,NA,NA,NA,NA,NA,NA,0.8
"DIS","FOO","318977","Wilko Kitchen Foil 10m x 45cm","Wilko","450mmx10m",NA,NA,NA,NA,NA,NA,NA,0.8
"DIS","FOO","330841","Wilko Resealable Food and Freezer Bags  26 x 28cm30pk","Wilko","Medium",NA,"30pk",NA,NA,NA,NA,NA,0.85
"DIS","FOO","330844","Wilko  Zip Seal Food and Freezer Bags 26 x26cm30pk","Wilko","Medium",NA,"30pk",NA,NA,NA,NA,NA,0.85
"DIS","FOO","330856","Wilko Tie Handle Food and Freezer BagsMedium 26 x 42cm 30pk","Wilko","Medium",NA,"30pk","Polythene",NA,NA,NA,NA,0.9
"DIS","FOO","330857","Wilko Resealable Food and Freezer Bags 18 x20cm30pk","Wilko","Small",NA,"1",NA,NA,NA,NA,NA,0.85
"DIS","FOO","330862","Wilko Easy Seal Sandwich Bags 19 x 21cm 60pk","Wilko","Large",NA,"60pk","Polythene",NA,NA,NA,NA,0.9
"DIS","FOO","330864","Wilko Resealable Pour and Store Bags 23 x 15cm10pk","Wilko","23cmx15cm",NA,"10pk",NA,NA,NA,NA,NA,0.85
"DIS","FOO","333063","Wilko Aluminium Tray Bakes Small 3pk","Wilko","Small",NA,"3pk","Aluminium",NA,NA,NA,NA,0.9
"DIS","FOO","333067","Wilko Aluminium Flan Dishes Large 6pk","Wilko","Large",NA,"6pk","Aluminium",NA,NA,NA,NA,0.9
"DIS","FOO","333068","Wilko Aluminium Containers with Lids Large 3pk","Wilko","Large",NA,"3pk","Aluminium",NA,NA,NA,NA,0.9
"DIS","FOO","333417","Wilko Greaseproof n Bake Paper 5m x 37.5cm","Wilko","5m",NA,NA,"Paper",NA,NA,NA,NA,0.85
"DIS","FOO","333522","Wilko Foil Backed Baking Parchment Foil Backed5m x 30cm","Wilko","300mmx5m",NA,NA,NA,NA,NA,NA,NA,0.8
"DIS","FOO","400397","Wilko Multipurpose Cling Film 50m x 350mm","Wilko","50m x 350mm",NA,"1",NA,NA,NA,NA,NA,0.85
"DIS","FOO","419994","Wilko Plastic Containers and Lids 6pk","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,0.75
"DIS","FOO","420106","Wilko Food Bags Small 150pk","Wilko",NA,NA,"150",NA,NA,NA,NA,NA,0.8
"DIS","FOO","318979","Wilko Functional Wrapping Foil 20m x 29cm","Wilko Functional","290mmx20m",NA,"1",NA,NA,NA,NA,NA,0.85
"DIS","FOO","332334","Wilko Functional Food Bags Medium 23 x 35cm 50pk","Wilko Functional","Medium",NA,"50pk",NA,NA,NA,NA,NA,0.85
"DIS","FOO","334768","Wilko Functional Wrapping Film 50m x 30cm","Wilko Functional","50mx300ml",NA,NA,NA,NA,NA,NA,NA,0.8
"DIS","TAB","331986","Paloma Paper Napkins Cream 2 Ply 33cm 20pk","Paloma","33cmx33cm","Cream","20pk",NA,NA,NA,NA,NA,1
"DIS","TAB","419990","Paloma Disposable Napkins Spots 20pk","Paloma","33x33cm",NA,"20pk",NA,NA,NA,NA,NA,0.93
"DIS","TAB","150004","Wilko Insulated Plates White 10pk","Wilko","22.5x22.5cm","White","1",NA,NA,NA,NA,NA,1
"DIS","TAB","150005","Wilko Insulated Bowls White 10pk","Wilko",NA,"White","10pk",NA,NA,NA,NA,NA,0.93
"DIS","TAB","190074","Wilko Doilies Assorted Sizes White 20 Pack","Wilko","Assorted","White","1",NA,NA,NA,NA,NA,1
"DIS","TAB","203981","Wilko Napkins 2 Ply White 100pk","Wilko","2ply","White","100pk",NA,NA,NA,NA,NA,1
"DIS","TAB","203989","Wilko Party Tumblers Clear Large 10pk","Wilko","Large","Clear","1",NA,NA,NA,NA,NA,1
"DIS","TAB","203991","Wilko Paper Plates Large White 30pk","Wilko","Large","White","1",NA,NA,NA,NA,NA,1
"DIS","TAB","203993","Wilko Drinking Straws Neon 200pk","Wilko",NA,"Multi","200pk",NA,NA,NA,NA,NA,0.93
"DIS","TAB","233954","Wilko Foil Platters 3pk","Wilko","35x24.5cm","Silver","1",NA,NA,NA,NA,NA,1
"DIS","TAB","298761","Muffin Cases Multi Coloured 48pk","Wilko",NA,"Multi","48pk",NA,NA,NA,NA,NA,0.8
"DIS","TAB","330870","Wilko Round Platters Foil 3pk","Wilko","3 Pack","Silver","3pk",NA,NA,NA,NA,NA,1
"DIS","TAB","331938","Wilko Party Tumblers Clear Small 75pk","Wilko","Half Pint","Clear","1",NA,NA,NA,NA,NA,1
"DIS","TAB","331939","Wilko Disposable Serving Bowls Small 10pk","Wilko","Small","Clear","1",NA,NA,NA,NA,NA,1
"DIS","TAB","331940","Wilko Disposable Bowls Large 10pk","Wilko","Large","White","1",NA,NA,NA,NA,NA,1
"DIS","TAB","331941","Wilko Disposable Salad Bowls 2pk","Wilko","2 Pack","White","1",NA,NA,NA,NA,NA,1
"DIS","TAB","331992","Wilko Paper Plates Small White 30pk","Wilko","Small",NA,"30pk",NA,NA,NA,NA,NA,0.93
"DIS","TAB","332569","Wilko Paper Plates Red 20pk","Wilko",NA,"Red","20pk",NA,NA,NA,NA,NA,0.93
"DIS","TAB","332589","Wilko Paper Plates Cream 20pk","Wilko",NA,"Cream","20pk",NA,NA,NA,NA,NA,0.93
"DIS","TAB","332641","Wilko Insulated Cups Small White 10pk","Wilko","Small",NA,"10pk",NA,NA,NA,NA,NA,0.93
"DIS","TAB","333427","Wilko Disposable Teaspoons Clear 30pk","Wilko",NA,"Clear","30pk",NA,NA,NA,NA,NA,0.93
"DIS","TAB","333428","Wilko  Disposable Knives Clear 30pk","Wilko",NA,"Clear","30pk",NA,NA,NA,NA,NA,0.93
"DIS","TAB","333429","Wilko Disposable Champagne Flutes Clear 10pk","Wilko","10 Pack","Clear","1",NA,NA,NA,NA,NA,1
"DIS","TAB","333430","Wilko Disposable Forks Clear 30pk","Wilko",NA,"Clear","30pk",NA,NA,NA,NA,NA,0.93
"DIS","TAB","333431","Wilko Disposable Dessert Spoons Clear 30pk","Wilko",NA,"Clear","30pk",NA,NA,NA,NA,NA,0.93
"DIS","TAB","333432","Wilko Party Cutlery Set Clear  Knives Forks andSpoons 10 Sets","Wilko",NA,"Clear","30pk",NA,NA,NA,NA,NA,0.93
"DIS","TAB","333445","Wilko Plastic Plates White 22cm 10pk","Wilko","22cm","White","10pk",NA,NA,NA,NA,NA,1
"DIS","TAB","333446","Wilko Disposable Wine Glasses Clear 10pk","Wilko",NA,"Clear","10pk",NA,NA,NA,NA,NA,0.93
"DIS","TAB","334087","Wilko Plastic Plates Clear 10pk","Wilko",NA,"Clear","10pk",NA,NA,NA,NA,NA,0.93
"DIS","TAB","419988","Wilko Disposable Red Cups 10pk","Wilko",NA,NA,"10pk",NA,NA,NA,NA,NA,0.86
"DIS","TAB","419992","Wilko Disposable Plates Spots 20pk","Wilko",NA,NA,NA,NA,NA,NA,NA,NA,0.79
"DIS","TAB","419995","Wilko Shot Glasses 16pk","Wilko",NA,NA,"16",NA,NA,NA,NA,NA,0.86
"DIS","TAB","797540","Wilko Wooden Cocktail Sticks 100pk","Wilko","100 Pack","Brown","1",NA,NA,NA,NA,NA,0.9
"DIS","TAB","203985","Wilko Functional Paper Tablecovers White 90 x90cm 4pk","Wilko Functional","90cmx90cm",NA,"4pk",NA,NA,NA,NA,NA,0.93
"DIS","TAB","331993","Wilko Functional Plastic Cups White 30pk","Wilko Functional","Small",NA,"30pk",NA,NA,NA,NA,NA,0.93
"DIS","TAB","332174","Wilko Functional Paper Bowls White 30pk","Wilko Functional","30 Pack","White","30pk",NA,NA,NA,NA,NA,1
"DIS","TAB","63821","Wilko Functional Napkins 1 Ply White 100pk","Wilko Functional","1ply",NA,"100pk",NA,NA,NA,NA,NA,0.93
"DIS","TIS","222436","Kleenex Original Tissues Extra Large Twin Pack65 Sheets 3 Ply","Kleenex","Mansize",NA,"2pk",NA,NA,NA,NA,NA,1
"DIS","TIS","305124","Kleenex Balsam Tissues Pocket Pack","Kleenex","Pocket",NA,"1",NA,NA,NA,NA,NA,1
"DIS","TIS","320749","Kleenex Balsam Tissues Cube 56 Sheets 3 Ply","Kleenex","Cube",NA,"1",NA,NA,NA,NA,NA,1
"DIS","TIS","324395","Kleenex Ultrasoft Extra Large Tissues 44 Sheets3 Ply","Kleenex","Mansize",NA,"1",NA,NA,NA,NA,NA,1
"DIS","TIS","336053","Kleenex Collection Tissues Cube 56 Sheets 3 Ply","Kleenex","Cube",NA,"1",NA,NA,NA,NA,NA,1
"DIS","TIS","336055","Kleenex Original Tissues 72 Sheets 3 Ply","Kleenex","20cmx20cm",NA,"1",NA,NA,NA,NA,NA,1
"DIS","TIS","410246","Kleenex Balsam Tissues Pocket Pack 8pk","Kleenex","9SC X8",NA,"8pk",NA,NA,NA,NA,NA,1
"DIS","TIS","410247","Kleenex Original Tissues Pocket Pack 8pk","Kleenex",NA,NA,"8pk",NA,NA,NA,NA,NA,0.9125
"DIS","TIS","419065","Kleenex Balsam Tissues 72pk","Kleenex","Regular",NA,"1",NA,NA,NA,NA,NA,1
"DIS","TIS","437423","Kleenex Mansize Tissues 44 Sheets","Kleenex","44sc x 12",NA,"1",NA,NA,NA,NA,NA,1
"DIS","TIS","301929","Velvet Facial Tissue Cube 46 Sheets 3 Ply","Velvet","Cube",NA,"1",NA,NA,NA,NA,NA,1
"DIS","TIS","301930","Velvet Facial Tissue Box 80 Sheets 3 Ply","Velvet","Family",NA,NA,NA,NA,NA,NA,NA,0.9125
"DIS","TIS","301931","Velvet Facial Tissue Box Extra Large50 Sheets 3 Ply","Velvet","Mansize",NA,"1",NA,NA,NA,NA,NA,1
"DIS","TIS","320742","Velvet Balm Facial Tissues","Velvet","Cube",NA,"1",NA,NA,NA,NA,NA,1
"DIS","TIS","125470","Wilko Soft White Tissues Cube 65 Sheets 2 Ply","Wilko","Cube 2ply",NA,"1",NA,NA,NA,NA,NA,1
"DIS","TIS","137679","Wilko Ultra Soft Pocket Tissue Packs 4 Ply 6pk","Wilko","6 Pack",NA,"1",NA,NA,NA,NA,NA,1
"DIS","TIS","255447","Wilko Soft White Tissues 80 Sheets2 Ply","Wilko","Family",NA,"1",NA,NA,NA,NA,NA,1
"DIS","TIS","351800","Wilko Large Soft White Tissues 90 Sheets 2 Ply","Wilko","90s",NA,"1",NA,NA,NA,NA,NA,1
"DIS","TIS","351802","Wilko Super Soft Tissues White 80 Sheets 3 Ply","Wilko","80s",NA,"1",NA,NA,NA,NA,NA,1
"DIS","TIS","351803","Wilko Ultra Soft Balm Tissues 80 Sheets 3 Ply","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,0.9125
"DIS","TIS","351805","Wilko Super Soft Tissues Cube 56 Sheets 3 Ply","Wilko","60s",NA,NA,NA,NA,NA,NA,NA,0.9125
"DIS","TIS","1593850","Wilko Functional Tissues 70 Sheets 2 Ply","Wilko Functional","Mansize",NA,"1",NA,NA,NA,NA,NA,1
"DIS","TOI","208847","Cushelle Toilet Tissue White 9 Rolls 180 Sheets2 Ply","Cushelle","180 sheets per roll",NA,"9",NA,NA,NA,NA,NA,1
"DIS","TOI","255738","Cushelle Scented Toilet Tissue 4 Rolls","Cushelle","4 Pack",NA,"4pk",NA,NA,NA,NA,NA,1
"DIS","TOI","293760","Cushelle Toilet Tissue White 4 Rolls180 Sheets 2 Ply","Cushelle","4 Pack",NA,"1",NA,NA,NA,NA,NA,1
"DIS","TOI","222828","Regina Impressions Toilet Tissue White 16 Rolls160 Sheets 3 Ply","Regina","160 sheets per roll",NA,"16",NA,NA,NA,NA,NA,1
"DIS","TOI","268119","Regina Scented Toilet Tissue 4 Rolls160 Sheets 3 Ply","Regina","160 sheets per roll",NA,"4",NA,NA,NA,NA,NA,1
"DIS","TOI","280994","Regina Chamomile Toilet Tissue 9 Rolls160 Sheets 3 Ply","Regina","160 sheets per roll",NA,"9",NA,NA,NA,NA,NA,1
"DIS","TOI","306518","Regina Impressions Toilet Tissue White 4 Rolls160 Sheets 3 Ply","Regina","4 Pack",NA,"4pk",NA,NA,NA,NA,NA,1
"DIS","TOI","352144","Regina Impressions Toilet Tissues White 9 Rolls170 Sheets 3 Ply","Regina","170 sheets per roll",NA,"9",NA,NA,NA,NA,NA,1
"DIS","TOI","212892","Velvet Comfort Toilet Tissue White 4 Rolls","Velvet","4 Pack",NA,"4pk",NA,NA,NA,NA,NA,1
"DIS","TOI","222494","Velvet Comfort Tissue White 9 Rolls200 Sheets 3 Ply","Velvet","9 Pack",NA,"9pk",NA,NA,NA,NA,NA,1
"DIS","TOI","324398","Velvet Pure Moist Toilet Tissue 42pk","Velvet","42s",NA,"1",NA,NA,NA,NA,NA,1
"DIS","TOI","352503","Velvet Quilted Toilet Tissue 4 Rolls 165 Sheets3 Ply","Velvet","4 Rolls",NA,"1",NA,NA,NA,NA,NA,1
"DIS","TOI","352521","Velvet Quilted Toilet Tissue 9 Rolls 165 Sheets3 Ply","Velvet","165 sheets per roll",NA,"9",NA,NA,NA,NA,NA,1
"DIS","TOI","435096","Velvet Comfort Toilet Tissue White 16 Rolls200 Sheets 3 Ply","Velvet","200 sheets per roll",NA,"16",NA,NA,NA,NA,NA,1
"DIS","TOI","166153","Wilko Quilted Toilet Tissue White 4 Rolls165 Sheets 3 Ply","Wilko","4x26.3m",NA,"4pk",NA,NA,NA,NA,NA,1
"DIS","TOI","230099","Wilko Quilted Toilet Tissue White 9 Rolls3 Ply","Wilko","9 Pack",NA,"1",NA,NA,NA,NA,NA,1
"DIS","TOI","332550","Wilko Embossed Toilet Roll 9pk","Wilko","9 Pack",NA,"1",NA,NA,NA,NA,NA,1
"DIS","TOI","332564","Wilko Embossed Toilet Roll 4pk","Wilko","104mmx110mm",NA,"4pk",NA,NA,NA,NA,NA,1
"DIS","TOI","333517","Wilko Toilet Wipes Clean and Fresh 42pk","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,0.9125
"DIS","TOI","351809","Wilko Embossed Toilet Tissue 18pk","Wilko","190 sheets per roll",NA,"18",NA,NA,NA,NA,NA,1
"DIS","TOI","435079","Wilko Embossed Toilet Tissue 32pk","Wilko","190 sheets per roll",NA,"32",NA,NA,NA,NA,NA,1
"DIS","TOI","351810","Wilko Functional Toilet Tissues White 6 Rolls190 Sheets 2 Ply","Wilko Functional",NA,NA,"6",NA,NA,NA,NA,NA,0.9125
"DIS","TOW","347325","Soooo Big Household Towel Single Roll 200 Sheets2 Ply","Mega","200 Sheets",NA,"1",NA,NA,NA,NA,NA,0.95
"DIS","TOW","192771","The Snowman and The Snowdog Toilet TissueDecorated 4 Rolls 170 Sheets 3 Ply","Nicky","170 sheets per roll",NA,"4",NA,NA,NA,NA,NA,0.95
"DIS","TOW","192772","The Snowman and The Snowdog Kitchen Roll Decorated2 Rolls 56 Sheets 2 Ply","Nicky","56 sheets per roll",NA,"2",NA,NA,NA,NA,NA,0.95
"DIS","TOW","352502","Plenty Large Kitchen Roll 100 Sheets","Plenty","100 sheets per roll",NA,"1",NA,NA,NA,NA,NA,1
"DIS","TOW","269950","Regina Blitz Kitchen Towel Single Roll 100 Sheets3 Ply","Regina","100 Sheets",NA,"1",NA,NA,NA,NA,NA,1
"DIS","TOW","282653","Regina XXL Kitchen Roll 2 Rolls 150 Sheets 3 Ply","Regina","75 sheets per roll",NA,"2",NA,NA,NA,NA,NA,1
"DIS","TOW","346991","Regina Blitz Original Kitchen Towel 2 Rolls140 Sheets 3 Ply","Regina","70 sheets per roll",NA,"2",NA,NA,NA,NA,NA,1
"DIS","TOW","335831","Wilko Kitchen Towels White 2 Rolls","Wilko","2 Pack",NA,"2pk",NA,NA,NA,NA,NA,1
"DIS","TOW","335834","Wilko Super Strong Kitchen Towels 2 Rolls120 Sheets 2 Ply","Wilko","60 sheets per roll",NA,"2pk",NA,NA,NA,NA,NA,1
"DIS","TOW","351813","Wilko Kitchen Towel White 6 Rolls 50 Sheets 2 Ply","Wilko","50 sheets per roll",NA,"6",NA,NA,NA,NA,NA,1
"DIS","TOW","412428","Wilko Household Roll Blue Single Roll200 Sheets","Wilko","200 sheets",NA,"1",NA,NA,NA,NA,NA,1
"DIS","TOW","422452","Wilko Ultra Household Towel Extra LargeSingle Roll 3 Ply","Wilko",NA,NA,"1",NA,NA,NA,NA,NA,0.9125
"DIS","TOW","435080","Wilko Ultra Household Towel2 Rolls 3 Ply","Wilko",NA,NA,"2",NA,NA,NA,NA,NA,0.9125
"DIS","TOW","351827","Wilko Functional Kitchen Towel White 4 Rolls200 Sheets 2 Ply","Wilko Functional","50 sheets per roll",NA,"4",NA,NA,NA,NA,NA,1
"HOM","HAB","173172","Korbond Elastic Black 12mm x 2m","Korbond","12mmx2m","Black",NA,NA,NA,NA,NA,NA,0.93
"HOM","HAB","192926","Korbond Hook and Loop Tape Black 50cm","Korbond","2x50cm","Black",NA,NA,NA,NA,NA,NA,0.93
"HOM","HAB","214469","Korbond Iron on Mender 3.8 x 50cm 3pk","Korbond","3.8x50cm","Multi","3pk",NA,NA,NA,NA,NA,1
"HOM","HAB","228239","Korbond Embroidery Floss 7m 20pk","Korbond","7m","Multi","20pk",NA,NA,NA,NA,NA,1
"HOM","HAB","228241","Korbond Hemming Web 20m","Korbond","20m","White",NA,NA,NA,NA,NA,NA,0.93
"HOM","HAB","228328","Korbond General Purpose Scissors 5in","Korbond","12.5cm","Silver","1",NA,NA,NA,NA,NA,1
"HOM","HAB","249440","Korbond Polyester Thread Selection Dark  32m 12pk","Korbond","12x32m","Multi","12pcs",NA,NA,NA,NA,NA,1
"HOM","HAB","249441","Korbond Thread Polyester Dark Assorted 32m 12pk","Korbond","12x32m","Multi","12pcs",NA,NA,NA,NA,NA,1
"HOM","HAB","249443","Needle Threader and Thimble 4pk","Korbond","4 Pack","Silver","1",NA,NA,NA,NA,NA,0.95
"HOM","HAB","253366","Korbond Iron On Hemming Tape Black 4.5m","Korbond","4.5m","Black",NA,NA,NA,NA,NA,NA,0.93
"HOM","HAB","287099","Korbond Nylon Thread Smoke and Clear 2pk","Korbond","110mx2","Clear","2pcs",NA,NA,NA,NA,NA,1
"HOM","HAB","287101","Korbond Buttons Asstorted 20pk","Korbond","Assorted","Multi","20pk",NA,NA,NA,NA,NA,1
"HOM","HAB","287102","Korbond Needles Easy Thread 6pk","Korbond","41855","Silver","6pk",NA,NA,NA,NA,NA,1
"HOM","HAB","288142","Korbond Hook/Loop Tape White 50cm","Korbond","2x50cm","White",NA,NA,NA,NA,NA,NA,0.93
"HOM","HAB","288143","Korbond Knitting Needles 3.25mm x 35cm","Korbond","3.25x35cm","White","2pcs","Aluminium",NA,NA,NA,NA,1
"HOM","HAB","288144","Korbond Knitting Needles 4mm x 35cm","Korbond","0.4x35cm",NA,"2pcs","Aluminium",NA,NA,NA,NA,0.941666666666667
"HOM","HAB","288145","Korbond Knitting Needles 6mm x 35cm","Korbond","0.6x35cm","White","2pcs","Aluminium",NA,NA,NA,NA,1
"HOM","HAB","288146","Korbond Lint Roller Blue 5m","Korbond","5m",NA,"1",NA,NA,NA,NA,NA,1
"HOM","HAB","288153","Korbond Sew on Snap Fastners 24pcs","Korbond","12Pack","Silver","24pcs",NA,NA,NA,NA,NA,1
"HOM","HAB","288157","Korbond Threaded Needle Kit Assorted","Korbond","Assorted","Multi","1",NA,NA,NA,NA,NA,1
"HOM","HAB","351961","Korbond Sewing Machine Needles 6pk","Korbond",NA,NA,"6pk",NA,NA,NA,NA,NA,0.86
"HOM","HAB","351964","Korbond  Sewing Kit Case 15pcs","Korbond",NA,NA,NA,NA,NA,NA,NA,NA,0.79
"HOM","HAB","351965","Korbond Sewing Bag","Korbond",NA,NA,NA,NA,NA,NA,NA,NA,0.79
"HOM","HAB","351971","Korbond Large Stitch Holder","Korbond",NA,NA,NA,NA,NA,NA,NA,NA,0.79
