"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","Age","DQ Score"
"PET","100","453833","Bob Martin Omega 3 Fish Oil 150ml","Bob Martin","3.6cm x 5.8cm x 14.2cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.93
"PET","100","453834","Bob Martin Dry Skin Oil 150ml","Bob Martin","3.6cm x 5.8cm x 14.2cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.93
"PET","100","453835","Bob Martin Chef's Selection Fish Pouches 12x85g","Bob Martin","12x85g",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"PET","100","453836","Bob Martin Chef's Selection Pouches Meat 12x85g","Bob Martin","12x85g",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"PET","100","453837","Bob Martin Chef's Selection Pouches Fish andMeat 12 x 85g","Bob Martin","12x85g",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"PET","100","453914","Felight Cat Litter 20L","Bob Martin","20L",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.88
"PET","100","453915","Bob Martin Clear 3 in 1 Dewormer Dogs - 2 Tablets","Bob Martin","2pk",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"PET","100","453916","Bob Martin Clear 3 in 1 Dewormer Dogs - 4 Tablets","Bob Martin","4pk",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"PET","100","453917","Bob Martin Clear 2 in 1 Dewormer Cats - 2 Tablets","Bob Martin","BM Clear 2 in 1 Dewormer Cats x 2 tabs",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"PET","100","314225","Boredom Breaker Naturals Hay n Hide Small","Boredom Breaker","Small",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","335634","Boredom Breaker Naturals Himalayan Salt Lick Stone","Boredom Breaker",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.9125
"PET","100","335637","Boredom Breaker Naturals Dandelion and Nettle Roots 50g","Boredom Breaker","50g",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"PET","100","335639","Boredom Breaker Naturals Little Hearts 100g","Boredom Breaker","100g",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"PET","100","335641","Boredom Breaker Naturals Breakfast Cookies 110g","Boredom Breaker","110g",NA,"2",NA,NA,NA,NA,NA,NA,NA,1
"PET","100","335647","Boredom Breaker Naturals Sunflower and Camomile Seeds 140g","Boredom Breaker","140g",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"PET","100","335648","Boredom Breaker Naturals Strawberry Sticks 120g","Boredom Breaker","120g",NA,"2",NA,NA,NA,NA,NA,NA,NA,1
"PET","100","335650","Boredom Breaker Naturals Rodent Mini Sticks 80g","Boredom Breaker","80g",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"PET","100","335651","Boredom Breaker Naturals Carrotys 200g","Boredom Breaker","200g",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"PET","100","335652","Boredom Breaker Naturals Fenugreek Crunchies 200g","Boredom Breaker","200g",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"PET","100","335653","Boredom Breaker Naturals Healthy Fruit Salad 125g","Boredom Breaker","125g",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"PET","100","335655","Boredom Breaker Naturals Carrot Woodroll","Boredom Breaker",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.9125
"PET","100","335656","Boredom Breaker Naturals Parsley Bell","Boredom Breaker",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.9125
"PET","100","335657","Boredom Breaker Naturals Crunch N Munch Millet 3pk","Boredom Breaker","Small",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"PET","100","335658","Boredom Breaker Naturals Apple Cracker Dari","Boredom Breaker",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.9125
"PET","100","335660","Boredom Breaker Naturals Dandelion Delight 100g","Boredom Breaker","100g",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"PET","100","335661","Boredom Breaker Naturals Natures Salad 200g","Boredom Breaker","200g",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"PET","100","335662","Boredom Breaker Naturals Summerfield 100g","Boredom Breaker","100g",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"PET","100","314817","Burgess Adult Chicken 15kg","Burgess","15kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"PET","100","328365","Burgess Mature Complete Adult Chicken 12.5kg","Burgess","12.5kg",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"PET","100","328367","Burgess Sensitive Premium Hypoallergenic Puppy Complete Turkey and Rice 12.5kg","Burgess","12.5kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"PET","100","328368","Burgess Sensitive Premium Hypoallergenic Adult Complete Lamb and Rice 12.5kg","Burgess","12.5kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"PET","100","328369","Burgess Sensitive Premium Hypoallergenic Adult Complete Salmon and Rice 12.5kg","Burgess","12.5kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"PET","100","328371","Country Value Greyhound Complete Maintenance Adult15kg","Burgess","15kg",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.95
"PET","100","314074","Cat It Design Senses Play Circuit","Cat It",NA,NA,"1",NA,"No",NA,NA,NA,NA,NA,0.6
"PET","100","420149","Catit Senses Food Maze","Cat It",NA,NA,"1",NA,"No",NA,NA,NA,NA,NA,0.6
"PET","100","420150","Catit Senses Drinking Fountain","Cat It",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.81
"PET","100","420151","Catit Senses Water Softening Filter","Cat It",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.76
"PET","100","420220","Catit Senses Comfort Zone Bed","Cat It",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.76
"PET","100","420221","Catit Play N Scratch Toy Green","Cat It",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.81
"PET","100","314473","Chappie Complete Beef and Whole Grain Cereal 15kg","Chappie","15kg",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"PET","100","313616","Classic Pet Products Mini Carry Care Pet Carrier","Classic Pet Products",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","313621","Classic Pet Products Hamster Town","Classic Pet Products",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","313623","Aquarium Ornament Assorted Castles","Classic Pet Products","9.2x6.5cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81
"PET","100","313624","Classic Pet Products Underwater Kingdom Aquarium Ornament Castle Ruin","Classic Pet Products","23cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.93
"PET","100","313912","Classic Pet Products Underwater Kingdom Aquarium Ornament Starfish","Classic Pet Products",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","313915","Classic Aquarium Ornament Divers Helmet","Classic Pet Products","18cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.88
"PET","100","313916","Classi Aquarium Ornament Assorted Bridges","Classic Pet Products","16cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.88
"PET","100","313917","Classic Aquarium Ornament Arizona Rock Large","Classic Pet Products","20cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.88
"PET","100","313919","Classic Aquarium Ornament Trees, Skull and Barrel","Classic Pet Products","20cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.88
"PET","100","313920","Classic Aquarium Ornament Garden","Classic Pet Products","13cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.88
"PET","100","313922","Classic Aquarium Ornament Crystal Ruin","Classic Pet Products","25cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.88
"PET","100","313935","Classic for Small Pets Rustic Fun Hay Play Ball","Classic Pet Products","Large",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.88
"PET","100","334289","Aqua Ornament Pagode a Plants","Classic Pet Products",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.81
"PET","100","334290","Classic Pet Products Aquarium OrnamentStump Garden","Classic Pet Products","20cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.93
"PET","100","334291","Classic Aquatics Aquarium Ornaments Rocky Ledge Multi-Coloured","Classic Pet Products",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.81
"PET","100","334292","Classic Aquatics Aquarium Ornaments Treasure Pot Multi-Coloured","Classic Pet Products",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.81
"PET","100","334293","Classic Aquatics Aquarium Ornaments Bonsai Mini Multi-Coloured","Classic Pet Products","Mini",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.88
"PET","100","452643","Microplush Memory Foam Pet Mat/Bed","Country Club","50 x 80cm","Multi","1",NA,NA,NA,NA,NA,NA,NA,0.95
"PET","100","452646","Oxford Nylon Pet Bed 85x55cm","Country Club","85 x 55cm","Multi","1",NA,NA,NA,NA,NA,NA,NA,0.95
"PET","100","452647","Country Club Pet Bed/Cage Mat 55x75cm","Country Club","55 x 75cm","Multi","1",NA,NA,NA,NA,NA,NA,NA,1
"PET","100","452648","Country Club Pet Bed/Cage Mat 60x90cm","Country Club","60 x 90cm","Multi","1",NA,NA,NA,NA,NA,NA,NA,1
"PET","100","452649","Country Club Pet Bed/Cage Mat 70x100cm","Country Club",NA,"Multi","70 x 100cm",NA,NA,NA,NA,NA,NA,NA,0.93
"PET","100","334093","Curver Pet Life Dry Pet Food Container 10L","Curver","4kg","Multi","1",NA,NA,NA,NA,"4kg",NA,NA,0.95
"PET","100","334098","Curver Pet Life Dry Pet Food Container 35L","Curver","12kg",NA,"1",NA,NA,NA,NA,"12kg",NA,NA,0.9
"PET","100","334099","Curver Pet Life Dry Pet Food Container 54L","Curver","10kg",NA,"1",NA,NA,NA,NA,"20kg",NA,NA,0.9
"PET","100","335058","Curver Petlife Covered Pet Litter Tray Cream","Curver","39cmx39cmx51cm","Cream","1",NA,NA,NA,NA,NA,NA,NA,1
"PET","100","335060","Pet Carrier Cream","Curver","33cmx37cmx53cm","Cream","1",NA,NA,NA,NA,NA,NA,NA,0.95
"PET","100","335061","Pet Carrier Brown","Curver","33cmx37cmx53cm","Brown","1",NA,NA,NA,NA,NA,NA,NA,0.95
"PET","100","313599","Dog Life Dog Crate Double Door Black Medium","Dog Life","Medium","Black","1",NA,NA,NA,NA,NA,NA,NA,1
"PET","100","313600","Dog Life Dog Crate Double Door Black Large","Dog Life","Large","Black","1",NA,NA,NA,NA,NA,NA,NA,1
"PET","100","313603","Dog Life Dog Crate Double Door Black Extra Large","Dog Life","Extra Large","Black","1",NA,NA,NA,NA,NA,NA,NA,1
"PET","100","313790","Dog Life Durable Fun Rubber Puppy Tug","Dog Life","19.6x2.6cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"PET","100","313809","Dog Life Dog Toy Teething Dumbell Rubber","Dog Life",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","314370","Dog Life Dog Toy Squeezy Squeaks Tools Assorted","Dog Life","Large","Multi","1",NA,"No",NA,NA,NA,NA,NA,0.65
"PET","100","313741","Elite Stingray 10 Underwater Filter 50L","Elite","50L",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","313745","Elite Stingray 15 Underwater Filter 75L","Elite","75L",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","313750","Elite Jet-Flo 100 Replacement Filter Foam 2pk","Elite",NA,NA,"2pk",NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","313752","Elite Stingray 10 Filter Cartridge with Carbon andZeolite","Elite",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","313754","Elite Stingray 15 Filter Cartridge with Carbon andZeolite","Elite",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","313756","Elite Stingray 10 Replacement Filter Foam","Elite",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","313765","Elite Submersible Aquarium Heater 100W","Elite","100W",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","313770","Elite Submersible Aquarium Heater 200W","Elite","200w",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.93
"PET","100","313784","Elite Aqua Fizzzz Air Stone for Aquarium Use 3cm","Elite","3cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","313803","Elite Aqua Fizzzz Air Stone for Aquarium Use 2pk","Elite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"PET","100","313812","Elite Aqua Fizzzz Aquarium Longstone 10cm","Elite","10cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","313814","Elite Aqua Fizzzz Air Stone for Aquarium Use 15cm","Elite","15cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","313817","Elite Aqua Fizzzz Aquarium Longstone Airstone 30.5cm","Elite","30cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","313824","Elite Bubble Disk 3in (7.5cm)","Elite","Small",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","313829","Elite Bubble Disk 4in (10cm)","Elite","Medium",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.93
"PET","100","313868","Elite Aquarium Airline Tubing 2m - 6.5 ft, 1.8 x 5mm","Elite","2m",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","313871","Elite Aquarium Check Valve","Elite",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","313875","Elite 2-Way Air Control Valve","Elite",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","314086","Elite Stingray 5 Underwater Filter","Elite",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","314326","Elite Stingray 5 Replacement Filter Foam","Elite",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","335663","Evolution Aqua Pure Pond Bomb","Evolution Aqua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"PET","100","335664","Evolution Aqua Pure Pond 500ml","Evolution Aqua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"PET","100","314548","Felix As Good As It Looks Kitten Fish SelectionPouches Assorted 12 x 100g","Felix","100g",NA,"12pk",NA,NA,NA,NA,NA,NA,NA,0.93
"PET","100","440438","Forthglade Grain Free Adult Lamb 395g","Forthglade","395g",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"PET","100","440439","Forthglade Grain Free Adult Turkey 395g","Forthglade","395g",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"PET","100","440441","Forthglade Grain Free Multicase 12 x 395g","Forthglade","395g",NA,"12",NA,NA,NA,NA,NA,NA,NA,1
"PET","100","313954","Glo Sun-Glo Daylight Aquarium Bulb T8 15W","Glo","15w",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.93
"PET","100","313956","Glo Sun-Glo Daylight Aquarium Bulb T8 20W","Glo","20w",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","313962","Glo Sun-Glo Daylight Aquarium Bulb T8 25W","Glo","25w",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","314543","Go-Cat Complete Kitten -1 Year with Chicken, Carrot and Milk Nuggets 2kg","Go Cat","2kg",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.88
"PET","100","313735","Good Boy Doggy Dolittles Duck","Good Boy",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","313751","Good Boy Lob It! Space Lobber Giant","Good Boy","Giant",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","313766","Armitage Pet Care Floppy Moppy","Good Boy","19.4x9.2cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81
"PET","100","313810","Good Boy Clean Green Dog Loo","Good Boy",NA,"Green","1",NA,NA,NA,NA,NA,NA,NA,0.93
"PET","100","313763","Hagen Green-X Phosphate Remover 4g","Hagen","4g",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","453407","HandiPOD Purple Poop Bag Dispenser andAntibacterial Hand Sanitiser","HandiPOD","14.5 x 4.5 x 4.5cm","Purple","1",NA,NA,NA,NA,NA,NA,NA,1
"PET","100","453408","HandiPOD Purple Antibacterial Hand SanitiserPOD and 40 Poop Bags","HandiPOD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"PET","100","453410","HandiPOD Black Poop Bag Dispenser andAntibacterial Hand Sanitiser","HandiPOD",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","453411","HandiPOD Hand Sanitiser and Two Rolls Refill Pack","HandiPOD",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","453412","HandiPOD Poop Bag Refills Black 4pk","HandiPOD",NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","454280","Little Rascals Sock Monkey Puppy Toy","Happy Pet","31 x 13 x 7cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.88
"PET","100","454281","Little Rascals Teething Bone Keys","Happy Pet","15x5x3cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.88
"PET","100","454282","Nuts for Knots King Size Dog Rope Tugger","Happy Pet","130x14x14cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.88
"PET","100","454283","Happy Pet Vinyl Doughnuts Dog Toy","Happy Pet","14cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.93
"PET","100","454284","Happy Pet Gum Gum Figure of 8 Dog Toy","Happy Pet","32x11x6cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.93
"PET","100","454285","Happy Pet Egg Noggins Dog Toy","Happy Pet","13x10x8cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.93
"PET","100","314878","Harringtons Rich in Lamb and Rice 15kg","Harringtons","15kg",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"PET","100","314879","Harringtons Rich in Turkey with Veg 15kg","Harringtons","15kg",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"PET","100","453909","Harringtons Hypoallergenic Dog Food Lamb andBrown Rice 5kg","Harringtons","5kg",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.95
"PET","100","453910","Harringtons Hypoallergenic Turkey 5kg","Harringtons","5kg",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.95
"PET","100","314241","Wild Bird Food High-Energy No-Mess 15kg","Harvest","15kg",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.95
"PET","100","440069","HiLife Feed Me with Beef and Fresh Vegetables Flavoured with Cheese 6kg","Hilife","6kg",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"PET","100","440070","HiLife Feed Me with Turkey,Chicken & Fresh Vegetables Flavoured with Bacon 6kg","Hilife","6kg",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"PET","100","440071","HiLife Feed Me with Lamb and Chicken Flavoured with Tomato and Vegetables 6kg","Hilife","6kg",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"PET","100","314864","Hills Science Plan Adult 1-6 Optimal Care Chicken400g","Hills","400g",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"PET","100","314865","Hills Science Plan Adult 1-6 Optimal Care with Tuna 400g","Hills","400g",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"PET","100","314866","Hills Science Plan Adult 1-6 Optimal Care Chicken2kg","Hills","2kg",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"PET","100","314867","Hills Science Plan Adult 1-6 Optimal Care with Tuna 2kg","Hills","2kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8625
"PET","100","314868","Hills Science Plan Kitten Healthy Development Chicken 2kg","Hills","2kg",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.88
"PET","100","314869","Hills Science Plan Kitten Healthy Development Chicken 400g","Hills","400g",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.88
"PET","100","314257","Iams Proactive Nutrition Adult Small Medium Rich in Succulent Roast Chicken 7.5kg","Iams","7.5kg",NA,"1",NA,NA,NA,NA,NA,NA,NA,1
"PET","100","314260","Iams Proactive Nutrition Puppy and Junior Small and Medium Breed Rich Roast Chicken 3kg","Iams","3kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"PET","100","314831","Iams Proactive Nutrition Adult Large Rich in Succulent Roast Chicken 12kg","Iams","12kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"PET","100","314075","Cat Scratcher 2 Tier Paw Shape 44cm","James & Steel","44cm",NA,NA,"Sisal","No",NA,NA,NA,NA,NA,0.6
"PET","100","303747","Keep Well Poultry Tonic 250g","Keep Well","250g",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"PET","100","314433","King British Green Water Control Pond Water Treatment 250ml","King British",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"PET","100","314435","King British White Spot Control Pond Fish Medicine250ml","King British",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"PET","100","314437","King British Sludge Remover Pond Water Treatment 250ml","King British",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"PET","100","335691","King British Barley Straw Extract 250ml","King British",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"PET","100","334155","Komodo Ceramic Heater ES 100W","Komodo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95
"PET","100","334160","Komodo Daylight Neodymium Spot Bulb ES 150W","Komodo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"PET","100","334162","Komodo Daylight Neodymium Spot Bulb BC 75W","Komodo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"PET","100","334163","Komodo Daylight Neodymium Spot Bulb BC 100W","Komodo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"PET","100","334168","Komodo Infrared 24 hours Heat Source Spot Bulb Bulb ES 50W","Komodo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95
"PET","100","334169","Komodo Infrared 24 hours Heat Source Spot Bulb ES75W","Komodo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95
"PET","100","334170","Komodo Infrared 24 hours Heat Source Spot Bulb ES100W","Komodo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95
"PET","100","334175","Komodo Basking Spot Bulb ES 150W","Komodo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95
"PET","100","334180","Komodo Sun Strip Tube 5.0 UVB 35cm/14in 10W","Komodo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95
"PET","100","334185","Komodo On/Off Thermostat 300W","Komodo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95
"PET","100","334186","Komodo Dimmer Thermostat 600W","Komodo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95
"PET","100","334187","Komodo Advanced Heat Mat Black 7W 142mmx274mm","Komodo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95
"PET","100","334188","Komodo Advanced Heat Mat Black 15W 276mmx274mm","Komodo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95
"PET","100","334196","Komodo Terrarium Decoration Hanging Abutilon Silk82527","Komodo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95
"PET","100","334197","Komodo Terrarium Decoration Hanging Plant Croton Medium 82530","Komodo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95
"PET","100","334198","Komodo Terrarium Decoration Jungle Plant Split Philodendron 82533","Komodo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95
"PET","100","334200","Komodo Terrarium Dish Critter Bowl Small","Komodo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95
"PET","100","334201","Komodo Terrarium Dish Critter Bowl Medium","Komodo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95
"PET","100","334202","Komodo Terrarium Dish Critter Bowl Large","Komodo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95
"PET","100","334204","Komodo Mealworm Holding Dish Brown Small","Komodo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"PET","100","334205","Komodo Smart Dish Mealworm Holder Brown","Komodo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"PET","100","334206","Komodo Decoration For Terrarium Terraced Dish Sandstone Small","Komodo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95
"PET","100","334211","Komodo Decoration For Terrarium Terraced Dish Brown Large","Komodo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95
