"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Model Number","DQ Score"
"KIT","ELE","444767","Morphy Richards Chroma Round Sensor Bin Black 50L","Morphy Richards","50L","Black",NA,NA,NA,NA,NA,NA,"971522/MO",0.9
"KIT","ELE","444768","Morphy Richards Chroma Round Sensor Bin Cream 50L","Morphy Richards","50L","Cream",NA,NA,NA,NA,NA,NA,"971523/MO",0.9
"KIT","ELE","444769","Morphy Richards Chroma Round Sensor Bin StainlessSteel 50L","Morphy Richards","50L","Silver","1",NA,NA,NA,NA,NA,NA,0.941666666666667
"KIT","ELE","444781","Morphy Richards Equip Jug Scale Black 46610","Morphy Richards","5Kg","Black",NA,NA,NA,NA,NA,NA,"46610",0.9
"KIT","ELE","444782","Morphy Richards Equip Jug Scale Red 46611","Morphy Richards","5Kg","Red","1",NA,NA,NA,NA,NA,NA,1
"KIT","ELE","444784","Morphy Richards Equip Jug Scale Graphite 970523","Morphy Richards","5Kg","Multi",NA,NA,NA,NA,NA,NA,"970523",0.9
"KIT","ELE","406244","1.5 Litre S/S Slow Cooker SF17010N","Swan",NA,"Metal",NA,NA,NA,NA,NA,NA,"SF17010N",0.833333333333333
"KIT","ELE","444789","Swan Retro Mini Fridge Cream SRE10010CN","Swan","17L","Cream","1",NA,NA,NA,NA,NA,NA,1
"KIT","ELE","444790","Swan Retro Mini Fridge Green SRE10010GN","Swan","17L","Green","1",NA,NA,NA,NA,NA,NA,1
"KIT","ELE","448363","Swan Jug Kettle 1.7 L Copper SK23030COPN","Swan",NA,"Metal","1","Steel","No","Wipe Clean Only","3000W","1.7L","SK23030COPN",0.6
"KIT","ELE","448365","Swan Jug Kettle 1.7 L Black SK261050BN","Swan","1.7L","Black",NA,NA,NA,NA,"3000W",NA,"SK261050BN",0.95
"KIT","ELE","448366","Swan Jug Kettle 1.7 L Cream SK261050CN","Swan","1.7L","Cream",NA,NA,NA,NA,"3000W",NA,"SK261050CN",0.95
"KIT","ELE","448368","Swan Jug Kettle 1.7 L Red SK261050RN","Swan","1.7L","Red",NA,NA,NA,NA,"3000W",NA,"SK261050RN",0.95
"KIT","ELE","448371","Swan Microwave 20L Cream SM22030CN","Swan",NA,"Cream",NA,NA,NA,NA,"800W",NA,"SM22030CN",0.941666666666667
"KIT","ELE","448372","Swan Microwave 20L Green SM22030GN","Swan","20L","Green",NA,NA,NA,NA,"800W",NA,"SM22030GN",1
"KIT","ELE","448373","Swan Microwave 20L Red SM22030RN","Swan",NA,"Red",NA,NA,NA,NA,"800W",NA,"SM22030RN",0.941666666666667
"KIT","ELE","448377","Swan Vintage Stand Mixer Cream SP21010CN","Swan",NA,"Cream","1","Steel","No","Wipe Clean Only","1000W","4.5L","SP21010CN",0.6
"KIT","ELE","448378","Swan Vintage Stand Mixer Green","Swan",NA,"Green",NA,NA,NA,NA,"1000W","4.5L","SP21010GN",0.9
"KIT","ELE","448380","Swan Vintage Stand Mixer Red SP21010RN","Swan","4.5L","Blue",NA,NA,NA,NA,"600W","4.5L","SP21010RN",0.95
"KIT","ELE","448381","Swan Retro Stand Mixer Black SP25010BN","Swan","4.5L","Black",NA,NA,NA,NA,"600W","4.5L","SP25010BN",0.95
"KIT","ELE","448382","Swan Retro Stand Mixer Cream 600W","Swan","4.5L","Cream",NA,NA,NA,NA,"600W","4.5L","SP25010CN",0.95
"KIT","ELE","448383","Swan Retro Stand Mixer Green SP25010GN","Swan","4.5L","Green",NA,NA,NA,NA,"600W","4.5L","SP25010GN",0.95
"KIT","ELE","448385","Swan Copper Effect Toaster 2 SliceST14040COPN","Swan","2 Slice","Metal",NA,NA,NA,NA,"800W",NA,"ST14040COPN",0.95
"KIT","ELE","448387","Swan Retro 4-Slice Toaster Black 800W","Swan","4 Slice","Black",NA,NA,NA,NA,"800W",NA,"ST17010BN",0.95
"KIT","ELE","448390","Swan Retro 4 Slice Toaster Red ST17010RN","Swan",NA,"Red",NA,NA,NA,NA,"800W",NA,"ST17010RN",0.891666666666667
"KIT","ELE","448392","Swan  Retro 2-Slice Toaster Black ST17020BN","Swan","2 Slice","Black",NA,NA,NA,NA,"800W",NA,"ST17020BN",0.95
"KIT","ELE","448395","Swan Retro 2-Slice Toaster Red ST17020RN","Swan","2 Slice","Red",NA,NA,NA,NA,"800W",NA,"ST17020RN",0.95
"KIT","ELE","rx00007","Swan Fryer 3L Stainless Steel SD6040N","Swan","3L",NA,NA,NA,NA,NA,"3000W",NA,"SD6040N",0.95
"KIT","ELE","rx00021","Swan Compact Food Slicer SP10060N 150W White","Swan",NA,"White",NA,NA,NA,NA,"150W",NA,"SP10060N",0.85
"KIT","ELE","rx00059","Swan 2 Slice Toaster Black ST10020BLKN","Swan","2 Slice","Black",NA,NA,NA,NA,"1800W",NA,"ST10020BLKN",0.95
"KIT","ELE","439555","Tower Kettle Polished Stainless Steel 1.7L T10002P","Tower","1.7l","Metal",NA,NA,NA,NA,"2200w",NA,"T10002P",1
"KIT","ELE","439556","Kettle 1.5L T10003","Tower","1.5l","Black",NA,NA,NA,NA,"2200w",NA,"T10003",0.95
"KIT","ELE","439558","Tower Gluten Free Digital Bread Maker T11002","Tower",NA,"Black",NA,NA,NA,NA,NA,NA,"T11002",0.883333333333333
"KIT","ELE","439562","Tower Stainless Steel Glass Blender 500W T12008","Tower",NA,"Metal",NA,NA,NA,NA,"500w",NA,"T12008",0.9
"KIT","ELE","439563","Tower Spice Grinder Chopper T12009","Tower","550ml","Black",NA,NA,NA,NA,NA,"550ml","T12009",0.95
"KIT","ELE","439564","Tower 2in1 Masher and Blender T12015","Tower",NA,"Black",NA,NA,NA,NA,"400w",NA,"T12015",0.9
"KIT","ELE","439565","Tower Stainless Steel Hand Mixer 300W T12016","Tower",NA,"Metal",NA,NA,NA,NA,"300W",NA,"T12016",0.9
"KIT","ELE","439567","Tower Vitablend Pro Red T12020R","Tower",NA,"Red",NA,NA,NA,NA,"1200w",NA,"T12020R",0.9
"KIT","ELE","439569","Tower 8in1 Multi Cooker T14003","Tower",NA,"Black",NA,NA,NA,NA,"1300w",NA,"T14003",0.941666666666667
"KIT","ELE","439572","Tower Mini Oven 23L T14012","Tower","23L","Black",NA,NA,NA,NA,"1500w",NA,"T14012",1
"KIT","ELE","439574","Tower Cerastone Ceramic Raclette T14016","Tower",NA,"Grey",NA,NA,NA,NA,NA,NA,"T14016",0.883333333333333
"KIT","ELE","439576","Tower Pressure Cooker 5L T16001","Tower","5L","Metal",NA,NA,NA,NA,"900w",NA,"T16004",1
"KIT","ELE","439577","Digital Pressure Cooker 6L T16005","Tower","5L","Metal",NA,NA,NA,NA,"1100w",NA,"T16005",0.95
"KIT","ELE","439580","Digital Smoker 6L T16008","Tower","6L","Metal",NA,NA,NA,NA,"1000w",NA,"T16008",0.95
"KIT","ELE","439581","Tower Easy Clean Deep Fryer 3L T17002","Tower","3L",NA,NA,NA,NA,NA,NA,NA,"T17002",0.93
"KIT","ELE","439584","Tower 2in1 Food Processor T18002","Tower",NA,"Grey",NA,NA,NA,NA,"500w",NA,"T18002",0.9
"KIT","ELE","439587","Tower 2 Slice Toaster T20004","Tower","2 Slice","Metal",NA,NA,NA,NA,NA,NA,"T20004",0.941666666666667
"KIT","ELE","439588","Manual Microwave 800W T24001","Tower",NA,"Silver",NA,NA,NA,NA,"800W",NA,"T24001",0.891666666666667
"KIT","ELE","439589","Tower 3in1 Sandwich Toaster T27008","Tower",NA,"Grey",NA,NA,NA,NA,"750w",NA,"T27008",0.941666666666667
"KIT","ELE","439590","Ceramic Health Grill & Griddle T27009","Tower",NA,"White",NA,NA,NA,NA,"1000w",NA,"T27009",0.891666666666667
"KIT","ELE","439591","Tower 4 Slice Stainless Steel Sandwich MakerT27010","Tower","4 Slice","Metal",NA,NA,NA,NA,NA,NA,"T27010",0.941666666666667
"KIT","ELE","448397","Tower 3 Tier Electric Steamer 5L T21001","Tower","3 Tier","Black",NA,NA,NA,NA,NA,NA,"T21001",0.941666666666667
"KIT","ELE","448405","Tower Linear Kettle Stainless Steel 1.7L T10009","Tower","1.7L","Metal",NA,NA,NA,NA,"3000W",NA,"T10009",1
"KIT","ELE","448406","Tower 1.7L Jug Kettle T10011","Tower","1.7L","Black",NA,NA,NA,NA,"2200W",NA,"T10011",1
"KIT","ELE","448407","Tower GlutenFree Digital Bread Maker T11001","Tower","1L","Black",NA,NA,NA,NA,"650W",NA,"T11001",1
"KIT","ELE","448412","Tower Stick Blender 300W","Tower",NA,"Black",NA,NA,NA,NA,"300w",NA,"T12014",0.9
"KIT","ELE","448413","Tower 1.7L Glass Soup Maker T12019","Tower","1.7L","Black",NA,NA,NA,NA,"800W","1.7","T12019",1
"KIT","ELE","448414","Tower Xtreme Pro T12020C","Tower","1000W","Cream",NA,NA,NA,NA,"1200W",NA,"T12020C",0.95
"KIT","ELE","448415","Tower Xtreme Pro T12020GM","Tower","1200W","Grey",NA,NA,NA,NA,"1200W",NA,"T12020GM",0.9
"KIT","ELE","448422","Tower Reversible Health Grill and Oven T14009","Tower","2000W","Black",NA,NA,NA,NA,"2000W",NA,"T14009",0.95
"KIT","ELE","448425","Tower Cerastone Reversible Grill T14019","Tower",NA,"Black",NA,NA,NA,NA,"1600W",NA,"T14019",0.891666666666667
"KIT","ELE","448431","Tower Deep Fryer 2L T17001","Tower","2L",NA,NA,NA,NA,NA,"2L",NA,"T17001",1
"KIT","ELE","448433","Tower Air Fryer 3.2L T17005","Tower",NA,NA,NA,NA,NA,NA,"1350W",NA,"T17005",0.93
"KIT","ELE","448438","Tower Stainless Steel Meat Grinder T19005","Tower",NA,"Black",NA,NA,NA,NA,"500W",NA,"T19005",0.9
"KIT","ELE","448440","Tower Electric Knife Sharpener T19008","Tower",NA,"Black","1",NA,NA,NA,"60W",NA,NA,0.941666666666667
"KIT","ELE","448441","Tower Egg Cooker and Poacher T19010","Tower",NA,"Black",NA,NA,NA,NA,"360W",NA,"T19010",0.941666666666667
"KIT","ELE","448443","Tower Hand Mixer 200W T19012","Tower","200W","Black",NA,NA,NA,NA,"200W",NA,"T19012",0.95
"KIT","ELE","448444","Tower Electric Spiralizer T19014","Tower",NA,"Green",NA,NA,NA,NA,"100W",NA,"T19014",0.9
"KIT","ELE","448445","Tower 2 Slice Linear Toaster T20007","Tower",NA,"Black",NA,NA,NA,NA,NA,NA,"T20007",0.883333333333333
"KIT","ELE","448446","Tower 4 Slice Linear Toaster T20008","Tower",NA,"Black",NA,NA,NA,NA,"1600W",NA,"T20008",0.941666666666667
"KIT","ELE","448452","Tower Digital Microwave 800W T24007","Tower",NA,"Black",NA,NA,NA,NA,"800W",NA,"T24007",0.941666666666667
"KIT","ELE","448453","Tower Digital Microwave Black 800W T24008","Tower",NA,"Black",NA,NA,NA,NA,"800W",NA,"T24008",0.941666666666667
"KIT","ELE","448454","Tower 800W Microwave T24009","Tower",NA,"Black","1","Aluminium","No",NA,"800W",NA,"T24009",0.65
"KIT","ELE","448457","Tower 23L 900W Microwave T24011","Tower",NA,"Black",NA,NA,NA,NA,"900W",NA,"T24011",0.941666666666667
"KIT","ELE","448458","Tower Digital Panini Grill T27007","Tower",NA,"Silver",NA,NA,NA,NA,"1800W",NA,"T27007",0.941666666666667
"KIT","ELE","448459","Tower Health Grill T27011","Tower",NA,"Silver",NA,NA,NA,NA,"2000W",NA,"T27011",0.941666666666667
"KIT","ELE","448460","Tower Deep Fill Sandwich Maker T27013","Tower",NA,"Black","1","Cerastone ceramic plates","No",NA,"900W",NA,"T27013",0.65
"KIT","GAD","444694","Morphy Electronic Salt and Pepper MillStainless Steel","Morphy Richards","5.7 X 5.7 X25 cm","Silver","1",NA,NA,NA,NA,NA,NA,0.95
"KIT","GAD","444698","Morphy Richards Accents Electronic Salt Pepper Mill Copper 974235","Morphy Richards","5.7 X 5.7 X25 cm","Metal","1",NA,NA,NA,NA,NA,NA,1
"KIT","GAD","444700","Morphy Richards Accents 5pc Tool Set Red 46821","Morphy Richards","5 piece","Red",NA,NA,NA,NA,NA,NA,"46821",0.9
"KIT","GAD","444703","Morphy Richards Accents Tool Set Stainless Steel5pcs","Morphy Richards","5 piece","Silver",NA,NA,NA,NA,NA,NA,"46825",0.9
"KIT","GAD","444785","Tower Spudnik Spiralizer","Tower","15.5 X 20.5 X 25.5cm","Green","1",NA,NA,NA,NA,NA,NA,0.941666666666667
"KIT","HOL","444687","Morphy Richards Accents 6pc Storage Set StainlessSteel 974104","Morphy Richards","6 piece","Silver",NA,NA,NA,NA,NA,NA,"974104",0.9
"KIT","HOL","444688","Morphy Richards Accents 6pc Storage Set White 974105","Morphy Richards","6 piece","White",NA,NA,NA,NA,NA,NA,"974105",0.9
"KIT","HOL","444711","Morphy Richards Accents 28cm Saute Pan with GlassLid Barley 973031","Morphy Richards","28cm","Cream",NA,NA,NA,NA,NA,NA,"973031",0.9
"KIT","HOL","444720","Morphy Richards Accents 18cm 3 Tier Steamer White79008","Morphy Richards","18cm","White",NA,NA,NA,NA,NA,NA,"79008",0.9
"KIT","HOL","444728","Morphy Richards Accents Pan Set Stainless Steel 46395 3pcs","Morphy Richards","3 piece","Silver",NA,NA,NA,NA,NA,NA,"46395",0.9
"KIT","HOL","444732","Morphy Richards Accents Pan Set Cornflower Blue 973022 3pcs","Morphy Richards","3 piece","Blue",NA,NA,NA,NA,NA,NA,"973022",0.9
"KIT","HOL","444747","Morphy Richards Equip Pan Set Stainless Steel 970002 5pcs","Morphy Richards","5 piece","Silver",NA,NA,NA,NA,NA,NA,"970002",0.9
"KIT","HOL","444748","Morphy Richards Equip Pan Set Stainless Steel 970003 3pcs","Morphy Richards","3 piece","Silver",NA,NA,NA,NA,NA,NA,"970003",0.9
"KIT","HOL","444750","Morphy Richards Equip 18cm 3 Tier Steamer Stainless Steel 970008","Morphy Richards","18cm","Silver",NA,NA,NA,NA,NA,NA,"970008",0.9
"KIT","HOL","444751","Morphy Richards Equip 2.7L Pressure Cooker Stainless Steel 46640","Morphy Richards","2.7L","Silver",NA,NA,NA,NA,NA,NA,"46640",0.9
"KIT","HOL","444752","Morphy Richards Equip Pressure Cooker Stainless Steel 46641 6L","Morphy Richards","6L","Silver",NA,NA,NA,NA,NA,NA,"46641",0.9
"KIT","HOL","444777","Morphy Richards Pro Tri Frying Pan 79811 28cm","Morphy Richards","28cm","Silver",NA,NA,NA,NA,NA,NA,"79811",0.9
"KIT","HOL","444780","Morphy Richards Pro Pressure Cooker 977000 6L","Morphy Richards","6L","Silver",NA,NA,NA,NA,NA,NA,"977000",0.9
"KIT","STO","441469","Morphy Richards Sensor Bin Red 30L","Morphy Richards","30l","Red",NA,NA,NA,NA,NA,"30l","971496/MO",0.95
"KIT","STO","441471","Morphy Richards Sensor Bin Cream 30L 971498MO","Morphy Richards","30l","Cream",NA,NA,NA,NA,NA,"30l","971498/MO",0.95
"KIT","STO","441472","Morphy Richards Sensor Bin Stainless Steel 30L971499MO","Morphy Richards","30l","Metal",NA,NA,NA,NA,NA,"30l","971499/MO",0.95
