"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","Capacity","Age","DQ Score"
"CLE","AIR","426233","Air Wick Freshmatic Twin Refill Mulled Wine 500ml","Air Wick",NA,NA,"1",NA,NA,NA,0.9125
"CLE","AIR","429179","Air Wick Candle Pink Sweet Pea","Air Wick","105g",NA,"1",NA,NA,NA,0.93
"CLE","AIR","429193","Air Wick Air Freshener Freshmatic Max Refill PinkSweet Pea","Air Wick","250ml",NA,"1",NA,NA,NA,1
"CLE","AIR","429201","Air Wick Home Signature Reed Diffuser Water Irisand Night Orchid 100ml","Air Wick","100ml",NA,"1",NA,NA,NA,1
"CLE","AIR","429202","Air Wick Home Signature Reed Luscious Fruitand Exotic Wood 100ml","Air Wick","50ml",NA,"1",NA,NA,NA,1
"CLE","AIR","429208","Air Wick Electric Plug Single Unit","Air Wick","50g",NA,"1",NA,NA,NA,0.93
"CLE","AIR","429210","Air Wick Pure Air Freshener Aerosol Purple Lavender 250ml","Air Wick","250ml",NA,"1",NA,NA,NA,1
"CLE","AIR","429211","Air Wick Pure Air Freshener Soft Cotton 250ml","Air Wick","250ml",NA,"1",NA,NA,NA,1
"CLE","AIR","429214","Air Wick Reed Diffusers White Vanilla Bean 25ml","Air Wick","50ml",NA,"1",NA,NA,NA,1
"CLE","AIR","429215","Air Wick Reed Diffuser Pink Sweet Pea 25ml","Air Wick","50ml",NA,"1",NA,NA,NA,1
"CLE","AIR","429221","Air Wick Electric Single Refill Pink Sweet Pea","Air Wick","17ml",NA,"1",NA,NA,NA,0.93
"CLE","AIR","429226","Air Wick Electric Twin Refill Pink Sweet Pea","Air Wick","17ml",NA,"2",NA,NA,NA,0.93
"CLE","AIR","429228","Air Wick Life Scents Wax Melts Refill EnchantedForest 6pk","Air Wick","69kg",NA,"1",NA,NA,NA,0.93
"CLE","AIR","430998","Air wick Electrical Twin Refill Vanilla","Air Wick","34ml",NA,"2",NA,NA,NA,0.93
"CLE","AIR","430999","Air Wick Reed Diffuser Purple Blackberry Fig 25ml","Air Wick","25ml",NA,"1",NA,NA,NA,1
"CLE","AIR","431657","Air Wick Pure Freshmatic Compact RefillPurple Lavender 24ml","Air Wick","24ml",NA,"1",NA,NA,NA,1
"CLE","AIR","431659","Air Wick Pure Freshmatic Compact Refill CherryBlossom 24ml","Air Wick","24ml",NA,"1",NA,NA,NA,1
"CLE","AIR","431661","Air Wick Pure Freshmatic Compact Refill SpringDelight 24ml","Air Wick","24ml",NA,"1",NA,NA,NA,1
"CLE","AIR","431663","Air Wick Pure Freshmatic Compact Air Freshener KitSpring Delight","Air Wick","24ml",NA,"1",NA,NA,NA,1
"CLE","AIR","441498","Air Wick Wax Melt Refill Xmas Tree Wishes 6pk","Air Wick",NA,NA,"1",NA,NA,NA,0.86
"CLE","AIR","443577","Air Wick Freshmatic Single Refill Mulled Wine250ml","Air Wick","250ml",NA,"1",NA,NA,NA,1
"CLE","AIR","443578","Air Wick Refill Spiced Mulled Wine 17ml","Air Wick","17ml",NA,"1",NA,NA,NA,0.93
"CLE","AIR","443579","Air Wick Electric Twin Refill Mulled Wine 34ml","Air Wick",NA,NA,"1",NA,NA,NA,0.86
"CLE","AIR","443580","Air Wick Candle Mulled Wine 105g","Air Wick",NA,NA,"1",NA,NA,NA,0.86
"CLE","AIR","443581","Air Wick Reed Diffuser Ginger and Mandarin 25ml","Air Wick","25ml",NA,"1",NA,NA,NA,1
"CLE","AIR","450609","Air Wick Fresh Matic Max Pure Refill Cherry","Air Wick","6.6 X 6.6 X 15",NA,"1",NA,NA,NA,1
"CLE","AIR","450610","Air Wick Fresh Matic Max Pure Refill Spring","Air Wick","6.6X6.6X15",NA,"1",NA,NA,NA,1
"CLE","AIR","450611","Air Wick Fresh Matic Max Pure Refill Med Sun","Air Wick","6.6X6.6X15",NA,"1",NA,NA,NA,1
"CLE","AIR","450612","Air Wick Fresh Matic Complete Max Pure Cherry","Air Wick","8.9 X 15.2 X 20.6",NA,"1",NA,NA,NA,1
"CLE","AIR","450613","Air Wick Fresh Matic Complete Max Pure Spring","Air Wick","8.9 X 15.2 X 20.6",NA,"1",NA,NA,NA,1
"CLE","AIR","450616","Air Wick Pure Air Freshener Aerosol Pure SmoothLily 250ml","Air Wick","250ml",NA,"1",NA,NA,NA,1
"CLE","AIR","450617","Air Wick Pure Air Freshener Aerosol Fresh Berries","Air Wick","6.6X6.6X17.2",NA,"1",NA,NA,NA,1
"CLE","AIR","450622","Air Wick Fresh Matic Max Twin Refill Lavender","Air Wick","6.6 X 13.2 X 15",NA,"2",NA,NA,NA,1
"CLE","AIR","450626","Air Wick Electric Complete Linen And Lilac","Air Wick","6.2 X 11.5 X 15",NA,"1",NA,NA,NA,0.93
"CLE","AIR","450627","Air Wick Electric Complete Lavender Meadow","Air Wick","6.2 X 11.5 X 15",NA,"1",NA,NA,NA,0.93
"CLE","AIR","450628","Air Wick Electric Complete Vanilla Bean","Air Wick","6.2 X 11.5 X 15",NA,"1",NA,NA,NA,0.93
"CLE","DIS","230098","Finish Dishwasher Rinse Aid 400ml","Finish","400ml",NA,NA,NA,NA,NA,0.9125
"CLE","DIS","254925","Finish Oudour Stop Dishwasher Freshener","Finish",NA,NA,"1",NA,NA,NA,0.9125
"CLE","DIS","271982","Finish Dishwasher Cleaner 250ml","Finish","250ml",NA,NA,NA,NA,NA,0.9125
"CLE","DIS","411901","Finish Dishwasher Tablets Quantum Max 18pk","Finish",NA,NA,"1",NA,NA,NA,0.9125
"CLE","FUR","1141040","Brasso Metal Polish 75g","Brasso","75g",NA,NA,NA,NA,NA,0.9125
"CLE","FUR","42549","Brasso Metal Polish 175ml","Brasso","175ml",NA,NA,NA,NA,NA,0.9125
"CLE","FUR","117286","Mr Sheen Multi-Surface Polish 300ml","Mr Sheen","300ml",NA,NA,NA,NA,NA,0.9125
"CLE","FUR","73623","Mr Sheen Multi Surface Polish Spring Fresh 300ml","Mr Sheen","300ml",NA,"1",NA,NA,NA,1
"CLE","FUR","437717","Vanish Gold Carpet Oxi Spray 500ml","Vanish","500ml",NA,"1",NA,NA,NA,1
"CLE","LAU","168862","Calgon Water Softener 15pk","Calgon","218g",NA,"1",NA,NA,NA,1
"CLE","LAU","275078","Calgon 2 in 1 Water Softener Powder 600g","Calgon","600g",NA,"1",NA,NA,NA,1
"CLE","LAU","286247","Calgon Water Softener Gel 750ml","Calgon","750ml",NA,NA,NA,NA,NA,0.9125
"CLE","LAU","414377","Dettol Wash Machine Cleaner Gel 250ml","Dettol","250ml",NA,"1",NA,NA,NA,1
"CLE","LAU","206458","Vanish Oxi Action Stain Remover 500g","Vanish","500g",NA,"1",NA,NA,NA,1
"CLE","LAU","243084","Vanish Oxi Action Crystal White Fabric StainRemover 500g","Vanish","500g",NA,"1",NA,NA,NA,1
"CLE","LAU","347226","Vanish Pre Treat Stain Remover Gel 200ml","Vanish","200ml",NA,"1",NA,NA,NA,1
"CLE","LAU","347228","Vanish Gold Oxi Stain Remover 940g","Vanish","940g",NA,NA,NA,NA,NA,0.9125
"CLE","LAU","347229","Vanish Gold Oxi Stain Remover  470g","Vanish","470g",NA,"1",NA,NA,NA,1
"CLE","LAU","411870","Vanish White Gold Stain Remover 470g","Vanish","470g",NA,"1",NA,NA,NA,1
"CLE","LAU","411871","Vanish White Gold Stain Remover 940g","Vanish","940g",NA,"1",NA,NA,NA,1
"CLE","LAU","412313","Vanish Oxi Action Spray 500ml","Vanish",NA,NA,NA,NA,NA,NA,0.825
"CLE","LAU","454173","Vanish White Platinum Powder 470g","Vanish","470g",NA,"1",NA,NA,NA,1
"CLE","LAU","454174","Vanish Pink Platinum Powder 470g","Vanish","470g",NA,"1",NA,NA,NA,1
"CLE","LAU","454176","Vanish Pink Platinum Gel 940ml","Vanish","940ml",NA,"1",NA,NA,NA,1
"CLE","LAU","454177","Vanish White Platinum Gel 940ml","Vanish","940ml",NA,"1",NA,NA,NA,1
"CLE","LAU","454178","Vanish Gold Oxi Action Stain Remover Gel 940ml","Vanish","940ml",NA,"1",NA,NA,NA,1
"CLE","LAU","454179","Vanish White Gold Gel 940ml","Vanish","940ml",NA,"1",NA,NA,NA,0.9125
"CLE","LAU","275080","Woolite Detergent Hand and Machine Wash 750ml","Woolite","750ml",NA,"1",NA,NA,NA,1
"CLE","LAU","275324","Woolite Detergent Extra Dark Protection12 Washes 750ml","Woolite","750ml",NA,NA,NA,NA,NA,0.9125
"CLE","SUR","321019","Cillit Bang Active Bathroom Foam 600ml","Cillit Bang","600ml",NA,"1",NA,NA,NA,1
"CLE","SUR","412311","Cillit Bang Power Cleaner Degreaser 750ml","Cillit Bang","750ml",NA,"1",NA,NA,NA,1
"CLE","SUR","412312","Cillit Bang Black Mould Remover 750ml","Cillit Bang","750ml",NA,"1",NA,NA,NA,1
"CLE","SUR","275243","Dettol Floor Cleaning Wipes Green AppleExtra Large 15pk","Dettol","Extra Large",NA,"15pk",NA,NA,NA,1
"CLE","SUR","281585","Dettol Antibacterial Cleansing Surface WipesLarge 36pk","Dettol","Large",NA,"36pk",NA,NA,NA,1
"CLE","SUR","339710","Dettol Laundry Cleanser Fresh Cotton 1.5L","Dettol","1.5L",NA,"1",NA,NA,NA,1
"CLE","SUR","412316","Dettol Surface Cleanser 750ml","Dettol","750ml",NA,"1",NA,NA,NA,1
"CLE","SUR","412319","Dettol Power and Fresh Cleaner Apple 500ml","Dettol","500ml",NA,"1",NA,NA,NA,1
"CLE","SUR","412325","Dettol Power and Fresh Wipes Citrus 80pk","Dettol","80 wipes",NA,"1",NA,NA,NA,1
"CLE","SUR","412743","Dettol Antibacterial Cleansing Surface Wipes Limeand Mint 84pk","Dettol","84",NA,"84",NA,NA,NA,1
"CLE","SUR","429804","Dettol Power and Fresh Sparkling Lemon and LimeBurst 1L","Dettol","1L",NA,"1",NA,NA,NA,1
"CLE","SUR","429805","Dettol Power and Fresh Pomegranate and LimeSplash 1L","Dettol","1L",NA,"1",NA,NA,NA,1
"CLE","SUR","429807","Dettol Disinfectant Crisp Linen 400ml","Dettol","400ml",NA,"1",NA,NA,NA,1
"CLE","SUR","429808","Dettol Disinfectant Spray Orchard Blossom400ml","Dettol","400ml",NA,"1",NA,NA,NA,1
"CLE","SUR","429814","Dettol Power and Fresh Pomegrante andLime Splash Wipes 80pk","Dettol","80 wipes",NA,"80",NA,NA,NA,1
"CLE","SUR","451243","Dettol Power and Pure Bathroom TriggerSpray 1L","Dettol","13.1 X 7.6 X 28.5",NA,"1",NA,NA,NA,0.95
"CLE","SUR","451244","Dettol Power And Pure Kitchen 1L","Dettol","13.1 X 7.6 X 28.5",NA,"1",NA,NA,NA,0.95
"CLE","SUR","451247","Dettol Disinfectant Spray Jasmine 400ml","Dettol","400ml",NA,"1",NA,NA,NA,0.95
"CLE","SUR","49990","Dettol Liquid Antiseptic Disinfectant 500ml","Dettol","500ml",NA,NA,NA,NA,NA,0.9125
"CLE","SUR","213687","Mr Sheen Spray and Mop Floor Cleaner Orange andLemon Blossom 500ml","Mr Sheen","500ml",NA,"1",NA,NA,NA,1
"CLE","SUR","429815","Vanish Gold Carpet Care Foam 600ml","Vanish","600ml",NA,"1","No","600ml",NA,0.65
"CLE","SUR","429816","Vanish Powder Carpet Cleaner 650g","Vanish","650g",NA,"1",NA,NA,NA,1
"CLE","SUR","252172","Windolene Wipes 30pk","Windolene","30 wipes",NA,"30",NA,NA,NA,1
"CLE","SUR","429813","Windolene 750ml","Windolene","750ml",NA,"1",NA,NA,NA,1
"CLE","TOI","453366","Air Wick VIPoo Lemon Idol Spray 55ml","Air Wick","3.25 x 3.25 x 13.2",NA,"6",NA,NA,NA,1
"CLE","TOI","453367","Air Wick VIPoo Fruity Pin Up Spray 55ml","Air Wick","3.25 x 3.25 x 13.2",NA,"6",NA,NA,NA,1
"CLE","TOI","453368","Air Wick VIPoo Rosy Starlet Spray 55ml","Air Wick","3.25 x 3.25 x 13.2",NA,"6",NA,NA,NA,1
"CLE","TOI","453369","Air Wick VIPoo Lavender Superstar Spray 55ml","Air Wick","3.25 x 3.25 x 13.2",NA,"6",NA,NA,NA,1
"CLE","TOI","225107","Harpic Original Limescale Remover 750ml","Harpic","750ml",NA,"1",NA,NA,NA,1
"CLE","TOI","252160","Harpic Power Plus Toilet Cleaner, Original 750ml","Harpic","750ml",NA,"1",NA,NA,NA,1
"CLE","TOI","271964","Harpic Power Plus Toilet Cleaner Citrus 750ml","Harpic","750ml",NA,NA,NA,NA,NA,0.9125
"CLE","TOI","334465","Harpic White and Shine Bleach with BakingSoda 750ml","Harpic","750ml",NA,"1",NA,NA,NA,1
"CLE","TOI","403686","Harpic White and Shine Bleach with BakingSoda 750ml","Harpic",NA,NA,"1",NA,NA,NA,0.9125
"CLE","TOI","431958","Harpic Fresh Power Summer Breeze 39g","Harpic","39g",NA,"1",NA,NA,NA,1
"TOI","BAB","193665","Napisan Non Biological Stain Remover 800g","Napisan","800g",NA,"1",NA,NA,NA,1
"TOI","BAB","33079","Woodwards Gripe Water Alcohol and Sugar Free150ml","Woodwards","150ml",NA,NA,NA,NA,NA,0.9125
"TOI","BAT","310013","Dettol Antibacterial Soap 2 x 100g","Dettol","2 x 100g",NA,"1",NA,NA,NA,1
"TOI","BAT","324200","Dettol No Touch Handwash Refill, Odour Neutral250ml","Dettol","250ml",NA,NA,NA,NA,NA,0.9125
"TOI","BAT","324203","Dettol No Touch Handwash Unit with Cucumber Refill","Dettol","250ml",NA,NA,NA,NA,NA,0.9125
"TOI","BAT","407953","Dettol E45 No Touch Liquid Hand WashRose and Shea Butter 250ml","Dettol","250ml",NA,"1",NA,NA,NA,1
"TOI","BAT","450303","Dettol E45 Rose and Shea Butter Liquid Hand Wash250ml","Dettol","250ml",NA,"1",NA,NA,NA,0.95
"TOI","BAT","450305","Dettol E45 Liquid Hand Wash 250mlCamomile Antibacterial","Dettol","250ml",NA,"1",NA,NA,NA,0.95
"TOI","BAT","450306","Dettol Liquid Hand Wash Lavender250ml","Dettol","250ml",NA,"1",NA,NA,NA,0.95
"TOI","BAT","450308","Dettol Liquid Hand Wash 250mlGrapefruit","Dettol","250ml",NA,"1",NA,NA,NA,0.95
"TOI","DEN","437624","Steradent Denture Cleansing Tablets Active Plus30pk","Steradent",NA,NA,"30","No",NA,NA,0.65
"TOI","DEN","437625","Steradent Denture Cleansing Tablets Pro White30pk","Steradent",NA,NA,NA,"No",NA,NA,0.65
"TOI","DEN","450310","Steradent Active Fresh Denture Tablets30pk","Steradent",NA,NA,NA,"No",NA,NA,0.65
"TOI","DEN","34146","Superdent Denture Cleansing Tablets 30pk","Superdent","One Size","Multi","30pk","No",NA,NA,0.65
"TOI","EYE","209843","Optrex Refreshing Eye Drops 10ml","Optrex","10ml",NA,"1",NA,NA,NA,1
"TOI","EYE","278765","Optrex Eye Wash 100ml","Optrex","100ml",NA,"1",NA,NA,NA,1
"TOI","EYE","296547","Optrex Actimist 10ml","Optrex","10ml",NA,"1",NA,NA,NA,1
"TOI","EYE","301472","Optrex Itchy Eye 10ml","Optrex",NA,NA,"1",NA,NA,NA,0.9125
"TOI","EYE","430692","Optrex Intensive Eyedrops 10ml","Optrex",NA,NA,"6",NA,NA,NA,0.9125
"TOI","FAC","126221","E45 Dermatological Moisturising Lotion 200ml","E45","200ml",NA,"1",NA,NA,NA,1
"TOI","FAC","183732","E45 Itch Relief Cream 50g","E45","50g",NA,NA,NA,NA,NA,0.9125
"TOI","FAC","201858","E45 Dermatological Cream 125g","E45","125g",NA,NA,NA,NA,NA,0.9125
"TOI","FAC","207609","E45 Dermatological Moisturising Lotion 500ml","E45",NA,NA,"1",NA,NA,NA,0.9125
"TOI","FAC","249627","E45 Dermatological Cream 350g","E45","350g",NA,"1",NA,NA,NA,1
"TOI","FAC","319914","E45 Dermatological Intense Recovery Lotion 400ml","E45","400ml",NA,NA,NA,NA,NA,0.9125
"TOI","FAC","33359","E45 Dermatological Cream 50g","E45","50g",NA,"1",NA,NA,NA,1
"TOI","FAC","408917","E45 Dermatological Intense RecoveryHand Cream 50ml","E45",NA,NA,"1",NA,NA,NA,0.9125
"TOI","FEM","176499","Veet Hair Removal Cream for Sensitive Skin 100ml","Veet","100ml","Multi","1",NA,NA,NA,0.941666666666667
"TOI","FEM","189325","Veet Ready To Use Facial Wax Strips 20pk","Veet",NA,"Multi","1",NA,NA,NA,0.883333333333333
"TOI","FEM","202242","Veet Wax Strips for Sensitive Skin 20pk","Veet",NA,NA,"20pk",NA,NA,NA,0.825
"TOI","FEM","229481","Veet Hair Removal Cream for Sensitive Skin 200ml","Veet","200ml","Multi","1",NA,NA,NA,0.941666666666667
"TOI","FEM","229484","Veet Hair Removal Cream Normal Skin 100ml","Veet","100ml","Multi","1",NA,NA,NA,0.941666666666667
"TOI","FEM","242622","Veet In-Shower Hair Removal Cream Normal Skin150ml","Veet","150ml","Multi","1",NA,NA,NA,0.941666666666667
"TOI","FEM","278881","Veet Spray On Hair Removal Cream Sensitive Skin150ml","Veet","150ml","Multi","1",NA,NA,NA,0.941666666666667
"TOI","FEM","411991","Veet Sensitive Hair Removal Cream 200ml","Veet","200ml",NA,"1",NA,NA,NA,0.883333333333333
"TOI","FEM","444982","Veet Sensitive Precision Beauty Styler","Veet",NA,NA,NA,NA,NA,NA,0.766666666666667
"TOI","MED","172964","Bonjela Adult Gel, 15g","Bonjela","15g",NA,NA,NA,NA,NA,0.9125
"TOI","MED","192778","Bonjela Teething Gel 15g","Bonjela","15g",NA,"1",NA,NA,NA,1
"TOI","MED","423974","Bonjela Invisible Cold Sore Cream 2g","Bonjela","2g",NA,"1pk",NA,NA,NA,1
"TOI","MED","332937","Durex Play Tingling Lube 60ml","Durex","50ml",NA,NA,NA,NA,NA,0.86
"TOI","MED","342573","Durex Vibrations Ring 1pk","Durex",NA,NA,"1pk",NA,NA,NA,0.86
"TOI","MED","430539","Durex Extra Safe 12pk","Durex",NA,NA,"12pk",NA,NA,NA,0.86
"TOI","MED","430540","Durex Thin Feel 12pk","Durex",NA,NA,"12pk",NA,NA,NA,0.86
"TOI","MED","430541","Durex Pleasure Me 12pk","Durex",NA,NA,"12pk",NA,NA,NA,0.86
"TOI","MED","430543","Durex Mutual Climax 12pk","Durex",NA,NA,"12pk",NA,NA,NA,0.86
"TOI","MED","453079","Durex Intense Condom 12s","Durex",NA,NA,"12",NA,NA,NA,0.86
"TOI","MED","453081","Durex Intense Gel","Durex",NA,NA,"1",NA,NA,NA,0.86
"TOI","MED","453082","Durex Little Devil","Durex",NA,NA,"1",NA,NA,NA,0.86
"TOI","MED","453083","Durex Intense Bullet","Durex",NA,NA,"1",NA,NA,NA,0.86
"TOI","MED","223084","Fybogel Hi-Fibre Drink Sachets 10pk","Fybrogel",NA,NA,"10pk","No",NA,NA,0.6
"TOI","MED","203135","Gaviscon Heartburn and Indigestion Aniseed300ml","Gaviscon","300ml",NA,"1","No",NA,"6 Years",0.65
"TOI","MED","274222","Gaviscon Double Action Heartburn and Indigestion150ml","Gaviscon","150ml",NA,"1","No",NA,"12",0.65
"TOI","MED","280363","Gaviscon Double Action Heartburn and Indigestion300ml","Gaviscon","300ml",NA,NA,"No",NA,"12 Years",0.65
"TOI","MED","296543","Gaviscon Heartburn and Indigestion Peppermint300ml","Gaviscon",NA,NA,"1","No",NA,NA,0.65
"TOI","MED","296544","Gaviscon Heartburn and Indigestion Aniseed 150ml","Gaviscon",NA,NA,"1","No",NA,NA,0.65
"TOI","MED","342568","Gaviscon Double Action Liquid 12pk","Gaviscon",NA,NA,"12pk","No",NA,NA,0.65
"TOI","MED","453075","Gaviscon Double Action 12s","Gaviscon",NA,NA,"12","No",NA,NA,0.6
"TOI","MED","453084","Gaviscon Tablets Peppermint 24s","Gaviscon",NA,NA,"24","No",NA,NA,0.6
"TOI","MED","453085","Gaviscon Tablets Peppermint 48s","Gaviscon",NA,NA,"48","No",NA,NA,0.6
"TOI","MED","453086","Gaviscon Strawberry Tablets 24s","Gaviscon",NA,NA,"24","No",NA,NA,0.6
"TOI","MED","453088","Gaviscon Double Action 24s","Gaviscon",NA,NA,"48","No",NA,NA,0.6
"TOI","MED","453089","Gaviscon Double Action 48s","Gaviscon",NA,NA,"24","No",NA,NA,0.6
"TOI","MED","453227","Gaviscon Tablets Strawberry 48s","Gaviscon",NA,NA,"2","No",NA,NA,0.6
"TOI","MED","148274","Lanacane Anaesthetic Itching Cream 30g","Lanacane","30g",NA,NA,NA,NA,NA,0.9125
"TOI","MED","169600","Lemsip Max Cold and Flu Lemon 10pk","Lemsip",NA,NA,"10pk",NA,NA,NA,0.9125
"TOI","MED","280371","Lemsip Max Cold and Flu Capsules 16pk","Lemsip",NA,NA,"16pk",NA,NA,NA,0.9125
"TOI","MED","284642","Lemsip All in One Capsules 8pk","Lemsip",NA,NA,"8pk",NA,NA,NA,0.9125
"TOI","MED","296555","Lemsip Max Blackcurrant Sachets 10pk","Lemsip",NA,NA,"10pk",NA,NA,NA,0.9125
"TOI","MED","296556","Lemsip Max All in 1 Cold and Flu Capsules 16pk","Lemsip",NA,NA,"16pk",NA,NA,NA,0.9125
"TOI","MED","330044","Lemsip Cough Mucus Sachets 10pk","Lemsip",NA,NA,"10pk",NA,NA,NA,0.9125
"TOI","MED","330047","Lemsip Cough Mucus Cough Capsules 16pk","Lemsip",NA,NA,"16pk",NA,NA,NA,0.9125
"TOI","MED","33658","Lemsip Cold and Flu Lemon 10pk","Lemsip",NA,NA,"10pk",NA,NA,NA,0.9125
"TOI","MED","351392","Lemsip Max Day and Night Capsules 16pk","Lemsip",NA,NA,"16",NA,NA,NA,0.9125
"TOI","MED","409277","Lemsip Cough Chesty Drink Sachets 10pk","Lemsip",NA,NA,"10",NA,NA,NA,0.9125
"TOI","MED","423969","Lemsip Max All In One Lemon 4 Sachets","Lemsip",NA,NA,"1",NA,NA,NA,0.9125
"TOI","MED","423970","Lemsip Max All In One Lemon 8 Sachets","Lemsip",NA,NA,"1",NA,NA,NA,0.9125
"TOI","MED","444889","Lemsip Chesty Cough Liquid 180ml","Lemsip",NA,NA,NA,NA,NA,NA,0.825
"TOI","MED","444890","Lemsip Dry Cough Liquid 180ml","Lemsip",NA,NA,NA,NA,NA,NA,0.825
"TOI","MED","100637","Nurofen Ibuprofen Tablets 12pk","Nurofen",NA,NA,"12pk",NA,NA,NA,0.9125
"TOI","MED","214973","Nurofen Ibuprofen 8pk","Nurofen","8 Pack",NA,"8pk",NA,NA,NA,1
"TOI","MED","260334","Nurofen Express Ibuprofen 259mg 12pk","Nurofen","256mg",NA,"12pk",NA,NA,NA,1
"TOI","MED","280373","Nurofen Ibuprofen Express 16pk","Nurofen","200mg",NA,"16pk",NA,NA,NA,1
"TOI","MED","280385","Nurofen Ibuprofen Express Liquid 10pk","Nurofen","200mg",NA,"10pk","No",NA,"12 Years",0.65
"TOI","MED","281092","Nurofen for Children Strawberry 100ml","Nurofen",NA,NA,"1",NA,NA,NA,0.9125
"TOI","MED","296559","Nurofen Ibuprofen 16pk","Nurofen",NA,NA,"16pk",NA,NA,NA,0.9125
"TOI","MED","296560","Nurofen Ibuprofen Express 16pk","Nurofen",NA,NA,"16pk",NA,NA,NA,0.9125
"TOI","MED","297481","Nurofen for Children Oral Suspension Strawberry100ml","Nurofen","100ml",NA,NA,NA,NA,NA,0.9125
"TOI","MED","305353","Nurofen Ibuprofen Express Tablets 256mg 16pk","Nurofen",NA,NA,"16pk",NA,NA,NA,0.9125
"TOI","MED","308728","Nurofen Ibuprofen 200mg 16pk","Nurofen","16 Pack",NA,"16pk",NA,NA,NA,1
"TOI","MED","342565","Nurofen Cold and Flu Relief Tablets 16pk","Nurofen",NA,NA,"16pk",NA,NA,NA,0.9125
"TOI","MED","342567","Nurofen for Children Cold and Flu 100ml","Nurofen","100ml",NA,"1",NA,NA,NA,1
"TOI","MED","407665","Nurofen Migraine 12pk","Nurofen",NA,NA,"12pk",NA,NA,NA,0.9125
"TOI","MED","423967","Nurofen Sinus Pain Relief Tablets 16pk","Nurofen",NA,NA,"1",NA,NA,NA,0.9125
