"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","Capacity","Age","DQ Score"
"TOI","SMO","210539","Nicorette Nicotine Gum Freshmint 2mg 105pk","Nicorette",NA,NA,NA,NA,NA,NA,1
"TOI","SMO","210540","Nicorette Nicotine Gum Freshmint 4mg 105pk","Nicorette",NA,NA,NA,NA,NA,NA,1
"TOI","SMO","239845","Nicorette Gum Nicotine Full Strength 4mg 105pk","Nicorette",NA,NA,NA,NA,NA,NA,1
"TOI","SMO","239846","Nicorette Gum Low Strength 2mg 105pk","Nicorette",NA,NA,NA,NA,NA,NA,1
"TOI","SMO","254431","Nicorette Icy White Gum Nicotine Low Strength2mg 105pcs","Nicorette",NA,NA,NA,NA,NA,NA,1
"TOI","SMO","299205","Nicorette Quickmist 1mg","Nicorette",NA,NA,NA,NA,NA,NA,1
"TOI","SMO","451866","Nicorette Gum Freshmint 2mg 25's","Nicorette",NA,NA,NA,NA,NA,NA,1
"TOI","SMO","451867","Nicorette Gum Icy White 2mg 25's","Nicorette",NA,NA,NA,NA,NA,NA,1
"TOI","SUN","286584","Piz Buin In Sun Allergy Lotion High SPF30 200ml","Piz Buin","200ml",NA,NA,NA,NA,NA,0.9125
"TOI","TRA","267302","Johnsons Baby  Shampoo 100ml","Johnsons","100ml",NA,NA,NA,NA,NA,0.9125
"TOI","TRA","292146","Johnsons Baby Powder 100g","Johnsons","100ml",NA,"1",NA,NA,NA,1
"TOI","TRA","266855","Listerine Mouthwash Total Care Clean Mint 95ml","Listerine","95ml",NA,"1",NA,NA,NA,1
"TOI","TRA","292145","Listerine Mouthwash Stay White Arctic Mint 95ml","Listerine","95ml",NA,NA,NA,NA,NA,0.9125
