"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","Assembly","Power","Capacity","Coverage","Age","DQ Score"
"PET","CAT","449955","Whiskas 1+ Cat Food Casserole Poultry Selection12 x 85g","Whiskas","85g x 12","12",NA,NA,NA,NA,NA,1
"PET","CAT","449956","Whiskas 1+ Cat Food Casserole Fish Selection 85g 12 Pack","Whiskas","85g x 12","12",NA,NA,NA,NA,NA,1
"PET","CAT","449957","Whiskas 1+ Cat Food Casserole Meaty Selection12 x 85g","Whiskas","85g x 12","12",NA,NA,NA,NA,NA,1
"PET","CAT","450775","Whiskas 1+ Cat Food Casserole Fishy/MeatySelection 12 x 85g","Whiskas","12x85g","12",NA,NA,NA,NA,NA,1
"PET","CAT","456428","Whiskas 1+ Cat Food Pouch Casserole PoultrySelection in Jelly 40 x85g","Whiskas",NA,"40",NA,NA,NA,NA,NA,0.9125
"PET","DOG","221217","Cesar Dog Food Turkey Tray 150g","Cesar","150g",NA,NA,NA,NA,NA,NA,0.9125
"PET","DOG","267124","Cesar Dog Food Chicken and Turkey Tray 150g","Cesar","150g",NA,NA,NA,NA,NA,NA,0.9125
"PET","DOG","348547","Cesar Tray Dog Food Classic Selection 4X150g","Cesar","4x150g","4pk",NA,NA,NA,NA,NA,1
"PET","DOG","348548","Cesar Dog Food Classic Selection Tray 8 x 150g","Cesar","8x150g","8pk",NA,NA,NA,NA,NA,1
"PET","DOG","348549","Cesar Dog Food Country Kitchen Selection Tray 8 x150g","Cesar","8x150g","8pk",NA,NA,NA,NA,NA,1
"PET","DOG","348550","Cesar Dog Food Country Kitchen Selection Tray 4 x150g","Cesar","4x150g","4pk",NA,NA,NA,NA,NA,1
"PET","DOG","412788","Cesar Pouch Dog Food Fresh Selection in Sauce 4 x100g","Cesar","4x100g","4pk",NA,NA,NA,NA,NA,1
"PET","DOG","412789","Cesar Pouch Dog Food Fresh Selection in Jelly 4 x100g","Cesar","4x100g","4pk",NA,NA,NA,NA,NA,1
"PET","DOG","431031","Cesar Pouch Dog Food Deliciously Fresh Favouritesin Sauce 8 x 100g","Cesar","8x100g","8",NA,NA,NA,NA,NA,1
"PET","DOG","431032","Cesar Pouch Dog Food Deliciously Fresh Selectionin Jelly for Senior Dogs 8 x 100g","Cesar","8x100g","8",NA,NA,NA,NA,NA,1
"PET","DOG","292557","Chappie Tinned Dog Food Chicken and Rice 6 x 412g","Chappie","412g",NA,NA,NA,NA,NA,NA,0.9125
"PET","DOG","314474","Chappie Complete Dry Dog Food Chicken and WholeGrain Cereal 3kg","Chappie","3kg",NA,NA,NA,NA,NA,NA,0.9125
"PET","DOG","215865","Pedigree Dry Dog Food Chicken and Veg 2.6kg","Pedigree","2.6kg","1",NA,NA,NA,NA,NA,1
"PET","DOG","252389","Pedigree Tinned Puppy Food Chicken Poultry andLamb with Rice in Jelly 6 x 400g","Pedigree","400g",NA,NA,NA,NA,NA,NA,0.9125
"PET","DOG","252408","Pedigree Tinned Adult Dog Food Chicken in Gravy 6x 400g","Pedigree","6x400g","6",NA,NA,NA,NA,NA,1
"PET","DOG","252409","Pedigree Tinned Adult Dog Food Mixed pk in Jelly6 x 385g","Pedigree","6x385g",NA,NA,NA,NA,NA,NA,0.9125
"PET","DOG","252411","Pedigree Tinned Dog Food Original Loaf 400g","Pedigree","400g","1",NA,NA,NA,NA,NA,1
"PET","DOG","267128","Pedigree Tinned Dog Food Country Casserole inGravy 6 x 400g","Pedigree","6x400g",NA,NA,NA,NA,NA,NA,0.9125
"PET","DOG","405655","Pedigree Dry Dog Food Chicken 500g","Pedigree","500g","1",NA,NA,NA,NA,NA,1
"PET","DOG","405658","Pedigree Pouch Dog Food Chicken and Lamb in Jelly4 x 100g","Pedigree","4x100g","4",NA,NA,NA,NA,NA,1
"PET","DOG","405659","Pedigree Pouch Dog Food Chicken Vegetables andBeef Vegetables in Gravy 4 x 100g","Pedigree","4x100g","4",NA,NA,NA,NA,NA,1
"PET","DOG","405660","Pedigree Pouch Puppy Food Chicken and Beef4 x 100g","Pedigree","4 x 100g","4",NA,NA,NA,NA,NA,1
"PET","DOG","405662","Pedigree Pouch Dog Food Real Meals in Gravy 12 x100g","Pedigree","12x100g","12",NA,NA,NA,NA,NA,1
"PET","DOG","405663","Pedigree Pouch Dog Food Favourites in Jelly 12 x100g","Pedigree","12x100g","12",NA,NA,NA,NA,NA,1
"PET","DOG","405665","Pedigree Pouch Puppy Food in Jelly 12 x 100g","Pedigree",NA,"12",NA,NA,NA,NA,NA,0.9125
"PET","DOG","430184","Pedigree Tinned Dog Food Mixed Selection in Gravy12 x 400g","Pedigree","12x400g","12",NA,NA,NA,NA,NA,1
"PET","DOG","430185","Pedigree Tinned Dog Food Mixed Selection in Jelly12 x 385g","Pedigree","12x385g","12",NA,NA,NA,NA,NA,1
"PET","DOG","454768","Perfect Fit Complete Dry Dog Food Adult 1+ >10kgChicken 2.6kg","Perfect Fit","2.6kg","1",NA,NA,NA,NA,NA,1
"PET","DOG","454771","Perfect Fit Complete Dry Dog Food Senior 10+ <10kg Chicken 2.6kg","Perfect Fit","2.6kg","1",NA,NA,NA,NA,NA,1
"PET","DOG","454772","Perfect Fit Complete Dry Dog Food Adult 1+ >10kgChicken 825g","Perfect Fit","825g","1",NA,NA,NA,NA,NA,1
"PET","DOG","454773","Perfect Fit Complete Dry Dog Food Junior <1Chicken 825g","Perfect Fit","825g","1",NA,NA,NA,NA,NA,1
"PET","DOG","454774","Perfect Fit Complete Dry Dog Food Adult 1+<10kg Chicken 825g","Perfect Fit","825g","1",NA,NA,NA,NA,NA,1
"PET","DOM","421494","Aquarian Goldfish Flake Food 25g","Aquarian","25g","1",NA,NA,NA,NA,NA,0.93
"PET","DOM","421495","Aquarian Fish Food Goldfish Flaked Food 50g","Aquarian","50g","1pk",NA,NA,NA,NA,NA,0.93
"PET","DOM","421496","Aquarian Tropical Flake Fish Food 25g","Aquarian","25g","1",NA,"N/A",NA,NA,NA,1
"PET","DOM","421497","Aquarian Fish Food Flaked 50g","Aquarian","50g","1pk",NA,NA,NA,NA,NA,0.93
"PET","DOM","421498","Aquarian Fish Algae Wafers 28g","Aquarian","28g","1pk",NA,NA,NA,NA,NA,0.93
"PET","DOM","421499","Aquarian Fish Food Sinking Pellets 28g","Aquarian","28g","1pk",NA,NA,NA,NA,NA,0.93
"PET","DOM","421500","Aquarian Goldfish Pellets 28g","Aquarian","28g","1pk",NA,NA,NA,NA,NA,0.93
"PET","DOM","452936","Aquarian Goldfish Food Pellets 100g","Aquarian","100g","1",NA,NA,NA,NA,NA,0.93
"PET","DOM","452937","Aquarian Holiday Feeding Block","Aquarian","28g","1",NA,"N/A",NA,NA,NA,1
"PET","DOM","221196","Trill Budgie Seed 500g","Trill","500g","1",NA,NA,NA,NA,NA,1
"PET","DOM","422769","Wilko Aquarium Tap Water Conditioner 118ml","Wilko",NA,"1",NA,NA,NA,NA,NA,0.86
"PET","DOM","422770","Wilko Aquarium Weekly Cleaner 118ml","Wilko",NA,"1",NA,NA,NA,NA,NA,0.86
"PET","DOM","422771","Wilko Aquarium Green Algae Control 118ml","Wilko",NA,"1",NA,NA,NA,NA,NA,0.86
"PET","DOM","422772","Wilko Turtle Water Conditioner 118ml","Wilko",NA,NA,NA,NA,NA,NA,NA,1
"PET","DOM","452938","Wilko Pond Green Algae Control 237ml","Wilko","237ml","1",NA,NA,NA,NA,NA,0.93
"PET","DOM","452939","Wilko Tap Water Conditioner For Fish237ml","Wilko","237ml","1",NA,"N/A",NA,NA,NA,1
"PET","LIT","232306","Catsan Cat Litter Hygiene 10L","Catsan","10L","1",NA,NA,NA,NA,NA,0.93
"PET","SPC","444912","Dreamies Cat Treats Gift Tin 10 x 30g","Dreamies",NA,"1","No",NA,NA,NA,NA,0.65
"PET","SPC","221495","Pedigree Christmas Dog Stocking","Pedigree","274g",NA,"No",NA,NA,NA,NA,0.65
"PET","TRT","303706","Misfits Dog Treats Nasher Sticks Chicken and Beef7pk","Misfits","175g","7",NA,NA,NA,NA,NA,1
"PET","TRT","303707","Misfits Dog Treats Chomp Treats for Adult Dogs 2pk","Misfits","2Pk","2",NA,NA,NA,NA,NA,1
"PET","TRT","303708","Misfits Dog Treats Tangly Twists with TemptingBeef and Cheese 7pk","Misfits","140g",NA,NA,NA,NA,NA,NA,0.9125
"PET","TRT","309241","Misfits Dog Treats Scrufft Bites for Adult Dogs180g","Misfits","180g",NA,NA,NA,NA,NA,NA,0.9125
"PET","TRT","333147","Misfits Dog Treats Tangly Twists Chicken and Egg140g","Misfits","140g","7",NA,NA,NA,NA,NA,1
"PET","TRT","121968","Pedigree Schmackos Dog Treats with Beef 20pk","Pedigree","172g",NA,NA,NA,NA,NA,NA,0.9125
"PET","TRT","121969","Pedigree Schmackos Dog Treats with Chicken 20pk","Pedigree","172g","20",NA,NA,NA,NA,NA,1
"PET","TRT","149969","Pedigree Jumbone Dog Treat  210g","Pedigree","210g","1",NA,NA,NA,NA,NA,1
"PET","TRT","164159","Pedigree Jumbone Dog Treats 2pk","Pedigree","200g",NA,NA,NA,NA,NA,NA,0.9125
"PET","TRT","167166","Pedigree Dog Treats Gravy Bones 400g","Pedigree","400g","1",NA,NA,NA,NA,NA,1
"PET","TRT","177671","Pedigree Dog Treats Milky Biscuits 350g","Pedigree","350g",NA,NA,NA,NA,NA,NA,0.9125
"PET","TRT","189389","Pedigree Dog Treat Daily Dentastix Medium","Pedigree","Medium","7pk",NA,NA,NA,NA,NA,1
"PET","TRT","189390","Pedigree Dog Treat Daily Dentastix Small","Pedigree","110g",NA,NA,NA,NA,NA,NA,0.9125
"PET","TRT","189393","Pedigree Puppy Treats Tubos with Chicken 3pk 72g","Pedigree","72g","3pk",NA,NA,NA,NA,NA,1
"PET","TRT","201500","Pedigree Schmackos Dog Treat 20pk","Pedigree","172g",NA,NA,NA,NA,NA,NA,0.9125
"PET","TRT","243655","Pedigree Dentastix Dog Treats Small 28pk","Pedigree","Small","28pk",NA,NA,NA,NA,NA,1
"PET","TRT","243663","Pedigree Dentastix Dog Treats Medium 28pk","Pedigree","Medium","28pk",NA,NA,NA,NA,NA,1
"PET","TRT","243664","Pedigree Dentastix Dog Treat Daily Oral CareLarge Dog","Pedigree","Large","7pk",NA,NA,NA,NA,NA,1
"PET","TRT","247880","Pedigree Jumbone Dog Treats Chicken and TurkeyMedium 2pk","Pedigree","200g","2",NA,NA,NA,NA,NA,1
"PET","TRT","247881","Pedigree Jumbone Dog Treats Chicken Large Dog 210g","Pedigree","210g",NA,NA,NA,NA,NA,NA,0.9125
"PET","TRT","247882","Pedigree Jumbone Dog Treats Beef Small 4pk","Pedigree","180g",NA,NA,NA,NA,NA,NA,0.9125
"PET","TRT","255875","Pedigree Dentastix Dog Treats for Large Dogs 28pk","Pedigree","Large","1",NA,NA,NA,NA,NA,1
"PET","TRT","282947","Pedigree Jumbone Dog Treats  4pk","Pedigree","180g","4",NA,NA,NA,NA,NA,1
"PET","TRT","290799","Pedigree Rodeo Dog Treats with Beef 8pk","Pedigree","140g",NA,NA,NA,NA,NA,NA,0.9125
"PET","TRT","290806","Pedigree Rodeo Dog Treats with Chicken 8pk","Pedigree","140g",NA,NA,NA,NA,NA,NA,0.9125
"PET","TRT","303705","Pedigree Dog Treats Markies Minis 500g","Pedigree","500g","1",NA,NA,NA,NA,NA,1
"PET","TRT","336148","Pedigree Dentastix Dog Treat Fresh Daily OralCare Large Dog","Pedigree","Large","28pk",NA,NA,NA,NA,NA,1
"PET","TRT","336149","Pedigree Dentastix Dog Treat Fresh Daily OralCare Medium Dog","Pedigree","Medium","28pk",NA,NA,NA,NA,NA,1
"PET","TRT","336150","Pedigree Dentastix Dog Treat Fresh Daily OralCare Small Dog","Pedigree","Small","28pk",NA,NA,NA,NA,NA,1
"PET","TRT","336151","Pedigree Dentafresh Dog Treats Large Dog 7pk","Pedigree","Large","7pk",NA,NA,NA,NA,NA,1
"PET","TRT","336152","Pedigree Dentafresh Dog Treats Medium Dog 7pk","Pedigree","Medium","7pk",NA,NA,NA,NA,NA,1
"PET","TRT","336153","Pedigree Dentafresh Dog Treats Small Dog 7pk","Pedigree","Small","7pk",NA,NA,NA,NA,NA,1
"PET","TRT","405666","Pedigree Tasty Bites Dog Treats Crunchy Pocketswith Chicken 95g","Pedigree",NA,"1",NA,NA,NA,NA,NA,0.9125
"PET","TRT","405667","Pedigree Tasty Bites Dog Treats Chewy Cubes withChicken 130g","Pedigree","130g","130",NA,NA,NA,NA,NA,1
"PET","TRT","405668","Pedigree Tasty Bites Dog Treats Chewy Slices withBeef 150g","Pedigree","150g","15",NA,NA,NA,NA,NA,1
"PET","TRT","405669","Pedigree Tasty Bites Dog Treats Cheesy Nibbleswith Beef and Cheese 140g","Pedigree",NA,"1",NA,NA,NA,NA,NA,0.9125
"PET","TRT","438772","Pedigree Tasty Bites Puppy with Chicken 125g","Pedigree","125g","1",NA,NA,NA,NA,NA,1
"PET","TRT","56164","Pedigree Markies Dog Treat Original 500g","Pedigree","500g","1",NA,NA,NA,NA,NA,1
