"Article","Web Description","Brand","Type","Pack Qty","Size","Colour","Power","DQ Score"
"421431","Ambi Pur with Fabreze Refill Lavender","Ambi Pur","Refills","1",NA,NA,NA,0.86
"421432","Ambi Pur with Febreze 3 Volution Lavender","Ambi Pur","Refills","1",NA,NA,NA,0.86
"421435","Ambi Pur with Febreze Refill Lavender 2pk","Ambi Pur","Units","1",NA,NA,NA,0.86
"421436","Ambi Pur with Febreze 3 Volution Thai Orchid","Ambi Pur","Refills","1",NA,NA,NA,0.86
"421556","Ambi Pur GP2 Twin Refill Cotton 2 x 20ml","Ambi Pur","Refills","2pk","2x20ml",NA,NA,0.93
"430232","Ambi Pur with Febreze 3 Volution Thai Orchid20ml","Ambi Pur","Refills","1","20ml",NA,NA,0.93
"441487","Ambi Pur 3vol Cotton Starter Kit 20ml","Ambi Pur","Units","1","20ml",NA,NA,0.93
"441490","Ambi Pur 3vol Blossom Starter Kit 20ml","Ambi Pur","Units","1","20ml",NA,NA,0.93
"450176","Ambi Pur 3Volution Refill Pet Odour","Ambi Pur","Refills","1","20ml",NA,NA,0.93
"450177","Ambi Pur 3Volution Refill Anti Tobacco","Ambi Pur","Refills","1","20ml",NA,NA,0.93
"450179","Ambi Pur Plug In Air Freshener RefillAnti Tobacco","Ambi Pur","Refills","1","20ml",NA,NA,0.93
"bh00007","Better Home Gentle Grip Pegs 100pk","Better Home Products","Pegs","100",NA,"Multi",NA,0.88
"bh00008","Better Home Wall Mount Airer Silver","Better Home Products","Outdoor Airer","1","198 cm wide x 39.5cm Hiigh",NA,NA,0.88
"bh00010","Better Home Heavy Duty Retractable 2 Line","Better Home Products",NA,"1","2 x 15m lines",NA,NA,0.8625
"298004","Febreze Set and Refresh Non Energised Scented OilDiffuser Refill Cotton 5.5ml x 2","Febreze","Units",NA,"2x5.5ml",NA,NA,0.9125
"298005","Febreze Set and Refresh Cotton Fresh 5.5ml","Febreze","Units",NA,"5.5ml",NA,NA,0.9125
"298006","Febreze Set and Refresh Blossom and Breeze 5.5ml","Febreze","Units",NA,"5.5ml",NA,NA,0.9125
"333480","Febreze Car Discreet Vent Clip Air Freshener Cotton Fresh 2ml","Febreze","Air Fresheners",NA,"2ml",NA,NA,0.9125
"347441","Febreze Airspray Vanilla 300ml","Febreze","Room Sprays",NA,"300ml",NA,NA,0.9125
"347476","Febreze Car Gel Vanilla Blossom","Febreze","Air Fresheners","1",NA,NA,NA,0.9125
"403600","Febreze Set N Refresh Unit Vanilla Blossom","Febreze","Units","1",NA,NA,NA,0.9125
"403602","Febreze Fabric Refresher Vanilla Blossom 375ml","Febreze","Fabric Fresheners",NA,"375ml",NA,NA,0.9125
"133277","Glade Solid Air Freshener Lily of the Valley150g","Glade","Units",NA,"150g",NA,NA,0.9125
"137115","Glade Solid Air Freshener Lavender 150g","Glade","Units",NA,"150g",NA,NA,0.9125
"182744","Glade Touch n Fresh Unit Clean Linen","Glade","Units",NA,"10ml",NA,NA,0.9125
"216794","Glade Plug In Electric Refill Linen","Glade","Refills","1","20ml",NA,NA,0.93
"293109","Glade Solid Relaxing Zen 150g","Glade","Units",NA,"150g",NA,NA,0.9125
"298000","Glade Discreet Air Freshener Plug In and Refill Clean Linen 12g","Glade","Units","1","12g",NA,NA,0.93
"298122","Glade Discreet Air Freshener Refill Clean Linen 12g","Glade","Refills",NA,"12g",NA,NA,0.9125
"346447","Glade Automatic Spray Refill Relaxing Zen 269ml","Glade","Refills","1",NA,NA,NA,0.9125
"346482","Glade Auto Refill Bali Sandalwood and Jasmine","Glade","Refills","1",NA,NA,NA,0.9125
"346483","Glade Auto Refill  Clean Linen","Glade","Refills","1",NA,NA,NA,0.9125
"347537","Glade Discreet Refill Relaxing Zen","Glade","Refills","1",NA,NA,NA,0.9125
"348538","Glade Sense and Spray Unit Relaxing Zen","Glade","Units","1",NA,NA,NA,0.9125
"349714","Glade Candle Relaxing Zen 120g","Glade","Branded Candles",NA,"120g","Multi",NA,0.93
"352945","Glade Sense and Spray Refill Relaxing Zen","Glade","Refills","1",NA,NA,NA,0.9125
"403475","Glade 5in1 Air Freshener Relaxing Zen 300ml","Glade","Room Sprays","1",NA,NA,NA,0.9125
"403477","Glade Touch n Fresh Refill Lilly Of The Valley","Glade","Refills","1",NA,NA,NA,0.9125
"403481","Glade Touch n Fresh Unit Relaxing Zen","Glade","Units","1",NA,NA,NA,0.9125
"411790","Glade Plug In Electric Unit Clean Linen 20ml","Glade","Units","1","20ml",NA,NA,0.93
"411791","Glade Plug In Electric Unit Laven 20ml","Glade","Units","1","20ml",NA,NA,0.93
"411792","Glade Plug In Electric Unit Bali Sandal 20ml","Glade","Units","1","20ml",NA,NA,0.93
"411799","Glade Discreet Electric Relaxing Zen","Glade","Units","1",NA,NA,NA,0.86
"411805","Glade Discreet Refill Bali Sandalwood and Jasmine","Glade","Refills","1",NA,NA,NA,0.9125
"412168","Glade Plug In Refill Bail Sandalwood and Jasmine","Glade","Refills","1",NA,NA,NA,0.86
"420397","Glade Wax Refill Vanilla 6pk","Glade","Wax Melt Refills","1",NA,NA,NA,0.86
"420399","Glade Wax Refill Clean Linen 6pk","Glade","Wax Melt Refills","1",NA,NA,NA,0.86
"420400","Glade Wax Refill Bali Sandalwood and Jasmine 6pk","Glade","Wax Melt Refills","1",NA,NA,NA,0.86
"420416","Glade Automatic Spray Unit Relaxing Zen","Glade","Units","1",NA,NA,NA,0.9125
"420417","Glade Automatic Spray Unit Bali Sandalwoodand Jasmine","Glade","Units","1",NA,NA,NA,0.9125
"425111","Glade Sense & Spray Refill Clean Linen 2pk","Glade","Refills","1",NA,NA,NA,0.9125
"427211","Glade Sense & Spray Refill Relaxing Zen 2pk","Glade","Refills","1",NA,NA,NA,0.9125
"427212","Glade Autospray Refill Relaxing Zen 2pk","Glade","Refills",NA,NA,NA,NA,0.825
"427225","Glade Autospray Refill Clean Linen 2pk","Glade","Refills",NA,NA,NA,NA,0.825
"182715","Neutradol Gel Odour Destroyer Super Fresh","Neutradol","Units","1",NA,NA,NA,0.9125
"77647","Neutradol Gel Original","Neutradol","Units","1",NA,NA,NA,0.9125
"237924","Oust Odour Eliminator Air Freshener Garden Fresh300ml","Oust","Room Sprays",NA,"300ml",NA,NA,0.9125
"453904","Status Portable Heated Clothes Airer With Wings","Status","Electric Airer","1",NA,NA,NA,0.86
"107006","Wilko Deluxe Clothes Airer 14m","Wilko","Indoor Airer",NA,"14m","Multi",NA,0.93
"1292440","Wilko Concertina Clothes Airer 3 Tier 8.4m","Wilko","Indoor Airer",NA,"8.4m","White",NA,0.93
"300176","Wilko Over Door Hanger 3in1","Wilko","Indoor Airer","1",NA,"Purple",NA,0.93
"300177","Wilko Extendable Clothes Airer 3 Tier 7.5m","Wilko","Indoor Airer",NA,"14m","Silver",NA,0.93
"328257","Wilko Ground Screw with Inserts Grey","Wilko","Washing Lines and Accessories",NA,"Small, Medium, Large","Multi",NA,0.93
"403886","MobiDri Portable Washing Line","Wilko","Indoor Airer","1",NA,"Black",NA,0.88
"419544","Wilko Gel Pearl Cotton 100g","Wilko","Units",NA,NA,NA,NA,0.825
"419545","Wilko Gel Pearl Lavender 100g","Wilko","Units",NA,NA,NA,NA,0.825
"419546","Wilko Reed Diffuser Cotton","Wilko","Branded Reed Diffusers",NA,NA,NA,NA,0.825
"419547","Wilko Reed Diffuser Vanilla","Wilko","Branded Reed Diffusers",NA,NA,NA,NA,0.825
"419551","Wilko Liquid Wick Vanilla 75ml","Wilko","Liquid Units",NA,NA,NA,NA,0.825
"419552","Wilko Liquid Wick Cotton 75ml","Wilko","Liquid Units",NA,NA,NA,NA,0.825
"419553","Wilko Liquid Wick Lavender 75ml","Wilko","Liquid Units",NA,NA,NA,NA,0.825
"419556","Wilko Plug In Starter Lavender","Wilko","Units",NA,NA,NA,NA,0.79
"429887","Wilko Plug In Twin Refill Cotton","Wilko","Refills","2",NA,NA,NA,0.86
"429889","Wilko Plug-in Refills Lavender 20ml","Wilko","Refills","2","20ml",NA,NA,0.93
"432698","Wilko Rotary Airer 40m","Wilko","Outdoor Airer","1","40m",NA,NA,0.93
"432699","Wilko Rotary Airer 50m","Wilko","Outdoor Airer","1","50m",NA,NA,0.93
"450202","Wilko Wax Melt Refill Pink Posies 4pk","Wilko","Wax Melt Refills","1","44g",NA,NA,0.93
"450203","Wilko Wax Melt Refill Orchid Delight 4pk","Wilko","Wax Melt Refills","1","44g",NA,NA,0.93
"450204","Wilko Wax Melt Refill Summer Fruits 5pk","Wilko","Wax Melt Refills","1","44g",NA,NA,0.93
"450205","Wilko Wax Melt Refill Rhubarb Sugar Melon 4pk","Wilko","Wax Melt Refills","1","44g",NA,NA,0.93
"450206","Wilko Wax Melt Refill Warming Spice 4pk","Wilko","Wax Melt Refills","1","44g",NA,NA,0.93
"450207","Wilko Wax Melt Refill Vanilla Pod 4pk","Wilko","Wax Melt Refills","1","44g",NA,NA,0.93
"450208","Wilko Wax Melt Refill Woodland Escape 4pk","Wilko","Wax Melt Refills","1","44g",NA,NA,0.93
"450209","Wilko Wax Melt Refill White Linen 4pk","Wilko","Wax Melt Refills","1","44g",NA,NA,0.93
