"Article","Web Description","Brand","Type","Colour","Size","Assembly","Material","Pack Qty","Washable","DQ Score"
"452449","Wilko Colour Play Side Plate Cream","Wilko","Side Plate",NA,NA,NA,NA,"1",NA,0.86
"452450","Wilko Colour Play Bowl Cream","Wilko","Bowls",NA,NA,NA,NA,"1",NA,0.86
"452451","Wilko Colour Play Mug Cream","Wilko","Mugs",NA,NA,NA,NA,"1",NA,0.86
"452452","Wilko Colour Play Dinner Set Cream 12pce","Wilko","Dinner Sets",NA,NA,NA,NA,"12",NA,0.86
"453009","Wilko Mini Fry Pan Copper Effect","Wilko","Serving pan","Metal",NA,NA,NA,"1",NA,0.93
"453013","Wilko Cutlery Set Cream 16pcs","Wilko","Cutlery Set","Brown",NA,NA,NA,"16",NA,0.93
"453051","Wilko Bread Bin Black","Wilko","Bread Bins","Black",NA,NA,"Iron","1",NA,0.9
"453052","Wilko Bread Bin Cream","Wilko","Bread Bins","Cream",NA,NA,"Iron","1",NA,0.9
"453053","Wilko Bread Bin Purple","Wilko","Bread Bins","Purple",NA,NA,"Iron","1",NA,0.9
"453107","Wilko Coffee Pot Copper Effect 600ml","Wilko","Cafetiere and Coffee Pots",NA,NA,NA,NA,"1",NA,0.86
"453108","Wilko Domed Kettle Cream","Wilko","Dome Kettles",NA,NA,NA,NA,"1",NA,0.86
"453109","Wilko Wine Glass","Wilko","Wine Glasses",NA,NA,NA,NA,"1",NA,0.825
"453110","Wilko Glass Bottle with Wooden Lid","Wilko","Bottles",NA,NA,NA,NA,"1",NA,0.825
"453114","Wilko Mug  Reactive Glazed Dark Blue","Wilko","Mugs",NA,NA,NA,NA,"1",NA,0.86
"453115","Wilko Dinner Set 12pce Reactive GlazedDark Blue","Wilko","Dinner Sets",NA,NA,NA,NA,"12 pce",NA,0.825
"453116","Wilko Dinner Plate Reactive Glazed Taupe","Wilko","Dinner Plate",NA,"27cm",NA,NA,"1",NA,0.93
"453117","Wilko Side Plate Reactive Glazed Taupe","Wilko","Side Plate",NA,"17.5cm",NA,NA,"1",NA,0.93
"453118","Wilko Tumbler Copper Effect","Wilko","Tumblers",NA,NA,NA,NA,"1",NA,0.86
"453119","Wilko Barware Set Copper Effect","Wilko","Cocktail Set",NA,NA,NA,NA,"5 pk",NA,0.86
"453120","Wilko Wire Basket Copper Effect 3pce","Wilko","Baskets",NA,NA,NA,NA,"3pce",NA,0.86
"453121","Wilko Moscow Mule Mug Copper Effect","Wilko","Mugs",NA,NA,NA,NA,NA,NA,0.79
"453122","Wilko Utensil Holder Copper Effect","Wilko","Utensil Holder",NA,NA,NA,NA,"1",NA,0.86
"453123","Wilko Bowl Reactive Glazed Taupe","Wilko","Bowls",NA,"18cm",NA,NA,"1",NA,0.93
"453124","Wilko Mug Reactive Glaze Taupe","Wilko","mugs",NA,NA,NA,NA,"1",NA,0.86
"453125","Wilko Dinner Set 12pce Reactive Glazed Taupe","Wilko","Dinner Sets",NA,NA,NA,NA,"12 pce",NA,0.86
"453134","Wilko Mug Reactive Glazed Cool Grey","Wilko","Mugs","Grey",NA,NA,NA,"1",NA,0.93
"453135","Wilko Dinner Set 12pce Reactive Glazed Cool Grey","Wilko","Dinner Sets","Grey",NA,NA,NA,"12 pce",NA,0.883333333333333
"453136","Wilko Tongs 3pc","Wilko","Serving Tongs",NA,NA,NA,NA,"3",NA,0.825
"453137","Wilko Teapot Copper Effect 1L","Wilko","Teapot",NA,NA,NA,NA,"1",NA,0.86
"453138","Wilko Utensil Holder Copper Effect","Wilko","Utensil Holder",NA,NA,NA,NA,"1",NA,0.86
"308477","Wilko Best Bone China Latte Mug White","Wilko Best","Mugs","White","Large",NA,NA,NA,NA,0.93
"308478","Wilko Best Bone China Cereal Bowl White","Wilko Best","Bowls","White","18cm",NA,NA,NA,"Washable",0.941666666666667
"308487","Wilko Best Bone China Cup and Saucer White","Wilko Best","Cup and Saucer","White","C 6.5x11.5x8.5cm, S 2x16x16cm",NA,NA,NA,"Washable",0.941666666666667
"236178","Wilko Functional Side Plate White","Wilko Functional","Side Plate","White","19cm",NA,NA,NA,NA,0.93
"236180","Wilko Functional Mug White","Wilko Functional","Mugs","White",NA,NA,NA,"1",NA,0.93
