"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","Coverage","DQ Score"
"407542","Wilko Emulsion Paint Tester Pot Cornish Ice Cream75ml","Wilko","Paint Tester Pot","Cream","1","75ml","approx 30 sq. cm",1
"407543","Wilko Emulsion Paint Tester Pot Bali 75ml","Wilko","Paint Tester Pot","Green","1","75ml","approx 30 sq. cm",1
"407544","Wilko Matt Emulsion Paint Tester PotJaded Teal 75ml","Wilko","Paint Tester Pot","Blue","1","75ml","approx 30 sq. cm",1
"407546","Wilko Emulsion Paint Tester Pot Cherry Fizz 75ml","Wilko","Paint Tester Pot","Pink","1","75ml","approx 30 sq. cm",1
"412433","Wilko Durable Matt Emulsion PaintStorm Cloud 2.5L","Wilko","Durable Matt Paint","Grey","1","2.5L","approx 30 sq. metres",1
"412434","Wilko Durable Matt Emulsion PaintDuck Egg 2.5L","Wilko","Durable Matt Paint","Blue","1","2.5L","approx 30 sq. metres",1
"412435","Wilko Durable Matt Emulsion PaintCrushed Almond 2.5L","Wilko","Durable Matt Paint","Cream","1","2.5L","approx 30 sq. metres",1
"412436","Wilko Durable Matt Emulsion PaintCosy Grey 2.5L","Wilko","Durable Matt Paint","Grey","1","2.5L","approx 30 sq. metres",1
"412438","Wilko Durable Matt Emulsion PaintPowder Purple 2.5L","Wilko","Durable Matt Paint","Purple","1","2.5L","approx 30 sq. metres",1
"412441","Wilko Durable Matt Emulsion PaintLilac 2.5L","Wilko","Durable Matt Paint","Purple","1","2.5L","approx 30 sq. metres",1
"412442","Wilko Durable Matt Emulsion PaintMint Crisp 2.5L","Wilko","Durable Matt Paint","Green","1","2.5L","approx 30 sq. metres",1
"412443","Wilko Durable Matt Emulsion PaintNeptune 2.5L","Wilko","Durable Matt Paint","Blue","1","2.5L","approx 30 sq. metres",1
"412444","Wilko Durable Matt Emulsion PaintOn Deck 2.5L","Wilko","Durable Matt Paint","Cream","1","2.5L","approx 30 sq. metres",1
"412445","Wilko Durable Matt Emulsion PaintPink Harmony 2.5L","Wilko","Durable Matt Paint","Pink","1","2.5L","approx 30 sq. metres",1
"412448","Wilko Durable Matt Emulsion PaintAhoy 2.5L","Wilko","Durable Matt Paint","Cream","1","2.5L","approx 30 sq. metres",1
"412449","Wilko Durable Matt Emulsion PaintChocolate Dream 2.5L","Wilko","Durable Matt Paint","Brown","1","2.5L","approx 30 sq. metres",1
"412452","Wilko Durable Matt Emulsion PaintPlum Berry 2.5L","Wilko","Durable Matt Paint","Purple","1","2.5L","approx 30 sq. metres",1
"412456","Wilko Durable Matt Emulsion PaintPale Primrose 2.5L","Wilko","Durable Matt Paint","Yellow","1","2.5L","approx 30 sq. metres",1
"412457","Wilko Durable Matt Emulsion PaintFrutti 2.5L","Wilko","Durable Matt Paint","Orange","1","2.5L","approx 30 sq. metres",1
"412458","Wilko Durable Matt Emulsion PaintWhispering Sage 2.5L","Wilko","Durable Matt Paint","Green","1","2.5L","approx 30 sq. metres",1
"412459","Wilko Durable Matt Emulsion PaintEnglish Sage 2.5L","Wilko","Durable Matt Paint","Green","1","2.5L","approx 30 sq. metres",1
"412460","Wilko Durable Matt Emulsion PaintOrganic Green 2.5L","Wilko","Durable Matt Paint","Green","1","2.5L","approx 30 sq. metres",1
"412461","Wilko Durable Matt Emulsion PaintWild Orchid 2.5L","Wilko","Durable Matt Paint","Purple","1","2.5L","approx 30 sq. metres",1
"412464","Wilko Durable Matt Emulsion PaintDark Duck Egg 2.5L","Wilko","Durable Matt Paint","Blue","1","2.5L","approx 30 sq. metres",1
"412477","Wilko Durable Matt Emulsion PaintLemon Burst 2.5L","Wilko","Durable Matt Paint","Yellow","1","2.5L","approx 30 sq. metres",1
"412486","Wilko Kitchen Matt Emulsion PaintWhispering Sage 2.5L","Wilko","Kitchen Paint","Green","1","2.5L","approx 30 sq. metres",1
"412494","Wilko Emulsion Paint Tester Pot Zesty 75ml","Wilko","Paint Tester Pot","Green","1","75ml","approx 30 sq. cm",1
"412495","Wilko Flat Matt Emulsion Paint Tester Pot BlottingPaper 125ml","Wilko","Paint Tester Pot","Cream","1","125ml","approx 30 sq. cm",1
"412496","Wilko Flat Matt Emulsion Paint Tester PotAylesbury 125ml","Wilko","Paint Tester Pot","Blue","1","125ml","approx 30 sq. cm",1
"412887","Wilko Emulsion Paint Tester Pot Lemon Burst 75ml","Wilko","Paint Tester Pot","Yellow","1","75ml","approx 30 sq. cm",1
"412888","Wilko Silk Emulsion PaintOlive 2.5L","Wilko","Silk Paint","Green","1","2.5L","approx 30 sq. metres",1
"428659","Wilko Matt Emulsion PaintPool House 2.5L","Wilko","Matt Paint","Blue","0","2.5L","approx 35 sq. metres",1
"428660","Wilko Matt Emulsion PaintSummer Blue 2.5L","Wilko","Matt Paint","Blue","0","2.5L","approx 35 sq. metres",1
"428661","Wilko Matt Emulsion PaintMarshmallow 2.5L","Wilko","Matt Paint","Pink","0","2.5L","approx 35 sq. metres",1
"428662","Wilko Matt Emulsion PaintPure Grey 2.5L","Wilko","Matt Paint","Grey","0","2.5L","approx 35 sq. metres",1
"428663","Wilko Matt Emulsion PaintPotters Clay 2.5L","Wilko","Matt Paint","Brown","0","2.5L","approx 35 sq. metres",1
"428664","Wilko Matt Emulsion PaintWoodland Fawn 2.5L","Wilko","Matt Paint","Brown","0","2.5L","approx 35 sq. metres",1
"428665","Wilko Matt Emulsion PaintGrey Skies 2.5L","Wilko","Matt Paint","Grey","0","2.5L","approx 35 sq. metres",1
"428666","Wilko Emulsion Paint Tester Pot Pool House 75ml","Wilko","Paint Tester Pot","Blue","0","75ml","approx 30 sq. cm",1
"428667","Wilko Emulsion Paint Tester Pot Summer Blue 75ml","Wilko","Paint Tester Pot","Blue","0","75ml","approx 30 sq. cm",1
"428668","Wilko Emulsion Paint Tester Pot Marshmallow 75ml","Wilko","Paint Tester Pot","Pink","0","75ml","approx 30 sq. cm",1
"428669","Wilko Emulsion Paint Tester Pot Pure Grey 75ml","Wilko","Paint Tester Pot","Grey","1","75ml","approx 30 sq. cm",1
"428670","Wilko Emulsion Paint Tester Pot Potters Clay 75ml","Wilko","Paint Tester Pot","Brown","0","75ml","approx 30 sq. cm",1
"428671","Wilko Emulsion Paint Tester Pot Woodland Fawn 75ml","Wilko","Paint Tester Pot","Brown","0","75ml","approx 30 sq. cm",1
"428672","Wilko Emulsion Paint Tester Pot Grey Skies 75ml","Wilko","Paint Tester Pot","Grey","0","75ml","approx 30 sq. cm",1
"428673","Wilko Silk Emulsion PaintPool House 2.5L","Wilko","Silk Paint","Blue","0","2.5L","approx 30 sq. metres",1
"428674","Wilko Silk Emulsion PaintSummer Blue 2.5L","Wilko","Silk Paint","Blue","0","2.5L","approx 30 sq. metres",1
"428675","Wilko Silk Emulsion PaintMarshmallow 2.5L","Wilko","Silk Paint","Pink","0","2.5L","approx 30 sq. metres",1
"428676","Wilko Silk Emulsion PaintPure Grey 2.5L","Wilko","Silk Paint","Grey","0","2.5L","approx 30 sq. metres",1
"428677","Wilko Silk Emulsion PaintPotters Clay 2.5L","Wilko","Silk Paint","Brown","0","2.5L","approx 30 sq. metres",1
"428678","Wilko Silk Emulsion PaintWoodland Fawn 2.5L","Wilko","Silk Paint","Brown","0","2.5L","approx 30 sq. metres",1
"428679","Wilko Silk Emulsion PaintGrey Skies 2.5L","Wilko","Silk Paint","Grey","0","2.5L","approx 30 sq. metres",1
"428680","Wilko Matt Emulsion PaintCosy Grey 5L","Wilko","Silk Paint","Grey","0","5L","approx 70 sq. metres",1
"428681","Wilko Silk Emulsion PaintCosy Grey 5L","Wilko","Silk Paint","Grey","0","5L","approx 60 sq. metres",1
"428683","Wilko One Coat Matt Emulsion PaintStardust 2.5L","Wilko","One Coat Matt Paint","Grey","0","2.5L","approx 20 sq. metres",1
"428684","Wilko Durable Matt Emulsion PaintPool House 2.5L","Wilko","Durable Matt Paint","Blue","0","2.5L","approx 35 sq. metres",1
"428687","Wilko Durable Matt Emulsion PaintWoodland Fawn 2.5L","Wilko","Durable Matt Paint","Brown","0","2.5L","approx 35 sq. metres",1
"428689","Wilko Kitchen Matt Emulsion PaintOlive 2.5L","Wilko","Kitchen Paint","Green","0","2.5L","approx 30 sq. metres",1
"428692","Wilko Emulsion Paint Tester Pot Orpington Duck Egg75ml","Wilko","Paint Tester Pot","Blue","0","75ml","approx 30 sq. cm",1
"428693","Wilko Statement Matt Emulsion PaintSignal Red 1.25L","Wilko","Feature Wall Paint","Red","0","1.25L","approx 17 sq. metres",1
"449192","Wilko Matt Emulsion Paint Urban Grey 2.5L","Wilko","Matt Paint","White","1","2.5L","35m²",1
"449193","Wilko Matt Emulsion Paint Grey Whisper 2.5L","Wilko","Matt Paint","Grey","1","2.5L","35m²",1
"449194","Wilko Emulsion Paint Tester Pot Urban Grey 75ml","Wilko","Paint Tester Pot","Grey","1","75ml","30m²",1
"449195","Wilko Emulsion Paint Tester Pot Grey Whisper 75ml","Wilko","Paint Tester Pot","Grey","1","75ml","30m²",1
"449196","Wilko Silk Emulsion Paint Urban Grey 2.5L","Wilko","Silk Paint","Grey","1","2.5L","30m²",1
"449197","Wilko Silk Emulsion Paint Grey Whisper 2.5L","Wilko","Silk Paint","Grey","1","2.5L","30m²",1
"449198","Wilko Emulsion Paint Tester Pot Chalk White 75ml","Wilko","Paint Tester Pot","White","1","75ml","30m²",1
"449199","Wilko Bathroom Mid Sheen Emulsion Paint ChalkWhite 2.5L","Wilko","Bathroom Paint","White","1","2.5L","30m²",1
"449200","Wilko Kitchen Matt Emulsion Paint Grey Whisper2.5L","Wilko","Kitchen Paint","Grey","1","2.5L","30m²",1
"449201","Wilko One Coat Matt Emulsion Paint Grey Skies 2.5L","Wilko","One Coat Matt Paint","Grey","1","2.5L","20m²",1
"449202","Wilko One Coat Matt Emulsion Paint Chalk White2.5L","Wilko","One Coat Matt Paint","White","1","2.5L","20m²",1
"449203","Wilko One Coat Matt Emulsion Paint Storm Cloud2.5L","Wilko","One Coat Matt Paint","Grey","1","2.5L","20m²",1
"449204","Wilko Durable Matt Emulsion Paint Milky Mocha 2.5L","Wilko","Durable Matt Paint","Pink","1","2.5L","35m²",1
"449205","Wilko Durable Matt Emulsion Paint Cool Water 2.5L","Wilko","Durable Matt Paint","Blue","1","2.5L","35m²",1
"449206","Wilko Durable Matt Emulsion Paint Grey Whisper2.5L","Wilko","Durable Matt Paint","Grey","1","2.5L","35m²",1
"449207","Wilko Durable Matt Emulsion Paint Soft Taupe 2.5L","Wilko","Durable Matt Paint","Cream","1","2.5L","35m²",1
"449208","Wilko Durable Matt Emulsion Paint Vintage Taupe2.5L","Wilko","Durable Matt Paint","Brown","1","2.5L","35m²",1
"449209","Wilko Durable Matt Emulsion Paint Velvet Mocha2.5L","Wilko","Durable Matt Paint","Brown","1","2.5L","35m²",1
"449210","Wilko Emulsion Paint Tester Pot Milky Mocha 75ml","Wilko","Paint Tester Pot","Pink","1","75ml","30m²",1
"449211","Wilko Emulsion Paint Tester Pot Soft Taupe 75ml","Wilko","Paint Tester Pot","Cream","1","75ml","30m²",1
"449212","Wilko Emulsion Paint Tester Pot Vintage Taupe 75ml","Wilko","Paint Tester Pot","Brown","1","75ml","30m²",1
"449213","Wilko Emulsion Paint Tester Pot Velvet Mocha 75ml","Wilko","Paint Tester Pot","Brown","1","75ml","30m²",1
"449214","Wilko Flat Matt Emulsion Paint Grey Cotton 2.5L","Wilko","Flat Matt Paint","Grey","1","2.5L","35m²",1
"449215","Wilko Flat Matt Emulsion Paint  Birch White 2.5L","Wilko","Flat Matt Paint","White","1","2.5L","35m²",1
"81237","Wilko Emulsion Paint Tester Pot Peach Blush 75ml","Wilko","Paint Tester Pot","Brown","1","75ml","30cm²",1
