"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","Capacity","Material","DQ Score"
"448407","Tower GlutenFree Digital Bread Maker T11001","Tower","Bread Maker","Black",NA,"1L",NA,NA,1
"448413","Tower 1.7L Glass Soup Maker T12019","Tower","Soup Makers","Black",NA,"1.7L","1.7",NA,1
"448431","Tower Deep Fryer 2L T17001","Tower","Fryers",NA,NA,"2L",NA,NA,1
"116448","Wilko Ceiling Pendant Set 6in","Wilko","Pendant Sets and Cords","White","1","6in",NA,"Plastic",1
"116452","Wilko Ceiling Pendant Set 9in","Wilko","Light Fitting",NA,"1","1 Pack",NA,NA,1
"116475","Wilko Switched Socket 1 Gang 13amp","Wilko","Power Sockets","White","1","13AMP",NA,"Plastic",1
"15263","Wilko Ceiling Switch 6amp 2 Way","Wilko","Pendant Sets and Cords","White","1","6 Amp",NA,"Plastic",1
"15350","Wilko Socket Box  2 Gang","Wilko","Socket Boxes","White","1pk","8.5x14.5cm",NA,"Plastic",1
"316233","Wilko Sandwich Toaster 4 Slice Black","Wilko","Sandwich Maker","Black",NA,"4 Slice",NA,NA,1
"328557","Wilko Colourplay Microwave Purple 20L","Wilko","Microwaves","Purple",NA,"20L",NA,NA,1
"328559","Wilko Colourplay Microwave Red 20L","Wilko","Microwaves","Red",NA,"20L",NA,NA,1
"328563","Wilko Toaster 2 Slice Purple","Wilko","Toasters","Purple","1","2 Slice",NA,NA,1
"403946","Wilko Colourplay Microwave Black 20L","Wilko","Microwaves","Black",NA,"20L",NA,NA,1
"414306","Wilko Microwave Silver 20L","Wilko","Microwaves","Silver",NA,"20L",NA,NA,1
"440945","Wilko Work Light 10W Rechargeable and USB","Wilko","Work Light","Multi","1","24 x 15 x 16.4cm",NA,NA,1
"445306","Wilko Air Fryer with Removable Basket 4L","Wilko","Fryers",NA,NA,"31cmx28.5cmx33.5cm",NA,NA,1
"452988","Wilko Copper Effect Microwave 20L","Wilko","Microwaves","Metal","1","20L",NA,NA,1
"452989","Wilko Kettle Ribbed Deisgn Silver 1.7L","Wilko","Jug Kettles","Silver",NA,"1.7L",NA,NA,1
"452990","Wilko 2 Slice Toaster Stainless Steel RibbedDesign","Wilko","Toasters","Silver",NA,"2 Slice",NA,NA,1
"452994","Wilko Kettle Dome Stainless Steel 1.7L","Wilko","Kettles","Silver",NA,"1.7L",NA,NA,1
"452995","Wilko Copper Effect Hand Blender Se","Wilko","Mixers","Metal","1","600W",NA,NA,1
"452996","Wilko Copper Effect Hand Mixer","Wilko","Mixers","Metal","1","350W",NA,NA,1
"452997","Wilko Copper Effect Table Blender","Wilko","Blenders","Metal","1","500W",NA,NA,1
"453821","Wilko Copper Effect Cylinder Kettle 1.7L","Wilko","Jug Kettles","Metal","1","1.7L",NA,NA,1
"453822","Wilko Copper Effect 2 Slice Toaster","Wilko","Toasters","Metal","1","2 Slice",NA,NA,1
"5314740","Wilko Pattress Box 1gang 45mm","Wilko","Socket Boxes","White","1","8.5x8.5cm, 45mm",NA,"Plastic",1
"5326640","Wilko Plastic Pattress Box 25mm 1 Gang","Wilko","Socket Boxes","White","1","25mm",NA,"Plastic",1
"5326643","Wilko Plastic Pattress Box 2 Gang 25mm","Wilko","Socket Boxes","White","1","25mm",NA,"Plastic",1
"5327840","Wilko Pattress Box White 1 Gang 16mm","Wilko","Socket Boxes","White","1","8.5x8.5cm, 16mm",NA,"Plastic",1
"5374640","Wilko Pattress Box 2 Gang 45mm","Wilko","Socket Boxes","White","1","45mm",NA,"Plastic",1
