"Article","Web Description","Brand","Capacity","Type","Colour","Power","Size","Model Number","Pack Qty","Assembly","Material","DQ Score"
"444781","Morphy Richards Equip Jug Scale Black 46610","Morphy Richards",NA,"Kitchen Scales","Black",NA,"5Kg","46610",NA,NA,NA,0.9
"444784","Morphy Richards Equip Jug Scale Graphite 970523","Morphy Richards",NA,"Digital Jug Scales","Multi",NA,"5Kg","970523",NA,NA,NA,0.9
"443598","Quest Multi Function Electric Cooker With Lid 1500W Non Stick 30cm","Quest",NA,NA,NA,"1500W","30cm","35411",NA,NA,NA,0.883333333333333
"443820","Quest Electric Teppanyaki Grill 2000W","Quest",NA,"Grills",NA,"2000w",NA,"35491",NA,NA,NA,0.883333333333333
"457099","Quest LED Illuminated Kettle White","Quest",NA,"Kettles","White","2200w",NA,"35930",NA,NA,NA,0.941666666666667
"457102","Quest Deep Fill Sandwich Maker","Quest",NA,"Sandwich Maker",NA,"900w",NA,"35630",NA,NA,NA,0.883333333333333
"457103","Quest Digital Inducion Hob Single","Quest",NA,"Electric Hobs",NA,"2000w",NA,"35830",NA,NA,NA,0.883333333333333
"457105","Quest Multifunction Cooker 40cm","Quest",NA,"Multi Cooker",NA,"1500w","40cm","35500",NA,NA,NA,0.941666666666667
"457175","Quest 2-in-1 Steam Brush 650w","Quest",NA,"Steam Brush",NA,"650-750w",NA,"42180",NA,NA,NA,0.883333333333333
"457176","Quest Portable Garment Steamer 800w","Quest",NA,"Steamer",NA,"800w",NA,"42140",NA,NA,NA,0.883333333333333
"457177","Quest Upright Garment Steamer 1800w","Quest",NA,"Steamer",NA,"1800w",NA,"42320",NA,NA,NA,0.883333333333333
"457178","Quest Clothes Airer Electric Heated 6 Bars","Quest",NA,"Electric Airer",NA,NA,NA,NA,"1",NA,NA,0.86
"457179","Quest Clothes Airer Electric Heated 18 Bars","Quest",NA,"Electric Airer",NA,NA,NA,NA,"1",NA,NA,0.86
"457181","Quest Steam Cleaner Hand Held 250ml","Quest",NA,"Steam Cleaning",NA,NA,NA,NA,"1",NA,"Plastic",0.883333333333333
"457182","Quest 12 in 1 Steam Cleaner Mop 1300w","Quest",NA,"Steam Cleaning",NA,NA,NA,NA,"1",NA,"Plastic",0.883333333333333
"202332","Rapitest Digital Mini Electrical Test Meter","Rapitest",NA,"Mains Testers",NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"292725","Russell Hobbs Sandwich Toaster","Russell Hobbs",NA,"Sandwich Maker","Black","Mains",NA,"17936",NA,NA,NA,0.941666666666667
"414587","Russell Hobbs Toaster Cream","Russell Hobbs",NA,"Toasters",NA,"850W",NA,"22392",NA,NA,NA,0.883333333333333
"406244","1.5 Litre S/S Slow Cooker SF17010N","Swan",NA,"Slow Cookers","Metal",NA,NA,"SF17010N",NA,NA,NA,0.833333333333333
"448371","Swan Microwave 20L Cream SM22030CN","Swan",NA,"Microwaves","Cream","800W",NA,"SM22030CN",NA,NA,NA,0.941666666666667
"448373","Swan Microwave 20L Red SM22030RN","Swan",NA,"Microwaves","Red","800W",NA,"SM22030RN",NA,NA,NA,0.941666666666667
"448378","Swan Vintage Stand Mixer Green","Swan","4.5L","Mixers","Green","1000W",NA,"SP21010GN",NA,NA,NA,0.9
"448390","Swan Retro 4 Slice Toaster Red ST17010RN","Swan",NA,"Toasters","Red","800W",NA,"ST17010RN",NA,NA,NA,0.891666666666667
"rx00021","Swan Compact Food Slicer SP10060N 150W White","Swan",NA,"Food Processors","White","150W",NA,"SP10060N",NA,NA,NA,0.85
"454319","Thor Premium HDMI Cable 1.5m","Thor",NA,"HDMI Cable","Black",NA,"1.5m",NA,NA,NA,NA,0.883333333333333
"454320","Thor Premium Flat HDMI Cable 1.5m","Thor",NA,"HDMI Cable","Black",NA,"1.5m",NA,NA,NA,NA,0.883333333333333
"439558","Tower Gluten Free Digital Bread Maker T11002","Tower",NA,"Bread Makers","Black",NA,NA,"T11002",NA,NA,NA,0.883333333333333
"439562","Tower Stainless Steel Glass Blender 500W T12008","Tower",NA,"Blenders","Metal","500w",NA,"T12008",NA,NA,NA,0.9
"439563","Tower Spice Grinder Chopper T12009","Tower","550ml","Choppers","Black",NA,"550ml","T12009",NA,NA,NA,0.95
"439564","Tower 2in1 Masher and Blender T12015","Tower",NA,"Blenders","Black","400w",NA,"T12015",NA,NA,NA,0.9
"439565","Tower Stainless Steel Hand Mixer 300W T12016","Tower",NA,"Mixers","Metal","300W",NA,"T12016",NA,NA,NA,0.9
"439567","Tower Vitablend Pro Red T12020R","Tower",NA,"Blenders","Red","1200w",NA,"T12020R",NA,NA,NA,0.9
"439569","Tower 8in1 Multi Cooker T14003","Tower",NA,"Multi Cooker","Black","1300w",NA,"T14003",NA,NA,NA,0.941666666666667
"439574","Tower Cerastone Ceramic Raclette T14016","Tower",NA,"Grills","Grey",NA,NA,"T14016",NA,NA,NA,0.883333333333333
"439581","Tower Easy Clean Deep Fryer 3L T17002","Tower",NA,"Fryers",NA,NA,"3L","T17002",NA,NA,NA,0.93
"439584","Tower 2in1 Food Processor T18002","Tower",NA,"Food Processors","Grey","500w",NA,"T18002",NA,NA,NA,0.9
"439587","Tower 2 Slice Toaster T20004","Tower",NA,"Toasters","Metal",NA,"2 Slice","T20004",NA,NA,NA,0.941666666666667
"439588","Manual Microwave 800W T24001","Tower",NA,"Microwaves","Silver","800W",NA,"T24001",NA,NA,NA,0.891666666666667
"439589","Tower 3in1 Sandwich Toaster T27008","Tower",NA,"Grills","Grey","750w",NA,"T27008",NA,NA,NA,0.941666666666667
"439590","Ceramic Health Grill & Griddle T27009","Tower",NA,"Grills","White","1000w",NA,"T27009",NA,NA,NA,0.891666666666667
"439591","Tower 4 Slice Stainless Steel Sandwich MakerT27010","Tower",NA,"Sandwich Maker","Metal",NA,"4 Slice","T27010",NA,NA,NA,0.941666666666667
"448397","Tower 3 Tier Electric Steamer 5L T21001","Tower",NA,"Steamer","Black",NA,"3 Tier","T21001",NA,NA,NA,0.941666666666667
"448412","Tower Stick Blender 300W","Tower",NA,"Blenders","Black","300w",NA,"T12014",NA,NA,NA,0.9
"448414","Tower Xtreme Pro T12020C","Tower",NA,"Blenders","Cream","1200W","1000W","T12020C",NA,NA,NA,0.95
"448415","Tower Xtreme Pro T12020GM","Tower",NA,"Blenders","Grey","1200W","1200W","T12020GM",NA,NA,NA,0.9
"448425","Tower Cerastone Reversible Grill T14019","Tower",NA,"Grills","Black","1600W",NA,"T14019",NA,NA,NA,0.891666666666667
"448433","Tower Air Fryer 3.2L T17005","Tower",NA,"Fryers",NA,"1350W",NA,"T17005",NA,NA,NA,0.93
"448438","Tower Stainless Steel Meat Grinder T19005","Tower",NA,"Meat Grinder","Black","500W",NA,"T19005",NA,NA,NA,0.9
"448440","Tower Electric Knife Sharpener T19008","Tower",NA,"Knife Sharpener","Black","60W",NA,NA,"1",NA,NA,0.941666666666667
"448441","Tower Egg Cooker and Poacher T19010","Tower",NA,"Egg Cooker","Black","360W",NA,"T19010",NA,NA,NA,0.941666666666667
"448443","Tower Hand Mixer 200W T19012","Tower",NA,"Mixers","Black","200W","200W","T19012",NA,NA,NA,0.95
"448444","Tower Electric Spiralizer T19014","Tower",NA,"Spiralizer","Green","100W",NA,"T19014",NA,NA,NA,0.9
"448445","Tower 2 Slice Linear Toaster T20007","Tower",NA,"Toasters","Black",NA,NA,"T20007",NA,NA,NA,0.883333333333333
"448446","Tower 4 Slice Linear Toaster T20008","Tower",NA,"Toasters","Black","1600W",NA,"T20008",NA,NA,NA,0.941666666666667
"448452","Tower Digital Microwave 800W T24007","Tower",NA,"Microwaves","Black","800W",NA,"T24007",NA,NA,NA,0.941666666666667
"448453","Tower Digital Microwave Black 800W T24008","Tower",NA,"Microwaves","Black","800W",NA,"T24008",NA,NA,NA,0.941666666666667
"448457","Tower 23L 900W Microwave T24011","Tower",NA,"Microwaves","Black","900W",NA,"T24011",NA,NA,NA,0.941666666666667
"448458","Tower Digital Panini Grill T27007","Tower",NA,"Grills","Silver","1800W",NA,"T27007",NA,NA,NA,0.941666666666667
"448459","Tower Health Grill T27011","Tower",NA,"Grills","Silver","2000W",NA,"T27011",NA,NA,NA,0.941666666666667
"324864","Tresemme Power Hair Dryer 2200W","Tresemme",NA,"Hair Dryers",NA,NA,NA,"5542DU",NA,NA,NA,0.825
"116444","Corelectrics Digital Volate Tester 220-240 ACRated","Wilko",NA,"Mains Testers",NA,NA,NA,NA,NA,NA,NA,0.716666666666667
"116456","Wilko Lampholder T2 0.5in Threaded","Wilko",NA,"Lamp Holder",NA,"Mains","0.5in",NA,NA,NA,NA,0.883333333333333
"116466","Wilko Light Switch 2 Way 1 Gang","Wilko",NA,"Light Switches","White",NA,"2 Way, 1 Gang",NA,NA,NA,"Plastic",0.941666666666667
"116471","Wilko Light Switch 2 Way 2 Gang","Wilko",NA,"Light Switches","White",NA,"2 Way, 2 Gang",NA,NA,NA,"Plastic",0.941666666666667
"116479","Wilko 2 Gang Socket Switch 13amp","Wilko",NA,"Power Sockets","White",NA,"13AMP",NA,NA,NA,"Plastic",0.941666666666667
"133997","Wilko 4 Way Extension Lead 5m","Wilko",NA,"Extension Leads",NA,NA,"5m",NA,NA,NA,NA,0.86
"142473","Wilko 24hr Timer Switch","Wilko",NA,"Timers",NA,NA,NA,NA,NA,NA,NA,0.79
"144868","Wilko 13 Amp Extension Lead 2m 4 Way","Wilko",NA,"Extension Leads",NA,NA,"2m",NA,NA,NA,NA,0.86
"15262","Wilko 3 Pin Plug With Fuse White 5amp","Wilko",NA,"Plugs and Holders","White","Mains","5AMP",NA,NA,NA,NA,0.941666666666667
"15349","Wilko Socket Box  1 Gang","Wilko",NA,"Socket Boxes","White",NA,"8.5x8.5cm",NA,NA,NA,"Plastic",0.941666666666667
"155321","Wilko Electronic Timeswitch Compact 24h/7day","Wilko",NA,"Timers",NA,NA,NA,NA,NA,NA,NA,0.79
"155626","Wilko 6 Way 13 Amp Extension Lead Surge Protected2m","Wilko",NA,"Extension Leads",NA,NA,"6 Way",NA,NA,NA,NA,0.86
"181741","Wilko Extension Lead 2m 4 Gang","Wilko",NA,"Extension Leads",NA,NA,"2m","4 Gang",NA,NA,NA,0.93
"186062","Wilko Mini Trunking PVC Self Adhesive White2m x 16mm x 16mm","Wilko",NA,"Cable Tidys and Trunking",NA,NA,"16x16mmx2m",NA,NA,NA,NA,0.825
"187196","Wilko 6 Way Extension Lead Individually Switched2m","Wilko",NA,"Extension Leads",NA,NA,"2m","6 Gang",NA,NA,NA,0.93
"216340","Wilko PVC Insulating Tape 4.5m 5pk Assorted Colour","Wilko",NA,"Electrical Tape",NA,NA,"19mm x 4.5m",NA,NA,NA,NA,0.825
"216341","Wilko PVC Insulating Tape 33m 3pk Black","Wilko",NA,"Electrical Tape",NA,NA,"19mm x 33m",NA,NA,NA,NA,0.825
"21777","Wilko 4 Way Extension Lead  2m","Wilko",NA,"Extension Leads",NA,NA,"2m",NA,NA,NA,NA,0.86
"230735","Tower Exterior Junction Box Small","Wilko",NA,"Junction Boxes",NA,NA,"Small",NA,NA,NA,NA,0.775
"255394","Wilko Core Electric Cable Clips 20pk White","Wilko",NA,"Cable Ties and Clips",NA,NA,"4mm",NA,NA,NA,NA,0.825
"255395","Wilko Core Electric Clips 20pk 5mm White","Wilko",NA,"Cable Ties and Clips",NA,NA,"5mm",NA,NA,NA,NA,0.825
"255397","Wilko Core Electric Clips 20pk 6mm Brown","Wilko",NA,"Cable Ties and Clips",NA,NA,"7mm",NA,NA,NA,NA,0.825
"255640","Wilko Extension Tower 10 Gang Surge Protected","Wilko",NA,"Extension Leads","White",NA,"2m",NA,NA,NA,NA,0.93
"289469","Wilko Torch Ultra Bright LED","Wilko",NA,"Torches","Black","Battery","Compact",NA,"1",NA,NA,0.95
"292421","Wilko Torch Handy Black LED","Wilko",NA,"Torches",NA,"Battery",NA,NA,"1",NA,NA,0.85
"309965","Wilko Fuse Wire Set","Wilko",NA,"Fuse Wire and Insulation Tape",NA,NA,"5 15 30AMP",NA,NA,NA,NA,0.825
"316166","Wilko Stainless Steel Oval Slow Cooker 6L","Wilko",NA,"Slow Cookers","Multi","Mains","6L",NA,NA,NA,NA,0.941666666666667
"316219","Wilko Toaster 2 Slice Black","Wilko",NA,"Toasters","Black",NA,"2 Slice",NA,NA,NA,NA,0.883333333333333
"316220","Wilko Toaster 2 Slice Red","Wilko",NA,"Toasters","Red",NA,"2 Slice",NA,NA,NA,NA,0.883333333333333
"316227","Wilko Hand Blender Set","Wilko",NA,"Blenders","Black","300W","500ml  Bowl, 700ml Cup",NA,NA,NA,NA,0.9
"318682","Wilko Deep Fat Fryer Robust Stainless Steel 0.9L","Wilko",NA,"Fryers",NA,NA,"900ml",NA,NA,NA,NA,0.86
"318683","Wilko Deep Fat Fryer Robust Stainless Steel 3L","Wilko",NA,"Fryers",NA,NA,"3l",NA,NA,NA,NA,0.86
"323226","Wilko Travel Power Visitor to UK Adaptor","Wilko",NA,"Travel Adaptors",NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"328519","Wilko Toaster 4 Slice","Wilko",NA,"Toasters","Metal","Mains","4 Slice",NA,NA,NA,NA,0.941666666666667
"332947","Wilko Plug In Night Light Soft White Glow","Wilko",NA,"Night Lights",NA,"Mains",NA,NA,"1",NA,NA,0.883333333333333
"341933","Wilko Torch 3 LED Yellow","Wilko",NA,"Torches",NA,"Battery",NA,NA,"3pk",NA,NA,0.85
"342376","Wilko Scart Cable 1m","Wilko",NA,"Scart Cables",NA,NA,"100x5.5x1.5cm",NA,NA,NA,NA,0.825
"342379","Wilko Hdmi Coupler","Wilko",NA,"HDMI Accessories",NA,NA,"3x2.2x1cm",NA,NA,NA,NA,0.825
"342381","Wilko Satellite F Connectors 2pk","Wilko",NA,"Satellite Equipment",NA,NA,"2x1x1cm",NA,NA,NA,NA,0.825
"342382","Wilko Coaxial Y   Splitter","Wilko",NA,"Coaxial Connectors",NA,NA,"5.5x4.5x1.4cm",NA,NA,NA,NA,0.825
"342509","Wilko Satellite F Connecting Kit","Wilko",NA,"Satellite Equipment",NA,NA,"2x1x1cm",NA,NA,NA,NA,0.825
"342510","Wilko Tv/FM Coax  Coupler 2pk","Wilko",NA,"TV and FM Connectors",NA,NA,"2.5x1.5x1.4cm",NA,NA,NA,NA,0.825
"342511","Wilko Angled Coax Connector","Wilko",NA,"Coaxial Connectors",NA,NA,"3x2.5x1.5cm",NA,NA,NA,NA,0.825
"342513","Wilko Tv/FM Coax  Plugs 2pk","Wilko",NA,"Coaxial Connectors",NA,NA,"4x2x1.5cm",NA,NA,NA,NA,0.825
"342514","Wilko TV/FM Coax Connecting Kit","Wilko",NA,"TV and FM Connectors",NA,NA,"3x2x2cm",NA,NA,NA,NA,0.825
"342515","Wilko Flush Coaxial Outlet Plates","Wilko",NA,"Coaxial Sockets",NA,NA,"9x8.5x1.5cm",NA,NA,NA,NA,0.825
"342516","Wilko Surface Mount Coax Outlet Tv/FM","Wilko",NA,"TV and FM Connectors",NA,NA,"5x3.2x2.5cm",NA,NA,NA,NA,0.825
"342517","Wilko Tv/FM Coax  Socket 2pk","Wilko",NA,"TV and FM Connectors",NA,NA,"3x1.5x1cm",NA,NA,NA,NA,0.825
"342519","Wilko Telephone Extension Cable 5m","Wilko",NA,"Telephone Extension Kits",NA,NA,"500x1x1cm",NA,NA,NA,NA,0.825
"342520","Wilko Telephone Extension Cable 10M","Wilko",NA,"Telephone Extension Kits",NA,NA,"1000x1x1cm",NA,NA,NA,NA,0.825
"342521","Wilko Telephone Adaptor Double","Wilko",NA,"Telephone Extension Kits",NA,NA,"5x2x4cm",NA,NA,NA,NA,0.825
"342522","Wilko Telephone Adaptor Triple","Wilko",NA,"Telephone Extension Kits",NA,NA,"5.5x2.5x4.5cm",NA,NA,NA,NA,0.825
"342523","Wilko Telephone Extension Kit 20M","Wilko",NA,"Telephone Extension Kits",NA,NA,"2000x1x1cm",NA,NA,NA,NA,0.825
"342524","Wilko Surface Mounted Telephone Extension Socket","Wilko",NA,"Telephone Extension Kits",NA,NA,"7x7x3cm",NA,NA,NA,NA,0.825
