"Article","Web Description","Brand","Type","Colour","Pack Qty","Washable","Size","Material","DQ Score"
"423357","Wilko Bath Sheet Chilli Red","Wilko","Bath Sheets",NA,NA,NA,NA,NA,0.75
"423358","Wilko Bath Micro Chilli Red 50 x 80cm","Wilko","Bath Mats",NA,NA,NA,NA,NA,0.766666666666667
"423360","Wilko Hand Towel Inferno","Wilko","Hand Towels",NA,"1",NA,NA,NA,0.8
"423361","Wilko Face Cloth Inferno 2pk","Wilko","Face Cloths",NA,NA,NA,NA,NA,0.75
"423363","Wilko Bath Towel Inferno","Wilko","Bath Sheets",NA,"1",NA,NA,NA,0.8
"423364","Wilko Bath Micro Mat Inferno 50 x 80cm","Wilko","Bath Mats",NA,NA,NA,NA,NA,0.766666666666667
"423365","Wilko Ribbed Bath Mat Inferno 50 x 70cm","Wilko","Bath Mats",NA,NA,NA,NA,NA,0.766666666666667
"423378","Wilko Bath Micro Mat Black 50 x 80cm","Wilko","Bath Mats",NA,NA,NA,NA,NA,0.766666666666667
"423379","Wilko Bath Micro Mat Charcoal 50 x 80cm","Wilko","Bath Mats",NA,NA,NA,NA,NA,0.766666666666667
"423380","Wilko Bath Micro Mat Hessian 50 x 80cm","Wilko","Bath Mats",NA,NA,NA,NA,NA,0.766666666666667
"423381","Wilko Bath Micro Mat Beige 50 x 80cm","Wilko","Bath Mats",NA,NA,NA,NA,NA,0.766666666666667
"423382","Wilko Bath Micro Mat Cream 50 x 80cm","Wilko","Bath Mats",NA,NA,NA,NA,NA,0.766666666666667
"423383","Wilko Bath Micro Mat White 50 x 80cm","Wilko","Bath Mats",NA,NA,NA,NA,NA,0.766666666666667
"423384","Wilko Bath Micro Mat Coastal Blue 50 x 80cm","Wilko","Bath Mats",NA,NA,NA,NA,NA,0.766666666666667
"423385","Wilko Bath Micro Mat Deep Blue 50 x 80cm","Wilko","Bath Mats",NA,NA,NA,NA,NA,0.766666666666667
"423386","Wilko Bath Micro Mat Aqua Blue 50 x 80cm","Wilko","Bath Mats",NA,NA,NA,NA,NA,0.766666666666667
"423387","Wilko Bath Micro Mat Olive 50 x 80cm","Wilko","Bath Mats","Green",NA,NA,NA,NA,0.825
"423388","Wilko Bath Micro Mat Dark Teal 50 x 80cm","Wilko","Bath Mats",NA,NA,NA,NA,NA,0.766666666666667
"423389","Wilko Bath Micro Mat Navy 50 x 80cm","Wilko","Bath Mats",NA,NA,NA,NA,NA,0.766666666666667
"423390","Wilko Bath Micro Mat Purple 50 x 80cm","Wilko","Bath Mats",NA,NA,NA,NA,NA,0.766666666666667
"425635","Wilko Bath Micro Mat Heather 50 x 80cm","Wilko","Bath Mats",NA,NA,NA,NA,NA,0.766666666666667
"427614","Wilko Best Hand Towel Duck Egg","Wilko","Hand Towels",NA,NA,NA,NA,NA,0.75
"427615","Wilko Best Face Cloth Duck Egg","Wilko","Face cloths",NA,"1",NA,"30 x 30cm","100% Cotton",0.9
"427616","Wilko Best Bath Towel Duck Egg","Wilko","Bath Towels",NA,NA,NA,NA,NA,0.766666666666667
"427617","Wilko Best Bath Sheet Duck Egg","Wilko","Bath Sheets",NA,NA,NA,NA,NA,0.75
"427618","Wilko Best Bath Mat Duck Egg","Wilko","Bath Mats",NA,NA,NA,NA,NA,0.766666666666667
"435080","Wilko Ultra Household Towel2 Rolls 3 Ply","Wilko","Kitchen Towels",NA,"2",NA,NA,NA,0.9125
"307655","Wilko Best Hand Towel White","Wilko Best","Hand Towels","White",NA,"Washable","50x90cm","100% Cotton",0.95
"307671","Wilko Best Bath Towel Beige","Wilko Best","Bath Towels","Brown",NA,"Washable","70x127cm","100% Cotton",0.95
"307688","Wilko Best Bath Sheet Beige","Wilko Best","Bath Sheets","Brown",NA,"Washable","100x150cm","100% Cotton",0.95
"307690","Wilko Best Bath Sheet White","Wilko Best","Bath Sheets","White",NA,"Washable","100x150cm","100% Cotton",0.95
"307645","Wilko Functional Hand Towel White","Wilko Functional","Hand Towels","White",NA,"Washable","50x77cm","100% Cotton",0.95
"307675","Wilko Functional Bath Sheet White","Wilko Functional","Bath Sheets","White",NA,NA,"90x145cm",NA,0.93
"307711","Wilko Functional Face Cloth White","Wilko Functional","Face Cloth","White",NA,"Washable","30x30cm","100% Cotton",0.95
