"PSA_1","PSA_2","Article","Web Description","Brand","Type","Colour","Pack Qty","Size","Washable","Capacity","Power","Model Number","Material","Assembly","DQ Score"
"KIT","BAP","435081","Cake Decor Chocoholic Vanilla Two Stripe Icing","Cake Decor","Frosting",NA,"1","275g",NA,NA,NA,NA,NA,NA,0.93
"KIT","BAP","435082","Cake Decor Strawberry and Vanilla Two Stripe Icing","Cake Decor","Frosting",NA,"1","275g",NA,NA,NA,NA,NA,NA,0.88
"KIT","BAP","435083","Cake Décor Hundreds and Thousands","Cake Decor","Decorations",NA,"1","65g",NA,NA,NA,NA,NA,NA,0.88
"KIT","BAP","435084","Cake Décor Chocolatey Strands","Cake Decor","Decorations",NA,"1","55g",NA,NA,NA,NA,NA,NA,0.88
"KIT","BAP","435085","Cake Décor Pink Glimmer Sugar","Cake Decor","Decorations",NA,"1","70g",NA,NA,NA,NA,NA,NA,0.88
"KIT","BAP","435086","Cake Décor Micro Mallows","Cake Decor","Decorations",NA,"1","14g",NA,NA,NA,NA,NA,NA,0.88
"KIT","BAP","435087","Cake Décor Glitter Spray Gold","Cake Decor","Decorations",NA,"1","4g",NA,NA,NA,NA,NA,NA,0.88
"KIT","BAP","435088","Cake Décor Glitter Spray Silver","Cake Decor","Decorations",NA,"1","4g",NA,NA,NA,NA,NA,NA,0.88
"KIT","BAP","435089","Cake Décor Bright Writing Icing 4pk","Cake Decor","Decorations",NA,"1","76g",NA,NA,NA,NA,NA,NA,0.88
"KIT","BAP","435090","Cake Décor Choco Writers White","Cake Decor","Decorations",NA,"1","80g",NA,NA,NA,NA,NA,NA,0.88
"KIT","BAP","435091","Cake Décor Choco Writers Milk","Cake Decor","Decorations",NA,"1","80g",NA,NA,NA,NA,NA,NA,0.88
"KIT","BAP","435092","Cake Décor Ready To Roll Icing White","Cake Decor","Icing",NA,"1","250g",NA,NA,NA,NA,NA,NA,0.88
"KIT","BAP","435093","Cake Décor Ready To Roll Icing Red","Cake Decor","Icing",NA,"1","250g",NA,NA,NA,NA,NA,NA,0.88
"KIT","BAP","435094","Cake Décor Ready To Roll Icing Pink","Cake Decor","Icing",NA,"1","250g",NA,NA,NA,NA,NA,NA,0.88
"KIT","BAP","263845","Kilner Clip Top Jar 0.5L","Kilner","Storage Jars",NA,NA,"500ml",NA,NA,NA,NA,NA,NA,0.9125
"KIT","BAP","319115","Kilner Stainless Steel Funnel","Kilner","Funnel",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.9125
"KIT","BAP","319804","Kilner Thermometer","Kilner","Thermometer",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.9125
"KIT","BAP","435783","Kilner Shaker","Kilner","Shaker",NA,"1","8cm x 8cm x 8.2cm",NA,"0.25lt",NA,NA,"Soda Lime Stainless Steel",NA,0.9
"KIT","BAP","451708","Kitchen Craft Icing Bottles 2pk","Kitchen Kraft","Icing, Bags and Nozzles",NA,"2",NA,NA,NA,NA,NA,NA,NA,0.81
"KIT","BAP","451709","Kitchen Kraft Ribbons Assorted 5pk","Kitchen Kraft","Ribbon and String",NA,"5",NA,NA,NA,NA,NA,NA,NA,0.86
"KIT","BAP","451712","Kitchen Craft Gift Tags Home Made Slogan","Kitchen Kraft","Gift Tags",NA,"1pk",NA,NA,NA,NA,NA,NA,NA,0.81
"KIT","BAP","451715","Kitchen Craft Home Made Self-Adhesive Chutney JarLabels Roll of 100","Kitchen Kraft","Decorative Lables",NA,"1","100 Pack",NA,NA,NA,NA,NA,NA,0.88
"KIT","BAP","453040","Kitchen Craft Flavour and Marinade Injector","Kitchen Kraft","Icing, Bags and Nozzles",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.81
"KIT","BAP","435794","Salter Add and Weigh Mechanical Kitchen Scale","Salter","Kitchen Scales",NA,"1","4kg",NA,NA,NA,NA,NA,NA,0.88
"KIT","BAP","435796","Salter Arc Electrical Kitchen Scale","Salter","Kitchen Scales",NA,"1","3kg",NA,NA,NA,NA,NA,NA,0.88
"KIT","BAP","10951","Wilko Balloon Whisk 30cm","Wilko","Whisk",NA,"1","30cm",NA,NA,NA,NA,NA,NA,0.93
"KIT","BAP","284943","Wilko 12 Muffin Cases Silicone","Wilko","Cake Cases","Multi","1","12 Pack",NA,NA,NA,NA,"Silicone",NA,0.95
"KIT","BAP","285150","Wilko Cake Board 25cm/10in","Wilko","Cake Board","Silver","1","10in",NA,NA,NA,NA,NA,NA,0.9
"KIT","BAP","302283","Wilko Flour Sifter","Wilko","Flour Sifter",NA,"1","10.2 x 15.5 x 9.3cm",NA,NA,NA,NA,NA,NA,0.93
"KIT","BAP","304539","Wilko Mini Scales","Wilko","Kitchen Scales","Multi",NA,"Mini",NA,NA,NA,NA,NA,NA,0.93
"KIT","BAP","305020","Wilko Cake Board 30cm/12in","Wilko","Cake Board","Silver","1","12in",NA,NA,NA,NA,NA,NA,0.9
"KIT","BAP","318430","Wilko Kitchen Scales Cream 5kg","Wilko","Kitchen Scales","Cream",NA,"5kg",NA,NA,NA,NA,NA,NA,0.93
"KIT","BAP","318431","Wilko Stainless Steel Electronic Kitchen Scales","Wilko","Kitchen Scales","Pink","1",NA,NA,NA,NA,NA,NA,NA,0.93
"KIT","BAP","328736","Wilko Baking Book 150 Recipes","Wilko","Cook Books","Multi","1",NA,NA,NA,NA,NA,NA,NA,0.93
"KIT","BAP","351590","Wilko Spatula Plain Pastels","Wilko","Spatula and Turners",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"KIT","BAP","421504","Wilko Twist Top Jar 190ml 12pk","Wilko","Storage Jars",NA,"12","190ml",NA,NA,NA,NA,NA,NA,0.85
"KIT","BAP","421505","Wilko Twist Top Jar 300ml 12pk","Wilko","Storage Jars",NA,"12","300ml Round",NA,NA,NA,NA,"Glass and Tin plated Steel",NA,0.9
"KIT","BAP","435780","Wilko Sanctuary Jar Large","Wilko","Storage Jars",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
"KIT","BAP","435781","Wilko Sanctuary Jar Medium","Wilko","Storage Jars",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"KIT","BAP","435782","Wilko Sanctuary Jar Small","Wilko","Storage Jars",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"KIT","BAP","435785","Wilko Silicone Chocolate Mould","Wilko","Cake Moulds",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.8
"KIT","BAP","435786","Wilko Flower Cookie Cutter","Wilko","Cutters",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"KIT","BAP","435787","Wilko Shaped Cooker Cutter","Wilko","Cutters",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"KIT","BAP","435789","Wilko Flat Edge Icing Smoother","Wilko","Icing, Bags and Nozzles",NA,"1","19.7 x 14.5 x 3",NA,NA,NA,NA,NA,NA,0.93
"KIT","BAP","435790","Wilko Round Tins Set 3pk","Wilko","Cake Tins",NA,"3",NA,NA,NA,NA,NA,NA,NA,0.8
"KIT","BAP","435792","Wilko Book Stand","Wilko","Book Stand",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"KIT","BAP","435793","Wilko Mini Measures","Wilko","Mini Measures",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"KIT","BAP","435797","Wilko Big Mixing Bowl","Wilko","Bowls",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"KIT","BAP","435798","Wilko Big Measuring Jug","Wilko","Jugs",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.825
"KIT","BAP","436216","Wilko Cotton Apron Reminisce Design","Wilko","Aprons",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"KIT","BAP","436217","Wilko Cotton Oven GloveReminisce Design","Wilko","Oven Gloves",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"KIT","BAP","436218","Wilko Cotton Double Oven GloveReminisce Design","Wilko","Oven Gloves",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"KIT","BAP","452431","Wilko Cake Tin and Stand","Wilko","Cake Tins",NA,"1",NA,NA,NA,NA,NA,"Iron",NA,0.85
"KIT","BAP","452436","Wilko Round Clip Lid Jar Smal","Wilko","Storage Jars",NA,"1","Small",NA,NA,NA,NA,"Glass",NA,0.9
"KIT","BAP","452437","Wilko Hexagonal Clip Lid Jar Small","Wilko","Storage Jars",NA,"1","Small",NA,NA,NA,NA,"Glass",NA,0.9
"KIT","BAP","452438","Wilko Slim Clip Lid Jar Small","Wilko","Storage Jars",NA,"1","Small",NA,NA,NA,NA,"Glass",NA,0.9
"KIT","BAP","453104","Wilko Pot Menage Jars 6pk","Wilko","Storage Jars",NA,"6 Pack",NA,NA,"324ml",NA,NA,"Glass",NA,0.9
"KIT","BAP","453106","Wilko Mini Glass Jar 41ml 20pk","Wilko","Storage Jars",NA,"20 Pack","41ml",NA,"41ml",NA,NA,"Glass",NA,0.95
"KIT","CHA","435932","Wilko Collapsible Bowl","Wilko","Bowls",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"KIT","CHA","435934","Wilko Collapsible Bucket","Wilko","Buckets",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"KIT","CHA","435935","Wilko Collapsible Drainer","Wilko","Dish Drainers",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"KIT","CUT","427957","Cole and Mason Style Salt and Pepper Set","Cole & Mason","Salt and Pepper Sets",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.81
"KIT","CUT","427958","Cole and Mason Beehive Shaker Set","Cole & Mason","Salt and Pepper Sets",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.81
"KIT","CUT","427959","Cole and Mason Capstan Salt and Pepper Set","Cole & Mason","Salt and Pepper Sets",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.81
"KIT","CUT","227128","Wilko Utensil Caddy Chrome Plated","Wilko","Utensil Holder","Silver","1",NA,NA,NA,NA,NA,"Chrome Plated",NA,0.9
"KIT","CUT","242492","Wilko Cutlery Tray Chrome Plated","Wilko","Cutlery Trays","Silver","1",NA,NA,NA,NA,NA,NA,NA,0.93
"KIT","CUT","262784","Wilko Pestle and Mortar Natural Granite","Wilko","Pestle and Mortar","Grey","1",NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"KIT","CUT","262787","Wilko Salt and Pepper Mill Acrylic and Stainless Steel","Wilko","Salt and Pepper Pots","Silver","1",NA,NA,NA,NA,NA,NA,NA,0.93
"KIT","CUT","262788","Wilko Salt and Pepper Mill Acrylic","Wilko","Salt and Pepper Pots","Clear","1 Pair",NA,NA,NA,NA,NA,NA,NA,0.93
"KIT","CUT","427870","Wilko Spice Jar","Wilko","Storage Jars",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
"KIT","CUT","427906","Wilko Forged Cutlery Set 16pcs","Wilko","Cutlery Sets",NA,"1","16 piece",NA,NA,NA,NA,NA,NA,0.93
"KIT","CUT","427907","Wilko Hammered Cutlery Set 24 Piece","Wilko","Cutlery Sets",NA,"1","24 piece",NA,NA,NA,NA,NA,NA,0.93
"KIT","CUT","427908","Wilko Latte Spoon 4pk","Wilko","Spoons",NA,"1","4 pk",NA,NA,NA,NA,NA,NA,0.93
"KIT","CUT","427945","Wilko Spice Rack Set 6 Piece","Wilko","Spice Rack",NA,"6 pce",NA,NA,NA,NA,NA,NA,NA,0.86
"KIT","CUT","427980","Wilko Square Cutlery Caddy","Wilko","Utensil Holder",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.825
"KIT","CUT","625640","Wilko Functional Vinegar Shaker","Wilko Functional","Oil and Vinegar Sets","Clear","1",NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"KIT","CUT","627740","Wilko Functional Glass Salt Pot","Wilko Functional","Salt and Pepper Pots","Clear","1",NA,NA,NA,NA,NA,NA,NA,0.93
"KIT","CUT","629840","Wilko Functional Pepper Shaker","Wilko Functional","Salt and Pepper Pots",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"KIT","DIN","427948","Indulje Knife Block Set Heart Shaped 5 Piece","Indulje","Knife Block",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"KIT","DIN","447385","Kitchen Craft Slate and Wood Serving Stand 2 Tier","Kitchen Kraft","Serving Stand","Multi","1","Size of platters: 36cm x 14cm 36cm x 24cm",NA,NA,"N/A",NA,NA,NA,0.9
"KIT","DIN","318838","Wilko Salad Bowl Ceramic White 23cm","Wilko","Bowls","White",NA,"23cm",NA,NA,NA,NA,NA,NA,0.93
"KIT","DIN","318850","Wilko Bowl Ceramic White","Wilko","Bowls","White",NA,"15cm",NA,NA,NA,NA,NA,NA,0.93
"KIT","DIN","318852","Wilko Creamer Jug Ceramic White","Wilko","Jugs","White","1",NA,NA,NA,NA,NA,NA,NA,0.93
"KIT","DIN","318856","Wilko Teapot Ceramic White","Wilko","Teapot","White","1",NA,NA,NA,NA,NA,NA,NA,0.93
"KIT","DIN","318877","Wilko Milk Jug Ceramic White Small","Wilko","Jugs","White",NA,"Small",NA,NA,NA,NA,NA,NA,0.93
"KIT","DIN","318878","Wilko Teabag Tidy Dish Ceramic White","Wilko","Teabag Tidy","White","1",NA,NA,NA,NA,NA,NA,NA,0.93
"KIT","DIN","319341","Wilko Gravy Boat and Stand White","Wilko","Gravy Boat","White",NA,"Set",NA,NA,NA,NA,NA,NA,0.93
"KIT","DIN","319342","Wilko Butter Dish White","Wilko","Butter Dish","White","1",NA,NA,NA,NA,NA,NA,NA,0.93
"KIT","DIN","319374","Wilko Dip Dish Round Ceramic 3 Section White","Wilko","Dip Dishes","White","1",NA,NA,NA,NA,NA,NA,NA,0.93
"KIT","DIN","319384","Wilko Pasta Bowl Ceramic White 29cm","Wilko","Bowls","White","1",NA,NA,NA,NA,NA,NA,NA,0.93
"KIT","DIN","319547","Wilko Dinner Set Porcelain Square Super White 12 Piece","Wilko","Dinner Sets","White","1","12 Piece",NA,NA,NA,NA,NA,NA,0.941666666666667
"KIT","DIN","319631","Wilko Seat Pad Black","Wilko","Seat Pads","Black",NA,"L43CM W43CM H5CM",NA,NA,NA,NA,NA,NA,0.93
"KIT","DIN","319632","Wilko Seat Pad Red","Wilko","Seat Pads","Red",NA,"L43CM W43CM H5CM",NA,NA,NA,NA,NA,NA,0.93
"KIT","DIN","319633","Wilko Seat Pad Cream","Wilko","Seat Pads","Cream",NA,"L43CM W43CM H5CM",NA,NA,NA,NA,NA,NA,0.93
"KIT","DIN","328526","Wilko Placemat Rectangular Slate 2pk","Wilko","Placemats",NA,"1","2 Pack",NA,NA,NA,NA,NA,NA,0.93
"KIT","DIN","329009","Wilko Heart Dip Bowls and Tray Set","Wilko","Dip Dishes","White","1","Set",NA,NA,NA,NA,NA,NA,0.941666666666667
"KIT","DIN","329022","Wilko Cake Stand Glass 32cm","Wilko","Cake Stand","Clear","1","32cm",NA,NA,NA,NA,"Glass",NA,0.95
"KIT","DIN","408311","Wilko Chip Basket Server","Wilko","Serving Basket",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"KIT","DIN","408315","Wilko Slate Heart Shaped Sign","Wilko","Ornaments",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"KIT","DIN","414241","Wilko Dish Drainer Love Heart Design","Wilko","Dish Drainers",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"KIT","DIN","427724","Wilko Dinner Set Colourplay Range Black","Wilko","Dinner Sets","Black","1",NA,"Dishwasher proof",NA,NA,NA,NA,NA,0.941666666666667
"KIT","DIN","427755","Wilko Padded Seat Pad Hearts Design","Wilko","Seat Pads",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"KIT","DIN","427925","Wilko Cannister Steel Small","Wilko","Storage Jars",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
"KIT","DIN","427934","Wilko Cannister Purple Small","Wilko","Storage Jars",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
"KIT","DIN","427979","Wilko Serving Basket Rectangular Large","Wilko","Serving Basket",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"KIT","DIN","427981","Wilko Long Handled Bamboo Serving Board","Wilko","Serving Board",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"KIT","DIN","427982","Wilko Serving Board Rectangular Bamboo","Wilko","Serving Board",NA,"1","38x26cm",NA,NA,NA,NA,NA,NA,0.93
"KIT","DIN","427984","Wilko Wicker Storage Basket with Wooden Heart Detail","Wilko","Storage Basket",NA,"1","H 12.5 x W 25.5 x D 20.5",NA,NA,NA,NA,NA,NA,0.93
"KIT","DIN","435819","Wilko Tablemats and Coasters Sanctuary RangeSet of 8","Wilko","Placemat Set",NA,"8",NA,NA,NA,NA,NA,NA,NA,0.86
"KIT","DIN","435820","Wilko Charger Copper Effect","Wilko","Charger Plates",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"KIT","DIN","435821","Wilko Cafetiere Copper Effect 800ml","Wilko","Cafetiere and Coffee Pots",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"KIT","DIN","435823","Wilko Coasters and Placemats Copper Colouredand Black Set of 8","Wilko","Placemat Set",NA,"8",NA,NA,NA,NA,NA,NA,NA,0.86
"KIT","DIN","435824","Wilko Salt and Pepper Mill Set Copper Effect","Wilko","Salt and Pepper Sets",NA,"2","12.5cm x 6cm x 16.5cm",NA,NA,NA,NA,NA,NA,0.93
"KIT","DIN","441911","Serving Set Black Script 5 Piece","Wilko","Serving Trays and Dishes","Black","5",NA,NA,NA,NA,NA,NA,NA,0.8
"KIT","DIN","441918","Dip Bowls Square on Wooden Tray 4pcs","Wilko","Dip Dishes","White","4",NA,NA,NA,NA,NA,NA,NA,0.8
"KIT","DIN","447294","Wilko Bowl Black with Copper Effect Lining25cm Diameter","Wilko",NA,"Multi","1","25cm",NA,NA,NA,NA,NA,NA,0.93
"KIT","DIN","447363","Wilko Clip Top Water Bottle With Chalk Heart","Wilko","Bottles","Clear","1","10cm x 10cm x 27.2cm",NA,NA,NA,NA,NA,NA,0.941666666666667
"KIT","DIN","447364","Wilko Clip Top Jar with Chalk Heart","Wilko","Storage Jars",NA,"1","13cm x 10cm x 21.5cm",NA,NA,NA,NA,NA,NA,0.93
"KIT","DIN","447418","Wilko Stemmed Wine Glass Purple","Wilko","Wine Glasses",NA,"1","8.5cm x 8.5cm x 22.5cm",NA,NA,NA,NA,NA,NA,0.93
"KIT","DIN","451706","Wilko Small Cream Cannister","Wilko","Storage Jars",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.8
"KIT","DIN","452448","Wilko Colour Play Dinner Plate Cream","Wilko","Dinner Plate",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"KIT","DIN","452449","Wilko Colour Play Side Plate Cream","Wilko","Side Plate",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"KIT","DIN","452450","Wilko Colour Play Bowl Cream","Wilko","Bowls",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"KIT","DIN","452451","Wilko Colour Play Mug Cream","Wilko","Mugs",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"KIT","DIN","452452","Wilko Colour Play Dinner Set Cream 12pce","Wilko","Dinner Sets",NA,"12",NA,NA,NA,NA,NA,NA,NA,0.86
"KIT","DIN","453009","Wilko Mini Fry Pan Copper Effect","Wilko","Serving pan","Metal","1",NA,NA,NA,NA,NA,NA,NA,0.93
"KIT","DIN","453013","Wilko Cutlery Set Cream 16pcs","Wilko","Cutlery Set","Brown","16",NA,NA,NA,NA,NA,NA,NA,0.93
"KIT","DIN","453051","Wilko Bread Bin Black","Wilko","Bread Bins","Black","1",NA,NA,NA,NA,NA,"Iron",NA,0.9
"KIT","DIN","453052","Wilko Bread Bin Cream","Wilko","Bread Bins","Cream","1",NA,NA,NA,NA,NA,"Iron",NA,0.9
"KIT","DIN","453053","Wilko Bread Bin Purple","Wilko","Bread Bins","Purple","1",NA,NA,NA,NA,NA,"Iron",NA,0.9
"KIT","DIN","453107","Wilko Coffee Pot Copper Effect 600ml","Wilko","Cafetiere and Coffee Pots",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"KIT","DIN","453108","Wilko Domed Kettle Cream","Wilko","Dome Kettles",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"KIT","DIN","453109","Wilko Wine Glass","Wilko","Wine Glasses",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.825
"KIT","DIN","453110","Wilko Glass Bottle with Wooden Lid","Wilko","Bottles",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.825
"KIT","DIN","453114","Wilko Mug  Reactive Glazed Dark Blue","Wilko","Mugs",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"KIT","DIN","453115","Wilko Dinner Set 12pce Reactive GlazedDark Blue","Wilko","Dinner Sets",NA,"12 pce",NA,NA,NA,NA,NA,NA,NA,0.825
"KIT","DIN","453116","Wilko Dinner Plate Reactive Glazed Taupe","Wilko","Dinner Plate",NA,"1","27cm",NA,NA,NA,NA,NA,NA,0.93
"KIT","DIN","453117","Wilko Side Plate Reactive Glazed Taupe","Wilko","Side Plate",NA,"1","17.5cm",NA,NA,NA,NA,NA,NA,0.93
"KIT","DIN","453118","Wilko Tumbler Copper Effect","Wilko","Tumblers",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"KIT","DIN","453119","Wilko Barware Set Copper Effect","Wilko","Cocktail Set",NA,"5 pk",NA,NA,NA,NA,NA,NA,NA,0.86
"KIT","DIN","453120","Wilko Wire Basket Copper Effect 3pce","Wilko","Baskets",NA,"3pce",NA,NA,NA,NA,NA,NA,NA,0.86
"KIT","DIN","453121","Wilko Moscow Mule Mug Copper Effect","Wilko","Mugs",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"KIT","DIN","453122","Wilko Utensil Holder Copper Effect","Wilko","Utensil Holder",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"KIT","DIN","453123","Wilko Bowl Reactive Glazed Taupe","Wilko","Bowls",NA,"1","18cm",NA,NA,NA,NA,NA,NA,0.93
"KIT","DIN","453124","Wilko Mug Reactive Glaze Taupe","Wilko","mugs",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"KIT","DIN","453125","Wilko Dinner Set 12pce Reactive Glazed Taupe","Wilko","Dinner Sets",NA,"12 pce",NA,NA,NA,NA,NA,NA,NA,0.86
"KIT","DIN","453134","Wilko Mug Reactive Glazed Cool Grey","Wilko","Mugs","Grey","1",NA,NA,NA,NA,NA,NA,NA,0.93
"KIT","DIN","453135","Wilko Dinner Set 12pce Reactive Glazed Cool Grey","Wilko","Dinner Sets","Grey","12 pce",NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"KIT","DIN","453136","Wilko Tongs 3pc","Wilko","Serving Tongs",NA,"3",NA,NA,NA,NA,NA,NA,NA,0.825
"KIT","DIN","453137","Wilko Teapot Copper Effect 1L","Wilko","Teapot",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"KIT","DIN","453138","Wilko Utensil Holder Copper Effect","Wilko","Utensil Holder",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"KIT","DIN","308477","Wilko Best Bone China Latte Mug White","Wilko Best","Mugs","White",NA,"Large",NA,NA,NA,NA,NA,NA,0.93
"KIT","DIN","308478","Wilko Best Bone China Cereal Bowl White","Wilko Best","Bowls","White",NA,"18cm","Washable",NA,NA,NA,NA,NA,0.941666666666667
