"Article","Web Description","Brand","Type","Pack Qty","Size","Power","Model Number","Colour","DQ Score"
"448405","Tower Linear Kettle Stainless Steel 1.7L T10009","Tower","Jug Kettles",NA,"1.7L","3000W","T10009","Metal",1
"448406","Tower 1.7L Jug Kettle T10011","Tower","Jug Kettles",NA,"1.7L","2200W","T10011","Black",1
"448407","Tower GlutenFree Digital Bread Maker T11001","Tower","Bread Maker",NA,"1L","650W","T11001","Black",1
"448413","Tower 1.7L Glass Soup Maker T12019","Tower","Soup Makers",NA,"1.7L","800W","T12019","Black",1
"448431","Tower Deep Fryer 2L T17001","Tower","Fryers",NA,"2L","2L","T17001",NA,1
"116448","Wilko Ceiling Pendant Set 6in","Wilko","Pendant Sets and Cords","1","6in",NA,NA,"White",1
"116452","Wilko Ceiling Pendant Set 9in","Wilko","Light Fitting","1","1 Pack","Mains",NA,NA,1
"116475","Wilko Switched Socket 1 Gang 13amp","Wilko","Power Sockets","1","13AMP",NA,NA,"White",1
"15263","Wilko Ceiling Switch 6amp 2 Way","Wilko","Pendant Sets and Cords","1","6 Amp",NA,NA,"White",1
"15350","Wilko Socket Box  2 Gang","Wilko","Socket Boxes","1pk","8.5x14.5cm",NA,NA,"White",1
"316233","Wilko Sandwich Toaster 4 Slice Black","Wilko","Sandwich Maker",NA,"4 Slice","700W","ST1008","Black",1
"328557","Wilko Colourplay Microwave Purple 20L","Wilko","Microwaves",NA,"20L","Mains","20UX79-L","Purple",1
"328559","Wilko Colourplay Microwave Red 20L","Wilko","Microwaves",NA,"20L","Mains","20UX79-L","Red",1
"328563","Wilko Toaster 2 Slice Purple","Wilko","Toasters","1","2 Slice",NA,NA,"Purple",1
"403946","Wilko Colourplay Microwave Black 20L","Wilko","Microwaves",NA,"20L","800W","20UX79V-L8","Black",1
"414306","Wilko Microwave Silver 20L","Wilko","Microwaves",NA,"20L","800W","20UX79LS","Silver",1
"440945","Wilko Work Light 10W Rechargeable and USB","Wilko","Work Light","1","24 x 15 x 16.4cm","10W USB Rechargeable","LSWR10BR-01","Multi",1
"445306","Wilko Air Fryer with Removable Basket 4L","Wilko","Fryers",NA,"31cmx28.5cmx33.5cm","1200-1400w","AFM06",NA,1
"452988","Wilko Copper Effect Microwave 20L","Wilko","Microwaves","1","20L",NA,NA,"Metal",1
"452989","Wilko Kettle Ribbed Deisgn Silver 1.7L","Wilko","Jug Kettles",NA,"1.7L","3000W","WK8331H-ribbed","Silver",1
"452990","Wilko 2 Slice Toaster Stainless Steel RibbedDesign","Wilko","Toasters",NA,"2 Slice","860/1050W","T386-RIBBED","Silver",1
"452994","Wilko Kettle Dome Stainless Steel 1.7L","Wilko","Kettles",NA,"1.7L","2550-3000W","WK8213NAH-Stamped","Silver",1
"452995","Wilko Copper Effect Hand Blender Se","Wilko","Mixers","1","600W",NA,NA,"Metal",1
"452996","Wilko Copper Effect Hand Mixer","Wilko","Mixers","1","350W",NA,NA,"Metal",1
"452997","Wilko Copper Effect Table Blender","Wilko","Blenders","1","500W",NA,NA,"Metal",1
"453821","Wilko Copper Effect Cylinder Kettle 1.7L","Wilko","Jug Kettles","1","1.7L",NA,NA,"Metal",1
"453822","Wilko Copper Effect 2 Slice Toaster","Wilko","Toasters","1","2 Slice",NA,NA,"Metal",1
"5314740","Wilko Pattress Box 1gang 45mm","Wilko","Socket Boxes","1","8.5x8.5cm, 45mm",NA,NA,"White",1
"5326640","Wilko Plastic Pattress Box 25mm 1 Gang","Wilko","Socket Boxes","1","25mm",NA,NA,"White",1
"5326643","Wilko Plastic Pattress Box 2 Gang 25mm","Wilko","Socket Boxes","1","25mm",NA,NA,"White",1
"5327840","Wilko Pattress Box White 1 Gang 16mm","Wilko","Socket Boxes","1","8.5x8.5cm, 16mm",NA,NA,"White",1
"5374640","Wilko Pattress Box 2 Gang 45mm","Wilko","Socket Boxes","1","45mm",NA,NA,"White",1
