"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","Power","DQ Score"
"454187","Grumpy Cat Toys Assorted","Rosewood","Catnip Toys",NA,"1","7cmx10cmx4cm",NA,0.88
"454778","Sheba Select Slices Pouch Cat Food Fish in Gravy12x85g","Sheba","Adult Pouches 1+ Years",NA,NA,"12x85g",NA,0.8625
"259869","Webbox Cats Delight Cat Treats Tasty SticksChicken and Liver 6pk","Webbox","Chews",NA,NA,"30g",NA,0.9125
"232302","Whiskas Cat Treats Crunch 100g","Whiskas","Biscuit Treats",NA,NA,"100g",NA,0.9125
"292462","Whiskas Complete Dry Kitten Food Chicken 340g","Whiskas","Kitten Food 1-12 Months",NA,"1","340g",NA,0.93
"437598","Whiskas Kitten Food Pouch Poultry Selectionin Jelly 12 x 100g","Whiskas","Kitten Food 1-12 Months",NA,"12","12x100g",NA,0.93
"456428","Whiskas 1+ Cat Food Pouch Casserole PoultrySelection in Jelly 40 x85g","Whiskas","Adult Pouches 1+ Years",NA,"40",NA,NA,0.9125
"10748","Wilko Cat Identity Tube","Wilko","Collars",NA,"1","One Size",NA,0.883333333333333
"121918","Wilko Cat Placemat Assorted Designs","Wilko","Placemat",NA,"1",NA,NA,0.86
"165257","Wilko Cat Flea Collar Reflective","Wilko","Flea Collar",NA,NA,"From 3 Months",NA,0.9125
"173537","Wilko Tinned Cat Food Feast Selection in Jelly 6 x6 x 400g","Wilko","Adult Tins 1+ Years",NA,NA,"6x400g",NA,0.9125
"189489","Wilko Cat Collar Assorted 30cm","Wilko","Collars",NA,"1","One Size",NA,0.883333333333333
"192949","Wilko Cat Toy Fishing Rod Assorted Colours andDesigns","Wilko","Teaser Toys",NA,"1","One Size",NA,0.93
"236692","Wilko Kitten Food Chicken Salmon Tuna Turkey inJelly 12 x 100g","Wilko","Kitten Food 1-12 Months",NA,"12","100g",NA,0.93
"258","Wilko Reflective Cat Collar 30cm","Wilko","Collars",NA,NA,"One Size",NA,0.825
"267053","Wilko Dry Cat Food Duck Rabbit Chicken andVegetables 950g","Wilko","Boxed Food",NA,NA,"950g",NA,0.9125
"334045","Wilko Cat Treats Cushions Chicken 60g","Wilko","Biscuit Treats",NA,NA,"60g",NA,0.9125
"431493","Wilko Laser Mouse Cat Toy","Wilko","Laser Mouse",NA,"1","6.5cm long, 3cm wide, 2.1cm deep",NA,0.93
"432733","Wilko Kitten Collar Snag Free Assorted Colours","Wilko","Collars",NA,"1","Small",NA,0.93
"450635","Wilko Chalkboard Cat Bowl","Wilko","Bowl",NA,NA,"17.5x17.5x4cm",NA,0.86
"454188","Wilko Catnip Leaves 25g","Wilko","Catnip Toys",NA,"1","9cmx14cmx2cm",NA,0.93
"454189","Wilko Silvervine Twitchy Teaser","Wilko","Teaser Toys",NA,"1","35cmx8cmx3cm",NA,0.93
"454190","Wilko Silvervine Mice 2pk","Wilko","Teaser Toys",NA,"2","21cm",NA,0.93
"454191","Wilko Catnip Filled Toy Assorted Shape","Wilko","Catnip Toys",NA,"1","15cm",NA,0.93
"454192","Wilko Pop Up Cube","Wilko","Play Tunnel",NA,"1","38cm",NA,0.93
"94333","Wilko Cat Toy Assorted","Wilko","Catnip Toys",NA,NA,"One Size",NA,0.86
"9506040","Wilko Cat Flea Vinyl Collar","Wilko","Flea Collar",NA,"1","From 6 Months",NA,0.93
