"PSA_1","PSA_2","Article","Web Description","Brand","Type","Colour","Power","Pack Qty","Size","Age","Material","Model Number","Capacity","Washable","Assembly","DQ Score"
"DIY","BIN","344511","Wilko Vinyl Number 4 White 50mm","Wilko","White Numbers","White",NA,NA,"50mm",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344512","Wilko Vinyl Number 5 White 50mm","Wilko","White Numbers","White",NA,NA,"50mm",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344513","Wilko Vinyl Number 6 White 50mm","Wilko","White Numbers","White",NA,NA,"50mm",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344514","Wilko Vinyl Number 7 White 50mm","Wilko","White Numbers","White",NA,"1","50mm",NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","BIN","344515","Wilko Vinyl Number 8 White 50mm","Wilko","White Numbers","White",NA,"1","50mm",NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","BIN","344516","Wilko Vinyl Number 9 White 50mm","Wilko","White Numbers","White",NA,"1","50mm",NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","BIN","344517","Wilko Vinyl Letter A White 50mm","Wilko","White Letters","White",NA,NA,"50mm",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344528","Wilko Vinyl Letter B White 50mm","Wilko","White Letters","White",NA,NA,"50mm",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344529","Wilko Self Adhesive Vinyl Number 0 Black 150mm","Wilko","Black Numbers","Black",NA,NA,"150mm",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344531","Wilko Self Adhesive Vinyl Number 1 Black 150mm","Wilko","Black Numbers","Black",NA,NA,"150mm",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344534","Wilko Self Adhesive Vinyl Number 2 Black 150mm","Wilko","Black Numbers","Black",NA,"1","150mm",NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","BIN","344537","Wilko Self Adhesive Vinyl Number 3 Black 150mm","Wilko","Black Numbers","Black",NA,NA,"150mm",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344542","Wilko Self Adhesive Vinyl Number 4 Black 150mm","Wilko","Black Numbers","Black",NA,"1","150mm",NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","BIN","344543","Wilko Self Adhesive Vinyl Number 5 Black 150mm","Wilko","Black Numbers","Black",NA,"1","150mm",NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","BIN","344545","Wilko Self Adhesive Vinyl Number 6 Black 150mm","Wilko","Black Numbers","Black",NA,NA,"150mm",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344548","Wilko Self Adhesive Vinyl Number 7 Black 150mm","Wilko","Black Numbers","Black",NA,"1","150mm",NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","BIN","344552","Wilko Self Adhesive Vinyl Number 9 Black 150mm","Wilko","Black Numbers","Black",NA,NA,"150mm",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344568","Wilko Self Adhesive Vinyl Number 8 Black 150mm","Wilko","Black Numbers","Black",NA,"1","150mm",NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","BIN","344570","Wilko Self Adhesive Vinyl Number 0 White 150mm","Wilko","White Numbers","White",NA,"1","1 Pack",NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","BIN","344571","Wilko Self Adhesive Vinyl  Number 1 White 150mm","Wilko","White Numbers","White",NA,"1","150mm",NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","BIN","344572","Wilko Self Adhesive Vinyl Number 2 White 150mm","Wilko","White Numbers","White",NA,NA,"150mm",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344573","Wilko Self Adhesive Vinyl Number 3 White 150mm","Wilko","White Numbers","White",NA,NA,"150mm",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344575","Wilko Self Adhesive Vinyl Number 4 White 150mm","Wilko","White Numbers","White",NA,"1","150mm",NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","BIN","344578","Wilko Self Adhesive Vinyl Number 5 White 150mm","Wilko","White Numbers","White",NA,NA,"150mm",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344583","Wilko Self Adhesive Vinyl Number 6 White 150mm","Wilko","White Numbers","White",NA,NA,"150mm",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344586","Wilko Self Adhesive Vinyl Number 7 White 150mm","Wilko","White Numbers","White",NA,NA,"150mm",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344591","Wilko Self Adhesive Vinyl Number 8 White 150mm","Wilko","White Numbers","White",NA,NA,"150mm",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344598","Wilko Self Adhesive Vinyl Number 9 White 150mm","Wilko","White Numbers","White",NA,NA,"150mm",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344600","Wilko Self Adhesive Vinyl Number 0 Coloured 150mm","Wilko","Coloured Numbers","Multi",NA,NA,"150mm",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344606","Wilko Self Adhesive Vinyl Number 1 Coloured 150mm","Wilko","Coloured Numbers","Multi",NA,"1","150mm",NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","BIN","344611","Wilko Self Adhesive Vinyl Number 2 Coloured 150mm","Wilko","Coloured Numbers","Multi",NA,NA,"150mm",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344618","Wilko Self Adhesive Vinyl Number 3 Coloured 150mm","Wilko","Coloured Numbers","Multi",NA,NA,"150mm",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344619","Wilko Self Adhesive Vinyl Number 4 Coloured 150mm","Wilko","Coloured Numbers","Multi",NA,NA,"150mm",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344620","Wilko Self Adhesive Vinyl Number 5 Coloured 150mm","Wilko","Coloured Numbers","Multi",NA,"1","150mm",NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","BIN","344625","Wilko Self Adhesive Vinyl Number 6 Coloured 150mm","Wilko","Coloured Numbers","Multi",NA,NA,"150mm",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344628","Wilko Self Adhesive Vinyl Number 7 Coloured 150mm","Wilko","Coloured Numbers","Multi",NA,NA,"150mm",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344630","Wilko Self Adhesive Vinyl Number 8 Coloured 150mm","Wilko","Coloured Numbers","Multi",NA,NA,"150mm",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344631","Wilko Self Adhesive Vinyl Number 9 Coloured 150mm","Wilko","Coloured Numbers","Multi",NA,"1","150mm",NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","BIN","344641","Wilko Numeral 0 Polished Chrome Effect 75mm","Wilko","Chrome Numbers","Metal",NA,"1","75mm",NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","BIN","344642","Wilko Numeral 1 Polished Chrome Effect 75mm","Wilko","Chrome Numbers","Metal",NA,"1","75mm",NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","BIN","344646","Wilko Numeral 2 Polished Chrome Effect 75mm","Wilko","Chrome Numbers","Metal",NA,"1","75mm",NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","BIN","344647","Wilko Numeral 3 Polished Chrome Effect 75mm","Wilko","Chrome Numbers","Metal",NA,"1","75mm",NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","BIN","344648","Wilko Numeral 4 Polished Chrome Effect 75mm","Wilko","Chrome Numbers","Metal",NA,"1","75mm",NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","BIN","344802","Wilko Numeral 5 Polished Chrome Effect 75mm","Wilko","Chrome Numbers","Metal",NA,NA,"75mm",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344803","Wilko Numeral 6 Polished Chrome Effect 75mm","Wilko","Chrome Numbers","Metal",NA,"1","75mm",NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","BIN","344804","Wilko Numeral 7 Polished Chrome Effect 75mm","Wilko","Chrome Numbers","Metal",NA,NA,"75mm",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344805","Wilko Numeral 8 Polished Chrome Effect 75mm","Wilko","Chrome Numbers","Metal",NA,NA,"75mm",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344806","Wilko Numeral 9 Polished Chrome Effect 75mm","Wilko","Chrome Numbers","Metal",NA,NA,"75mm",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344807","Wilko Letter A Polished Chrome Effect 75mm","Wilko","Chrome Letters","Metal",NA,NA,"75mm",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344808","Wilko Letter B Polished Chrome Effect 75mm","Wilko","Chrome Letters","Metal",NA,NA,"75mm",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344824","Wilko Letter Pack A-Z Upper and Lower Case Black","Wilko","Black Letters","Black",NA,"1","Assorted",NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","BIN","344826","Wilko Letter Pack A-Z Upper and Lower Case White","Wilko","White Letters","White",NA,"1","Assorted",NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","BIN","344829","Wilko Wheelie Bin Number Kit Victorian Design Red","Wilko","Wheelie Bin Kits","Red",NA,"1","Assorted",NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","BIN","344830","Wilko Wheelie Bin Number Kit Victorian DesignBlack","Wilko","Wheelie Bin Kits","Green",NA,"1","Assorted",NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","BIN","344831","Wilko Wheelie Bin Number Kit Classical Red","Wilko","Wheelie Bin Kits","Red",NA,"1","Assorted",NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","BIN","344832","Wilko Wheelie Bin Number Kit Classical Green","Wilko","Wheelie Bin Kits","Green",NA,"1","Assorted",NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","BIN","344833","Wilko Beware Of Dog Sign 200X300mm","Wilko","House and Gate Signs",NA,NA,"1","200x300mm",NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344835","Wilko Caution CCTV Sign 200X300mm","Wilko","House and Gate Signs",NA,NA,NA,"200x300mm",NA,NA,NA,NA,NA,NA,0.825
"DIY","BIN","344837","Wilko Warning Concealed Sign 200x50mm","Wilko","House and Gate Signs",NA,NA,NA,"200x50mm",NA,NA,NA,NA,NA,NA,0.825
"DIY","BIN","344838","Wilko Please Shut Gate  Sign 200x50mm","Wilko","House and Gate Signs",NA,NA,NA,"200x50mm",NA,NA,NA,NA,NA,NA,0.825
"DIY","BIN","344839","Wilko Driveway Clear Sign 200X50mm","Wilko","House and Gate Signs",NA,NA,NA,"200x50mm",NA,NA,NA,NA,NA,NA,0.825
"DIY","BIN","344840","Wilko Beware Of Dog Sign 200X50mm","Wilko","House and Gate Signs",NA,NA,NA,"200x50mm",NA,NA,NA,NA,NA,NA,0.825
"DIY","BIN","344841","Wilko No Free Newspaper Sign 200X50mm","Wilko","House and Gate Signs",NA,NA,NA,"200x50mm",NA,NA,NA,NA,NA,NA,0.825
